,open,high,low,close,volume
2018-02-07 07:00:00,0.00055,0.000584,0.000325,0.000335,3956060.3
2018-02-08 07:00:00,0.000335,0.0003548,0.0003345,0.0003519,37936.32
2018-02-09 07:00:00,0.0003498,0.000365,0.0003256,0.0003301,690393.26
2018-02-10 07:00:00,0.0003305,0.0003373,0.0003056,0.0003203,641371.67
2018-02-11 07:00:00,0.0003201,0.0003358,0.0002804,0.0003085,666356.68
2018-02-12 07:00:00,0.0003075,0.0003187,0.0002838,0.0002881,378343.59
2018-02-13 07:00:00,0.000288,0.0002941,0.0002717,0.0002818,801060.49
2018-02-14 07:00:00,0.000283,0.0003058,0.000268,0.0002756,511471.06
2018-02-15 07:00:00,0.0002768,0.0002834,0.00024,0.0002524,416143.75
2018-02-16 07:00:00,0.0002537,0.0002749,0.0002512,0.0002578,303256.77
2018-02-17 07:00:00,0.0002578,0.0002629,0.000238,0.0002437,274834.9
2018-02-18 07:00:00,0.0002435,0.0002528,0.00023,0.0002418,320033.81
2018-02-19 07:00:00,0.0002418,0.0002595,0.0002352,0.0002417,473701.31
2018-02-20 07:00:00,0.0002415,0.000246,0.0002181,0.0002229,581356.43
2018-02-21 07:00:00,0.0002232,0.0002306,0.000206,0.0002188,438474.38
2018-02-22 07:00:00,0.000221,0.0002488,0.000216,0.0002279,781455.81
2018-02-23 07:00:00,0.0002279,0.0002431,0.000221,0.0002245,424004.94
2018-02-24 07:00:00,0.0002252,0.0002351,0.0002192,0.0002295,407788.28
2018-02-25 07:00:00,0.0002282,0.000243,0.0002179,0.000225,526631.79
2018-02-26 07:00:00,0.000225,0.0002264,0.0002102,0.0002147,342903.4
2018-02-27 07:00:00,0.0002147,0.0002675,0.0002014,0.0002295,1592326.04
2018-02-28 07:00:00,0.0002288,0.0002486,0.0002103,0.00022,1320717.78
2018-03-01 07:00:00,0.0002191,0.0002356,0.0002101,0.0002127,487097.88
2018-03-02 07:00:00,0.0002127,0.0002241,0.0002083,0.0002153,346407.85
2018-03-03 07:00:00,0.0002153,0.0002185,0.000198,0.000201,299219.22
2018-03-04 07:00:00,0.000201,0.000209,0.0001976,0.0002009,230247.33
2018-03-05 07:00:00,0.0002018,0.0002069,0.00019,0.0002001,285309.61
2018-03-06 07:00:00,0.0002001,0.0002076,0.000186,0.0001973,408943.9
2018-03-07 07:00:00,0.0001963,0.0001991,0.0001621,0.0001892,633749.66
2018-03-08 07:00:00,0.0001884,0.0001991,0.0001766,0.0001991,491379.06
2018-03-09 07:00:00,0.000199,0.00021,0.0001902,0.0002018,777120.82
2018-03-10 07:00:00,0.0002018,0.0002082,0.0001941,0.0002,301352.24
2018-03-11 07:00:00,0.0002006,0.0002038,0.0001892,0.0001909,203436.19
2018-03-12 07:00:00,0.0001909,0.0001955,0.0001831,0.0001923,278392.27
2018-03-13 07:00:00,0.0001921,0.0002,0.0001842,0.0001887,387894.16
2018-03-14 07:00:00,0.0001886,0.0001983,0.0001849,0.0001911,378576.34
2018-03-15 07:00:00,0.0001911,0.000208,0.000186,0.0001952,648541.76
2018-03-16 07:00:00,0.0001952,0.0002007,0.0001879,0.0001933,219315.98
2018-03-17 07:00:00,0.0001951,0.000197,0.0001873,0.0001892,149198.2
2018-03-18 07:00:00,0.0001888,0.0001893,0.000159,0.000169,592315.83
