,open,high,low,close,volume
2017-11-10 07:00:00,3.1e-05,0.0047,3.1e-05,4.079e-05,2395359.0
2017-11-11 07:00:00,3.9e-05,4.175e-05,3.6e-05,3.865e-05,2129208.0
2017-11-12 07:00:00,3.865e-05,4.117e-05,3.112e-05,3.59e-05,1395260.0
2017-11-13 07:00:00,3.395e-05,3.65e-05,3.131e-05,3.575e-05,895153.0
2017-11-14 07:00:00,3.342e-05,3.58e-05,3.111e-05,3.21e-05,826452.0
2017-11-15 07:00:00,3.383e-05,3.383e-05,2.561e-05,2.66e-05,636504.0
2017-11-16 07:00:00,2.739e-05,2.93e-05,2.284e-05,2.374e-05,611095.0
2017-11-17 07:00:00,2.38e-05,2.514e-05,2.046e-05,2.202e-05,552125.0
2017-11-18 07:00:00,2.166e-05,2.351e-05,2.12e-05,2.323e-05,467187.0
2017-11-19 07:00:00,2.35e-05,2.418e-05,2.166e-05,2.21e-05,240728.0
2017-11-20 07:00:00,2.235e-05,2.723e-05,2.114e-05,2.296e-05,817047.0
2017-11-21 07:00:00,2.317e-05,2.582e-05,2.244e-05,2.484e-05,538258.0
2017-11-22 07:00:00,2.484e-05,2.484e-05,2.25e-05,2.408e-05,911830.0
2017-11-23 07:00:00,2.407e-05,2.64e-05,2.152e-05,2.152e-05,682005.0
2017-11-24 07:00:00,2.15e-05,2.5e-05,2.103e-05,2.291e-05,416120.0
2017-11-25 07:00:00,2.288e-05,2.291e-05,2.102e-05,2.121e-05,506121.0
2017-11-26 07:00:00,2.121e-05,2.239e-05,1.859e-05,2.006e-05,952200.0
2017-11-27 07:00:00,2.006e-05,2.634e-05,1.823e-05,2.3e-05,15012739.0
2017-11-28 07:00:00,2.3e-05,2.6e-05,1.975e-05,2.215e-05,19504014.0
2017-11-29 07:00:00,2.215e-05,2.32e-05,1.886e-05,1.924e-05,18527101.0
2017-11-30 07:00:00,1.92e-05,1.94e-05,1.808e-05,1.92e-05,7492747.0
2017-12-01 07:00:00,1.92e-05,2.098e-05,1.858e-05,1.881e-05,1383608.0
2017-12-02 07:00:00,1.872e-05,1.956e-05,1.65e-05,1.823e-05,1149436.0
2017-12-03 07:00:00,1.889e-05,1.889e-05,1.722e-05,1.77e-05,712173.0
2017-12-04 07:00:00,1.767e-05,1.848e-05,1.552e-05,1.769e-05,1048051.0
2017-12-05 07:00:00,1.75e-05,1.858e-05,1.6e-05,1.756e-05,1143013.0
2017-12-06 07:00:00,1.756e-05,1.793e-05,1.461e-05,1.621e-05,1563134.0
2017-12-07 07:00:00,1.639e-05,2.2e-05,1.18e-05,1.227e-05,3479678.0
2017-12-08 07:00:00,1.206e-05,1.777e-05,1.046e-05,1.315e-05,1826854.0
2017-12-09 07:00:00,1.315e-05,1.503e-05,1.282e-05,1.387e-05,1173767.0
2017-12-10 07:00:00,1.387e-05,1.454e-05,1.176e-05,1.221e-05,849324.0
2017-12-11 07:00:00,1.206e-05,1.237e-05,1.079e-05,1.226e-05,856674.0
2017-12-12 07:00:00,1.225e-05,1.346e-05,8.8e-06,1.103e-05,17273185.0
2017-12-13 07:00:00,1.125e-05,1.598e-05,1.109e-05,1.53e-05,23109380.0
2017-12-14 07:00:00,1.53e-05,1.625e-05,1.202e-05,1.455e-05,19664392.0
2017-12-15 07:00:00,1.455e-05,1.468e-05,1.215e-05,1.327e-05,16664609.0
2017-12-16 07:00:00,1.33e-05,2.3e-05,1.326e-05,2.031e-05,20651197.0
2017-12-17 07:00:00,2.052e-05,2.314e-05,1.739e-05,2.25e-05,20099474.0
2017-12-18 07:00:00,2.25e-05,2.25e-05,1.883e-05,2.226e-05,17274243.0
2017-12-19 07:00:00,2.228e-05,2.313e-05,1.892e-05,1.993e-05,20577521.0
2017-12-20 07:00:00,1.996e-05,2.198e-05,1.815e-05,1.947e-05,14204376.0
2017-12-21 07:00:00,1.949e-05,2.868e-05,1.921e-05,2.552e-05,10792565.0
2017-12-22 07:00:00,2.552e-05,2.767e-05,1.859e-05,2.294e-05,1864296.0
2017-12-23 07:00:00,2.292e-05,2.6e-05,2.117e-05,2.462e-05,2499973.0
2017-12-24 07:00:00,2.438e-05,2.5e-05,2.121e-05,2.428e-05,1793915.0
2017-12-25 07:00:00,2.428e-05,2.6e-05,2.262e-05,2.555e-05,1895273.0
2017-12-26 07:00:00,2.588e-05,2.6e-05,2.135e-05,2.368e-05,2557676.0
2017-12-27 07:00:00,2.368e-05,5.38e-05,2.34e-05,3.847e-05,32620413.0
2017-12-28 07:00:00,3.848e-05,4.397e-05,3.322e-05,3.805e-05,11274440.0
2017-12-29 07:00:00,3.805e-05,3.975e-05,3.534e-05,3.71e-05,3748602.0
2017-12-30 07:00:00,3.71e-05,3.85e-05,3.491e-05,3.733e-05,2514970.0
2017-12-31 07:00:00,3.776e-05,4.7e-05,3.654e-05,4.529e-05,3431243.0
2018-01-01 07:00:00,4.555e-05,5.7e-05,4.1e-05,5.504e-05,3608265.0
2018-01-02 07:00:00,5.504e-05,5.69e-05,4.05e-05,4.576e-05,4248462.0
2018-01-03 07:00:00,4.575e-05,5.567e-05,4.1e-05,5.05e-05,3259021.0
2018-01-04 07:00:00,5.05e-05,6.878e-05,5.05e-05,5.839e-05,4529245.0
2018-01-05 07:00:00,5.839e-05,7e-05,4.7e-05,5.858e-05,5250602.0
2018-01-06 07:00:00,5.858e-05,0.00012,5.699e-05,9.361e-05,19311693.0
2018-01-07 07:00:00,9.282e-05,9.36e-05,6.825e-05,8.152e-05,8338322.0
2018-01-08 07:00:00,8.192e-05,0.00010002,7.369e-05,9.416e-05,5227425.0
2018-01-09 07:00:00,9.438e-05,9.622e-05,8.301e-05,9.198e-05,3770107.0
2018-01-10 07:00:00,9.198e-05,9.415e-05,7.5e-05,8.323e-05,3684698.0
2018-01-11 07:00:00,8.323e-05,8.386e-05,6.858e-05,7.662e-05,4209749.0
2018-01-12 07:00:00,7.596e-05,7.796e-05,6.641e-05,7.402e-05,2722958.0
2018-01-13 07:00:00,7.402e-05,0.00011,7.053e-05,7.289e-05,8408800.0
2018-01-14 07:00:00,7.251e-05,7.513e-05,6.5e-05,6.789e-05,2949053.0
2018-01-15 07:00:00,6.812e-05,7.124e-05,5.703e-05,6.009e-05,2361920.0
2018-01-16 07:00:00,6.009e-05,6.14e-05,4.269e-05,5.079e-05,3252363.0
2018-01-17 07:00:00,5.047e-05,5.7e-05,4.555e-05,5.481e-05,1968441.0
2018-01-18 07:00:00,5.53e-05,6.3e-05,5.2e-05,5.643e-05,2575633.0
2018-01-19 07:00:00,5.643e-05,9.24e-05,5.05e-05,7.934e-05,10868962.0
2018-01-20 07:00:00,7.97e-05,0.000112,7.1e-05,7.45e-05,31801254.0
2018-01-21 07:00:00,7.454e-05,8.019e-05,6.8e-05,6.922e-05,4923147.0
2018-01-22 07:00:00,6.943e-05,7.669e-05,6.406e-05,7.093e-05,3579005.0
2018-01-23 07:00:00,7.101e-05,0.0001055,7.071e-05,8.059e-05,19518485.0
2018-01-24 07:00:00,8.059e-05,8.319e-05,7.288e-05,7.405e-05,6092819.0
2018-01-25 07:00:00,7.43e-05,9.118e-05,7.37e-05,9.103e-05,5867926.0
2018-01-26 07:00:00,9.103e-05,0.00010911,8.556e-05,9.744e-05,16507695.0
2018-01-27 07:00:00,9.737e-05,9.793e-05,8.1e-05,8.923e-05,6449604.0
2018-01-28 07:00:00,8.923e-05,9.303e-05,8.301e-05,8.888e-05,3955943.0
2018-01-29 07:00:00,8.859e-05,9.668e-05,8.8e-05,8.849e-05,3254418.0
2018-01-30 07:00:00,8.849e-05,9.2e-05,7.768e-05,8.481e-05,2447759.0
2018-01-31 07:00:00,8.494e-05,8.574e-05,7.67e-05,8.46e-05,2011146.0
2018-02-01 07:00:00,8.46e-05,8.531e-05,7.361e-05,7.643e-05,1709654.0
2018-02-02 07:00:00,7.62e-05,8.11e-05,5.946e-05,7.189e-05,1874925.0
2018-02-03 07:00:00,7.224e-05,8.024e-05,6.833e-05,7.588e-05,1375065.0
2018-02-04 07:00:00,7.59e-05,8.55e-05,6.727e-05,7.054e-05,2774425.0
2018-02-05 07:00:00,7.049e-05,7.35e-05,5.433e-05,5.977e-05,1836302.0
2018-02-06 07:00:00,6.001e-05,7e-05,5.5e-05,6.809e-05,1643508.0
2018-02-07 07:00:00,6.827e-05,7.087e-05,6.282e-05,6.716e-05,1425548.0
2018-02-08 07:00:00,6.716e-05,6.756e-05,6.661e-05,6.73e-05,8515.0
2018-02-09 07:00:00,6.751e-05,6.872e-05,6.415e-05,6.478e-05,798782.0
2018-02-10 07:00:00,6.478e-05,6.95e-05,5.933e-05,6.248e-05,1549306.0
2018-02-11 07:00:00,6.254e-05,6.7e-05,5.867e-05,6.59e-05,1572894.0
2018-02-12 07:00:00,6.589e-05,7.286e-05,5.65e-05,5.96e-05,6064776.0
2018-02-13 07:00:00,5.96e-05,5.982e-05,5.601e-05,5.722e-05,1390800.0
2018-02-14 07:00:00,5.733e-05,6e-05,5.6e-05,5.899e-05,1344312.0
2018-02-15 07:00:00,5.898e-05,5.91e-05,5.086e-05,5.552e-05,1421000.0
2018-02-16 07:00:00,5.537e-05,6.55e-05,5.386e-05,6.081e-05,4868374.0
2018-02-17 07:00:00,6.081e-05,6.1e-05,5.694e-05,5.724e-05,2119677.0
2018-02-18 07:00:00,5.7e-05,6.101e-05,5.408e-05,5.989e-05,1474598.0
2018-02-19 07:00:00,5.989e-05,7.5e-05,5.648e-05,6.563e-05,16385746.0
2018-02-20 07:00:00,6.57e-05,6.992e-05,5.545e-05,5.717e-05,9146368.0
2018-02-21 07:00:00,5.719e-05,6.017e-05,5.152e-05,5.398e-05,3234896.0
2018-02-22 07:00:00,5.401e-05,5.59e-05,5.101e-05,5.35e-05,1865221.0
2018-02-23 07:00:00,5.386e-05,5.943e-05,5.21e-05,5.4e-05,2274444.0
2018-02-24 07:00:00,5.382e-05,5.514e-05,4.995e-05,5.165e-05,3507531.0
2018-02-25 07:00:00,5.195e-05,5.374e-05,5.005e-05,5.356e-05,1281642.0
2018-02-26 07:00:00,5.345e-05,5.366e-05,4.813e-05,4.899e-05,1499207.0
2018-02-27 07:00:00,4.899e-05,5.374e-05,4.501e-05,4.729e-05,1734517.0
2018-02-28 07:00:00,4.729e-05,5.55e-05,4.55e-05,4.95e-05,5386859.0
2018-03-01 07:00:00,4.953e-05,5.33e-05,4.82e-05,4.974e-05,3072664.0
2018-03-02 07:00:00,4.994e-05,5.32e-05,4.921e-05,5.14e-05,1480471.0
2018-03-03 07:00:00,5.14e-05,5.483e-05,4.85e-05,4.996e-05,2529356.0
2018-03-04 07:00:00,4.994e-05,5.168e-05,4.884e-05,5.031e-05,884949.0
2018-03-05 07:00:00,5.031e-05,5.085e-05,4.739e-05,4.761e-05,1017372.0
2018-03-06 07:00:00,4.769e-05,4.841e-05,4.369e-05,4.797e-05,1521821.0
2018-03-07 07:00:00,4.774e-05,5.535e-05,3.958e-05,4.829e-05,6993620.0
2018-03-08 07:00:00,4.817e-05,4.847e-05,4.102e-05,4.292e-05,2349952.0
2018-03-09 07:00:00,4.287e-05,4.47e-05,3.902e-05,4.345e-05,1659189.0
2018-03-10 07:00:00,4.314e-05,4.352e-05,4.055e-05,4.151e-05,836700.0
2018-03-11 07:00:00,4.151e-05,4.5e-05,4.1e-05,4.19e-05,964848.0
2018-03-12 07:00:00,4.186e-05,4.44e-05,4.122e-05,4.24e-05,873086.0
