,open,high,low,close,volume
2017-10-19 07:00:00,3.5e-05,0.00049,3.5e-05,4.916e-05,1046376.0
2017-10-20 07:00:00,4.914e-05,5.415e-05,4.208e-05,4.299e-05,696594.0
2017-10-21 07:00:00,4.21e-05,4.599e-05,3.562e-05,3.919e-05,914699.0
2017-10-22 07:00:00,4.25e-05,4.73e-05,4.003e-05,4.167e-05,535587.0
2017-10-23 07:00:00,4.177e-05,4.453e-05,3.85e-05,3.875e-05,657470.0
2017-10-24 07:00:00,3.897e-05,4.794e-05,3.8e-05,4.114e-05,771056.0
2017-10-25 07:00:00,4.114e-05,4.298e-05,3.75e-05,3.894e-05,521723.0
2017-10-26 07:00:00,3.808e-05,3.892e-05,3.5e-05,3.599e-05,297647.0
2017-10-27 07:00:00,3.599e-05,3.745e-05,3.364e-05,3.53e-05,238016.0
2017-10-28 07:00:00,3.61e-05,3.61e-05,3.2e-05,3.328e-05,159329.0
2017-10-29 07:00:00,3.327e-05,3.878e-05,3.226e-05,3.25e-05,434073.0
2017-10-30 07:00:00,3.25e-05,3.668e-05,3.161e-05,3.373e-05,367959.0
2017-10-31 07:00:00,3.401e-05,3.495e-05,3.04e-05,3.06e-05,357115.0
2017-11-01 07:00:00,3.04e-05,4.1e-05,2.942e-05,3e-05,2022457.0
2017-11-02 07:00:00,2.951e-05,3.381e-05,2.81e-05,3.246e-05,1085412.0
2017-11-03 07:00:00,3.246e-05,3.35e-05,3.06e-05,3.152e-05,601580.0
2017-11-04 07:00:00,3.152e-05,3.748e-05,3.053e-05,3.219e-05,652388.0
2017-11-05 07:00:00,3.249e-05,3.429e-05,3.23e-05,3.302e-05,577143.0
2017-11-06 07:00:00,3.318e-05,3.55e-05,3.09e-05,3.474e-05,1747411.0
2017-11-07 07:00:00,3.3e-05,3.6e-05,3.222e-05,3.446e-05,4176828.0
2017-11-08 07:00:00,3.499e-05,3.764e-05,3.103e-05,3.423e-05,4883105.0
2017-11-09 07:00:00,3.588e-05,4.187e-05,3.404e-05,3.994e-05,4442382.0
2017-11-10 07:00:00,4.042e-05,4.047e-05,3.601e-05,3.643e-05,4647794.0
2017-11-11 07:00:00,3.652e-05,3.979e-05,3.593e-05,3.837e-05,4385196.0
2017-11-12 07:00:00,3.837e-05,3.988e-05,3.401e-05,3.702e-05,3419515.0
2017-11-13 07:00:00,3.71e-05,3.852e-05,3.321e-05,3.445e-05,3429944.0
2017-11-14 07:00:00,3.455e-05,3.707e-05,3.412e-05,3.501e-05,3996212.0
2017-11-15 07:00:00,3.559e-05,3.559e-05,3.004e-05,3.081e-05,1773407.0
2017-11-16 07:00:00,3.06e-05,3.127e-05,2.841e-05,2.846e-05,446171.0
2017-11-17 07:00:00,2.846e-05,2.965e-05,2.51e-05,2.531e-05,806159.0
2017-11-18 07:00:00,2.532e-05,2.702e-05,2.518e-05,2.659e-05,352906.0
2017-11-19 07:00:00,2.658e-05,3.201e-05,2.561e-05,2.582e-05,511445.0
2017-11-20 07:00:00,2.582e-05,2.879e-05,2.461e-05,2.529e-05,547458.0
2017-11-21 07:00:00,2.529e-05,2.6e-05,2.208e-05,2.44e-05,666705.0
2017-11-22 07:00:00,2.441e-05,3.099e-05,2.37e-05,2.659e-05,1890819.0
2017-11-23 07:00:00,2.659e-05,2.874e-05,2.547e-05,2.681e-05,736363.0
2017-11-24 07:00:00,2.681e-05,2.811e-05,2.45e-05,2.61e-05,671088.0
2017-11-25 07:00:00,2.613e-05,2.652e-05,2.455e-05,2.493e-05,581061.0
2017-11-26 07:00:00,2.493e-05,2.605e-05,2.432e-05,2.53e-05,391488.0
2017-11-27 07:00:00,2.53e-05,2.535e-05,2.3e-05,2.521e-05,3288962.0
2017-11-28 07:00:00,2.522e-05,2.6e-05,2.304e-05,2.43e-05,5202211.0
2017-11-29 07:00:00,2.429e-05,2.469e-05,1.851e-05,2.088e-05,4665683.0
2017-11-30 07:00:00,2.092e-05,3.003e-05,1.9e-05,2.496e-05,5790648.0
2017-12-01 07:00:00,2.491e-05,2.59e-05,2.264e-05,2.376e-05,6132401.0
2017-12-02 07:00:00,2.376e-05,2.448e-05,2.1e-05,2.247e-05,4540483.0
2017-12-03 07:00:00,2.249e-05,2.299e-05,1.969e-05,2.114e-05,4766865.0
2017-12-04 07:00:00,2.153e-05,2.432e-05,2.044e-05,2.156e-05,6444136.0
2017-12-05 07:00:00,2.174e-05,2.64e-05,2.114e-05,2.53e-05,9083909.0
2017-12-06 07:00:00,2.534e-05,2.675e-05,2.011e-05,2.44e-05,8314374.0
2017-12-07 07:00:00,2.451e-05,2.688e-05,1.5e-05,1.51e-05,7510005.0
2017-12-08 07:00:00,1.514e-05,1.955e-05,1.482e-05,1.732e-05,7122830.0
2017-12-09 07:00:00,1.732e-05,1.912e-05,1.7e-05,1.73e-05,7361588.0
2017-12-10 07:00:00,1.73e-05,1.875e-05,1.427e-05,1.492e-05,6822282.0
2017-12-11 07:00:00,1.493e-05,1.609e-05,1.382e-05,1.59e-05,5771641.0
2017-12-12 07:00:00,1.603e-05,2.34e-05,1.24e-05,1.482e-05,9595944.0
2017-12-13 07:00:00,1.482e-05,1.697e-05,1.411e-05,1.609e-05,7087380.0
2017-12-14 07:00:00,1.612e-05,1.99e-05,1.525e-05,1.673e-05,8309598.0
2017-12-15 07:00:00,1.675e-05,1.69e-05,1.301e-05,1.567e-05,6139765.0
2017-12-16 07:00:00,1.527e-05,1.741e-05,1.5e-05,1.537e-05,7091611.0
2017-12-17 07:00:00,1.536e-05,2.174e-05,1.531e-05,1.665e-05,11855604.0
2017-12-18 07:00:00,1.661e-05,2.148e-05,1.55e-05,1.965e-05,11519092.0
2017-12-19 07:00:00,1.955e-05,2.3e-05,1.781e-05,1.961e-05,11124952.0
2017-12-20 07:00:00,1.961e-05,2.32e-05,1.681e-05,2.241e-05,6914788.0
2017-12-21 07:00:00,2.241e-05,2.657e-05,2.05e-05,2.642e-05,9490533.0
2017-12-22 07:00:00,2.642e-05,4.1e-05,2.003e-05,2.48e-05,20773326.0
2017-12-23 07:00:00,2.6e-05,3.447e-05,2.418e-05,3.057e-05,16855734.0
2017-12-24 07:00:00,3.078e-05,3.378e-05,2.754e-05,2.948e-05,10829288.0
2017-12-25 07:00:00,2.95e-05,3.195e-05,2.68e-05,2.851e-05,11861261.0
