,open,high,low,close,volume
2017-11-16 07:00:00,5.7e-06,0.00014201,4.2e-06,4.59e-06,7619532.0
2017-11-17 07:00:00,4.59e-06,4.97e-06,3.99e-06,4.26e-06,3568158.0
2017-11-18 07:00:00,4.31e-06,4.55e-06,2.77e-06,4.37e-06,8071355.0
2017-11-19 07:00:00,4.39e-06,4.59e-06,3.99e-06,4.17e-06,1453008.0
2017-11-20 07:00:00,4.22e-06,4.27e-06,3.72e-06,3.86e-06,2457076.0
2017-11-21 07:00:00,3.86e-06,4.58e-06,3.62e-06,4.49e-06,5092656.0
2017-11-22 07:00:00,4.39e-06,5.55e-06,4.11e-06,4.69e-06,6072415.0
2017-11-23 07:00:00,4.66e-06,5e-06,4.3e-06,4.87e-06,3726222.0
2017-11-24 07:00:00,4.8e-06,4.94e-06,4.16e-06,4.85e-06,2883304.0
2017-11-25 07:00:00,4.91e-06,4.95e-06,4.33e-06,4.42e-06,3088686.0
2017-11-26 07:00:00,4.46e-06,4.5e-06,4e-06,4.29e-06,2518153.0
2017-11-27 07:00:00,4.29e-06,4.39e-06,3.7e-06,4.12e-06,10830539.0
2017-11-28 07:00:00,4.06e-06,4.29e-06,3.7e-06,3.77e-06,18438503.0
2017-11-29 07:00:00,3.82e-06,5.05e-06,3.62e-06,3.85e-06,20276515.0
2017-11-30 07:00:00,3.83e-06,4.92e-06,3.63e-06,3.99e-06,17602892.0
2017-12-01 07:00:00,3.99e-06,4.41e-06,3.5e-06,3.86e-06,12899093.0
2017-12-02 07:00:00,3.83e-06,4.93e-06,3.82e-06,4.6e-06,18171016.0
2017-12-03 07:00:00,4.59e-06,4.82e-06,4.42e-06,4.47e-06,10922925.0
2017-12-04 07:00:00,4.47e-06,4.62e-06,4.11e-06,4.31e-06,10729753.0
2017-12-05 07:00:00,4.31e-06,6.27e-06,4.02e-06,5.46e-06,15852181.0
2017-12-06 07:00:00,5.46e-06,8.37e-06,4.92e-06,6.04e-06,39236066.0
2017-12-07 07:00:00,6.15e-06,6.31e-06,4.01e-06,4.05e-06,31926389.0
2017-12-08 07:00:00,4.07e-06,4.9e-06,3.01e-06,4.15e-06,22455159.0
2017-12-09 07:00:00,4.15e-06,4.89e-06,4.02e-06,4.24e-06,19369091.0
2017-12-10 07:00:00,4.25e-06,4.71e-06,3.35e-06,3.95e-06,17519182.0
2017-12-11 07:00:00,4.08e-06,5.93e-06,3.57e-06,4.57e-06,53131270.0
2017-12-12 07:00:00,4.56e-06,4.75e-06,3.75e-06,3.89e-06,26369840.0
2017-12-13 07:00:00,3.96e-06,4.37e-06,3.9e-06,4.35e-06,20162107.0
2017-12-14 07:00:00,4.37e-06,6.5e-06,4.09e-06,5.46e-06,60376355.0
2017-12-15 07:00:00,5.55e-06,5.6e-06,3.86e-06,5.03e-06,40756638.0
