,open,high,low,close,volume
2017-12-05 07:00:00,0.0003,0.0045,2.7e-05,3.388e-05,13751040.0
2017-12-06 07:00:00,3.4e-05,3.6e-05,1e-05,1.293e-05,37442591.0
2017-12-07 07:00:00,1.293e-05,1.387e-05,9.66e-06,9.81e-06,19786441.0
2017-12-08 07:00:00,9.81e-06,1.12e-05,7.45e-06,1e-05,29283459.0
2017-12-09 07:00:00,1.005e-05,2.145e-05,9.9e-06,1.625e-05,58599838.0
2017-12-10 07:00:00,1.62e-05,1.77e-05,1.368e-05,1.46e-05,17605135.0
2017-12-11 07:00:00,1.466e-05,1.5e-05,1.205e-05,1.319e-05,27025003.0
2017-12-12 07:00:00,1.32e-05,1.329e-05,9.99e-06,1.111e-05,42240057.0
2017-12-13 07:00:00,1.114e-05,1.145e-05,1.043e-05,1.094e-05,29838524.0
2017-12-14 07:00:00,1.095e-05,1.193e-05,1.088e-05,1.114e-05,39569373.0
2017-12-15 07:00:00,1.114e-05,1.136e-05,9.02e-06,1.028e-05,37084992.0
2017-12-16 07:00:00,1.03e-05,1.173e-05,9.76e-06,9.95e-06,46363497.0
2017-12-17 07:00:00,9.92e-06,1.194e-05,9.86e-06,1.15e-05,57839271.0
2017-12-18 07:00:00,1.15e-05,1.253e-05,1.107e-05,1.252e-05,39557655.0
2017-12-19 07:00:00,1.253e-05,1.665e-05,1.248e-05,1.407e-05,56173712.0
2017-12-20 07:00:00,1.406e-05,1.406e-05,1.279e-05,1.307e-05,15139056.0
2017-12-21 07:00:00,1.308e-05,1.359e-05,1.29e-05,1.311e-05,19457637.0
2017-12-22 07:00:00,1.31e-05,1.355e-05,1.201e-05,1.268e-05,14590993.0
2017-12-23 07:00:00,1.268e-05,1.33e-05,1.254e-05,1.279e-05,10812338.0
2017-12-24 07:00:00,1.279e-05,1.3e-05,1.249e-05,1.3e-05,7904290.0
2017-12-25 07:00:00,1.3e-05,1.331e-05,1.256e-05,1.28e-05,12558750.0
2017-12-26 07:00:00,1.285e-05,1.297e-05,1.113e-05,1.149e-05,12703539.0
2017-12-27 07:00:00,1.15e-05,1.235e-05,1.081e-05,1.226e-05,14991024.0
2017-12-28 07:00:00,1.231e-05,1.657e-05,1.13e-05,1.508e-05,46865415.0
2017-12-29 07:00:00,1.508e-05,1.789e-05,1.413e-05,1.584e-05,45961387.0
2017-12-30 07:00:00,1.584e-05,1.601e-05,1.45e-05,1.6e-05,16852407.0
2017-12-31 07:00:00,1.599e-05,1.75e-05,1.542e-05,1.707e-05,19672568.0
2018-01-01 07:00:00,1.707e-05,1.936e-05,1.69e-05,1.924e-05,25091769.0
2018-01-02 07:00:00,1.924e-05,2.427e-05,1.83e-05,2.2e-05,48328956.0
2018-01-03 07:00:00,2.21e-05,3.93e-05,2.189e-05,3.62e-05,72446515.0
2018-01-04 07:00:00,3.62e-05,3.838e-05,3e-05,3.17e-05,45748988.0
2018-01-05 07:00:00,3.187e-05,3.489e-05,2.354e-05,2.431e-05,40918851.0
2018-01-06 07:00:00,2.431e-05,3.003e-05,2.369e-05,2.677e-05,24294530.0
2018-01-07 07:00:00,2.689e-05,3.798e-05,2.66e-05,3.519e-05,46966522.0
2018-01-08 07:00:00,3.508e-05,3.78e-05,3.005e-05,3.316e-05,29736715.0
2018-01-09 07:00:00,3.329e-05,3.8e-05,3.238e-05,3.547e-05,26020011.0
2018-01-10 07:00:00,3.548e-05,3.6e-05,3.153e-05,3.237e-05,17543715.0
2018-01-11 07:00:00,3.235e-05,3.329e-05,3.015e-05,3.116e-05,13287724.0
2018-01-12 07:00:00,3.116e-05,3.141e-05,2.835e-05,2.837e-05,15164612.0
2018-01-13 07:00:00,2.849e-05,3.14e-05,2.702e-05,2.86e-05,14688343.0
2018-01-14 07:00:00,2.86e-05,2.999e-05,2.711e-05,2.825e-05,10676190.0
