,open,high,low,close,volume
2017-10-20 07:00:00,0.667,4.9,0.667,0.98474,8.994
2017-10-21 07:00:00,0.97,0.98318,0.94583,0.97691,21.05
2017-10-22 07:00:00,0.9052,0.98239,0.9052,0.94823,37.973
2017-10-23 07:00:00,0.92184,1.10114,0.92184,0.99466,60.687
2017-10-24 07:00:00,0.95,1.00643,0.92385,0.975,32.015
2017-10-25 07:00:00,1.05771,1.05771,0.95011,1.04969,3.291
2017-10-26 07:00:00,1.0433,1.04587,0.95,0.95003,10.486
2017-10-27 07:00:00,0.95003,0.95003,0.93008,0.93008,13.606
2017-10-28 07:00:00,0.93482,0.96,0.9266,0.9266,10.51
2017-10-29 07:00:00,0.9476,0.95,0.90718,0.91992,8.021
2017-10-30 07:00:00,0.91991,0.94998,0.90473,0.91976,37.289
2017-10-31 07:00:00,0.91917,0.94289,0.9043,0.9043,16.102
2017-11-01 07:00:00,0.90101,0.94244,0.901,0.94244,50.83
2017-11-02 07:00:00,0.93848,0.95,0.90004,0.93998,216.008
2017-11-03 07:00:00,0.93922,0.93922,0.88888,0.89364,71.626
2017-11-04 07:00:00,0.917,0.93851,0.90086,0.93821,23.046
2017-11-05 07:00:00,0.92822,0.93723,0.90259,0.92769,64.951
2017-11-06 07:00:00,0.91266,0.92691,0.91,0.92691,46.345
2017-11-07 07:00:00,0.92576,1.07101,0.92494,1.07101,23.329
2017-11-08 07:00:00,1.05908,1.1028,0.9621,1.0,191.512
2017-11-09 07:00:00,1.02,1.13094,0.99999,1.0003,116.178
2017-11-10 07:00:00,1.00043,1.15,1.00041,1.05131,88.643
2017-11-11 07:00:00,1.149,1.22504,1.0512,1.07001,97.564
2017-11-12 07:00:00,1.08181,1.89119,1.0695,1.7588,2319.225
2017-11-13 07:00:00,1.76001,1.88919,1.25,1.338,771.672
2017-11-14 07:00:00,1.33079,1.39235,1.20167,1.23119,178.681
2017-11-15 07:00:00,1.2411,1.36311,1.24071,1.25102,171.704
2017-11-16 07:00:00,1.25102,1.34872,1.2411,1.29817,202.206
2017-11-17 07:00:00,1.29817,1.31251,1.21101,1.29205,338.313
2017-11-18 07:00:00,1.2771,1.47,1.27019,1.27019,238.102
2017-11-19 07:00:00,1.29681,1.35807,1.19908,1.235,127.103
2017-11-20 07:00:00,1.22986,1.6,1.2,1.47922,374.147
2017-11-21 07:00:00,1.479,1.536,1.24051,1.35157,554.077
2017-11-22 07:00:00,1.38,1.6,1.35283,1.51301,613.687
2017-11-23 07:00:00,1.51149,1.54646,1.3289,1.3673,307.538
2017-11-24 07:00:00,1.36735,1.41691,1.18815,1.19035,174.541
2017-11-25 07:00:00,1.19035,1.4,1.19035,1.36871,224.766
2017-11-26 07:00:00,1.38588,1.42,1.32023,1.32522,191.388
2017-11-27 07:00:00,1.32522,1.36692,1.27001,1.31994,149.465
2017-11-28 07:00:00,1.31994,1.36884,1.27005,1.31007,205.891
2017-11-29 07:00:00,1.31007,1.65005,1.28896,1.583,626.597
2017-11-30 07:00:00,1.583,1.86872,1.51601,1.7387,1090.546
2017-12-01 07:00:00,1.75584,1.81703,1.65006,1.70001,6867.606
