,open,high,low,close,volume
2017-10-13 07:00:00,0.0017,0.003,0.0015204,0.001901,2213513.0
2017-10-14 07:00:00,0.0018999,0.0023,0.0018,0.0021,1185299.0
2017-10-15 07:00:00,0.002,0.0021,0.00177,0.0019,914515.0
2017-10-16 07:00:00,0.0019011,0.0019898,0.0017,0.00176,863034.0
2017-10-17 07:00:00,0.00176,0.00184,0.0015322,0.0016,860976.0
2017-10-18 07:00:00,0.0016,0.0017199,0.0015,0.0015727,810261.0
2017-10-19 07:00:00,0.0015756,0.00168,0.0015,0.001565,366166.0
2017-10-20 07:00:00,0.0016398,0.0017,0.00135,0.0015,696813.0
2017-10-21 07:00:00,0.0015999,0.0016,0.00138,0.0013802,225183.0
2017-10-22 07:00:00,0.0014248,0.0015487,0.00137,0.0013715,359896.0
2017-10-23 07:00:00,0.0013716,0.0014741,0.001363,0.001363,256685.0
2017-10-24 07:00:00,0.0013641,0.00141,0.0012015,0.00141,587080.0
2017-10-25 07:00:00,0.0014,0.00175,0.0013901,0.00152,867356.0
2017-10-26 07:00:00,0.0015201,0.00163,0.0013001,0.00156,441630.0
2017-10-27 07:00:00,0.00156,0.001573,0.0014,0.0014132,217616.0
2017-10-28 07:00:00,0.0014428,0.0015,0.001363,0.001363,203793.0
2017-10-29 07:00:00,0.0013633,0.0013999,0.0012601,0.0012899,204141.0
2017-10-30 07:00:00,0.0012899,0.0013218,0.0012229,0.0012751,243363.0
2017-10-31 07:00:00,0.0012752,0.00132,0.00119,0.0012982,193577.0
2017-11-01 07:00:00,0.0012968,0.0015,0.0011926,0.0012052,385247.0
2017-11-02 07:00:00,0.00124,0.0012895,0.0009763,0.0012439,491995.0
2017-11-03 07:00:00,0.0012004,0.0013109,0.00115,0.001181,295283.0
2017-11-04 07:00:00,0.0011897,0.00135,0.0011811,0.001306,115676.0
2017-11-05 07:00:00,0.001306,0.0013394,0.001201,0.001201,162533.0
2017-11-06 07:00:00,0.0012016,0.0013,0.0011651,0.0013,165408.0
2017-11-07 07:00:00,0.0012041,0.0014152,0.0012039,0.00132,293929.0
2017-11-08 07:00:00,0.0013208,0.0014873,0.0013208,0.0014679,285325.0
2017-11-09 07:00:00,0.0014497,0.001648,0.0014102,0.0015701,414360.0
2017-11-10 07:00:00,0.0015989,0.0016449,0.0014,0.0014849,428971.0
2017-11-11 07:00:00,0.00145,0.00149,0.0013201,0.0013991,161023.0
2017-11-12 07:00:00,0.00137,0.0014,0.001,0.00126,462249.0
2017-11-13 07:00:00,0.0012601,0.00139,0.0011914,0.00131,248386.0
2017-11-14 07:00:00,0.00131,0.00131,0.001132,0.0012498,223530.0
