,open,high,low,close,volume
2017-07-27 07:00:00,0.008506,0.009999,0.008407,0.009377,90147.78
2017-07-28 07:00:00,0.009435,0.009999,0.009197,0.00931,54315.86
2017-07-29 07:00:00,0.009275,0.009549,0.008732,0.008898,37005.4
2017-07-30 07:00:00,0.008841,0.009068,0.008485,0.008973,48890.39
2017-07-31 07:00:00,0.009009,0.009051,0.008619,0.008719,39366.16
2017-08-01 07:00:00,0.008718,0.008748,0.007872,0.007931,38056.42
2017-08-02 07:00:00,0.007927,0.008337,0.007878,0.00819,42117.78
2017-08-03 07:00:00,0.008189,0.008194,0.007881,0.008082,33768.25
2017-08-04 07:00:00,0.008093,0.008323,0.007943,0.00808,40515.88
2017-08-05 07:00:00,0.008077,0.008141,0.007461,0.007476,38634.31
2017-08-06 07:00:00,0.007475,0.007485,0.006676,0.006859,23082.65
2017-08-07 07:00:00,0.006857,0.007061,0.006664,0.006871,45117.78
2017-08-08 07:00:00,0.006851,0.007977,0.006333,0.006499,39761.7
2017-08-09 07:00:00,0.006497,0.006574,0.006086,0.006455,78881.97
2017-08-10 07:00:00,0.006454,0.006579,0.006006,0.00606,87174.35
2017-08-11 07:00:00,0.006058,0.006112,0.005889,0.005962,58121.36
2017-08-12 07:00:00,0.00596,0.005997,0.005342,0.005349,45629.79
2017-08-13 07:00:00,0.005349,0.005755,0.005207,0.005327,64738.85
2017-08-14 07:00:00,0.005323,0.005629,0.005209,0.005623,104422.33
2017-08-15 07:00:00,0.005619,0.0065,0.005503,0.005654,150673.07
2017-08-16 07:00:00,0.005648,0.005999,0.005298,0.005332,127594.04
2017-08-17 07:00:00,0.005363,0.005366,0.004806,0.005059,61526.24
2017-08-18 07:00:00,0.005056,0.005083,0.004743,0.004844,106128.27
2017-08-19 07:00:00,0.00486,0.004959,0.004508,0.004786,73938.06
2017-08-20 07:00:00,0.004784,0.00493,0.004577,0.004619,58003.21
2017-08-21 07:00:00,0.004615,0.004624,0.003823,0.004098,88134.46
2017-08-22 07:00:00,0.004096,0.0045,0.003898,0.004152,118951.56
