,open,high,low,close,volume
2017-10-12 07:00:00,0.03789,0.04,0.036,0.036,43.34
2017-10-13 07:00:00,0.039999,1.0,0.006051,0.03637,3112.43
2017-10-14 07:00:00,0.036502,0.036742,0.03324,0.0349,555.35
2017-10-15 07:00:00,0.0353,0.29,0.02615,0.03572,3009.65
2017-10-16 07:00:00,0.035909,0.049998,0.03295,0.034752,2056.73
2017-10-17 07:00:00,0.035884,0.040273,0.035099,0.03804,7186.66
2017-10-18 07:00:00,0.03804,0.03857,0.035535,0.036091,4042.35
2017-10-19 07:00:00,0.036091,0.03752,0.035648,0.037519,2206.1
2017-10-20 07:00:00,0.036999,0.037519,0.036001,0.0365,1003.55
2017-10-21 07:00:00,0.0365,0.037,0.035132,0.036201,837.54
2017-10-22 07:00:00,0.03698,0.036999,0.0352,0.036454,1308.15
2017-10-23 07:00:00,0.036254,0.036254,0.035112,0.035112,1244.28
2017-10-24 07:00:00,0.035111,0.035999,0.033795,0.035586,2494.79
2017-10-25 07:00:00,0.034417,0.035,0.03422,0.035,55.67
2017-10-26 07:00:00,0.0349,0.035899,0.034258,0.034342,556.9
2017-10-27 07:00:00,0.034603,0.034603,0.033977,0.033999,536.5
2017-10-28 07:00:00,0.034698,0.035759,0.034412,0.034708,2065.85
2017-10-29 07:00:00,0.035798,0.037511,0.035,0.035,1827.42
2017-10-30 07:00:00,0.035011,0.038815,0.034781,0.035893,5815.08
2017-10-31 07:00:00,0.034797,0.035514,0.033999,0.033999,3091.3
2017-11-01 07:00:00,0.034001,0.0357,0.034001,0.0357,2840.54
2017-11-02 07:00:00,0.034595,0.0369,0.032995,0.034399,3193.66
2017-11-03 07:00:00,0.035101,0.041999,0.03407,0.041455,12031.24
2017-11-04 07:00:00,0.040202,0.041994,0.037591,0.039112,10413.46
2017-11-05 07:00:00,0.039113,0.04788,0.038012,0.047294,11876.5
2017-11-06 07:00:00,0.044999,0.051,0.043509,0.049844,17154.88
2017-11-07 07:00:00,0.046566,0.0489,0.04432,0.045005,5915.45
2017-11-08 07:00:00,0.045979,0.048,0.041749,0.045529,6665.22
2017-11-09 07:00:00,0.045394,0.04597,0.042619,0.045132,5888.06
2017-11-10 07:00:00,0.04493,0.05044,0.043032,0.05044,12581.99
2017-11-11 07:00:00,0.05043,0.066744,0.048004,0.062,42522.16
2017-11-12 07:00:00,0.061999,0.074,0.047828,0.047828,77450.12
2017-11-13 07:00:00,0.0479,0.055811,0.0461,0.05,37816.94
2017-11-14 07:00:00,0.050499,0.059,0.0495,0.051206,24793.55
2017-11-15 07:00:00,0.05299,0.052999,0.05,0.05001,19154.61
2017-11-16 07:00:00,0.051011,0.052193,0.0495,0.051046,28810.72
2017-11-17 07:00:00,0.051047,0.055365,0.050019,0.051182,24204.25
2017-11-18 07:00:00,0.052997,0.05492,0.0508,0.0508,27526.27
2017-11-19 07:00:00,0.0508,0.051975,0.047996,0.049516,13737.31
2017-11-20 07:00:00,0.049734,0.054347,0.049733,0.050345,15009.39
2017-11-21 07:00:00,0.050184,0.050829,0.048002,0.04885,15263.71
2017-11-22 07:00:00,0.048851,0.049248,0.045668,0.046992,14789.64
2017-11-23 07:00:00,0.046982,0.047907,0.043,0.0445,24325.33
2017-11-24 07:00:00,0.043582,0.048665,0.0405,0.044471,31511.02
2017-11-25 07:00:00,0.044476,0.048901,0.043322,0.04625,61184.68
2017-11-26 07:00:00,0.04625,0.048299,0.045489,0.046017,28383.37
2017-11-27 07:00:00,0.046016,0.0549,0.044602,0.0515,52672.24
2017-11-28 07:00:00,0.05151,0.0701,0.051501,0.0677,126025.41
2017-11-29 07:00:00,0.0677,0.068,0.054,0.058042,54538.69
2017-11-30 07:00:00,0.058041,0.063299,0.055035,0.060495,35296.7
2017-12-01 07:00:00,0.0595,0.067,0.057177,0.06491,147822.0
2017-12-02 07:00:00,0.064909,0.066346,0.062,0.063082,159056.75
2017-12-03 07:00:00,0.063082,0.06452,0.062001,0.0628,141582.08
