,open,high,low,close,volume
2017-09-28 07:00:00,6e-06,6.7e-06,5.76e-06,6.39e-06,7928064.0
2017-09-29 07:00:00,6.39e-06,8.32e-06,6.1e-06,7.49e-06,24097480.0
2017-09-30 07:00:00,7.41e-06,8.54e-06,7.26e-06,7.44e-06,22941733.0
2017-10-01 07:00:00,7.35e-06,7.98e-06,6.69e-06,7.6e-06,25862582.0
2017-10-02 07:00:00,7.6e-06,8e-06,7.21e-06,7.46e-06,32280300.0
2017-10-03 07:00:00,7.45e-06,7.75e-06,6.9e-06,7.09e-06,24013476.0
2017-10-04 07:00:00,7.13e-06,7.75e-06,6.76e-06,6.96e-06,12513652.0
2017-10-05 07:00:00,6.94e-06,7.05e-06,6.27e-06,6.37e-06,15220140.0
2017-10-06 07:00:00,6.37e-06,6.56e-06,5.88e-06,6.02e-06,16270412.0
2017-10-07 07:00:00,6.11e-06,6.31e-06,5.57e-06,5.87e-06,19140567.0
2017-10-08 07:00:00,5.88e-06,6.01e-06,5.1e-06,5.25e-06,11671493.0
2017-10-09 07:00:00,5.22e-06,5.43e-06,4.39e-06,4.7e-06,34795607.0
2017-10-10 07:00:00,4.63e-06,5.27e-06,4.5e-06,5.06e-06,27548659.0
2017-10-11 07:00:00,5.07e-06,5.7e-06,5.03e-06,5.34e-06,12742164.0
2017-10-12 07:00:00,5.38e-06,5.49e-06,4.61e-06,4.8e-06,20244665.0
2017-10-13 07:00:00,4.82e-06,4.9e-06,4.08e-06,4.29e-06,16765677.0
2017-10-14 07:00:00,4.29e-06,4.45e-06,4.05e-06,4.05e-06,10556150.0
2017-10-15 07:00:00,4.06e-06,4.34e-06,3.93e-06,4.33e-06,9843564.0
2017-10-16 07:00:00,4.37e-06,7.2e-06,4.11e-06,5.05e-06,47029277.0
2017-10-17 07:00:00,5.01e-06,5.57e-06,4.57e-06,4.88e-06,41760526.0
2017-10-18 07:00:00,4.88e-06,4.93e-06,4.14e-06,4.24e-06,36002611.0
2017-10-19 07:00:00,4.24e-06,4.3e-06,3.71e-06,3.8e-06,26990325.0
2017-10-20 07:00:00,3.8e-06,4.05e-06,3.25e-06,3.32e-06,28015479.0
2017-10-21 07:00:00,3.35e-06,3.38e-06,2.8e-06,3.16e-06,27723758.0
2017-10-22 07:00:00,3.15e-06,3.38e-06,2.86e-06,3.19e-06,26394134.0
2017-10-23 07:00:00,3.2e-06,3.26e-06,2.9e-06,3.03e-06,27815463.0
2017-10-24 07:00:00,3.02e-06,3.73e-06,2.93e-06,3.37e-06,26910908.0
2017-10-25 07:00:00,3.38e-06,3.49e-06,3.05e-06,3.15e-06,22623993.0
2017-10-26 07:00:00,3.19e-06,3.31e-06,3.01e-06,3.03e-06,22037391.0
2017-10-27 07:00:00,3.09e-06,3.48e-06,3.02e-06,3.27e-06,23313575.0
2017-10-28 07:00:00,3.26e-06,3.51e-06,3.17e-06,3.35e-06,23157750.0
2017-10-29 07:00:00,3.35e-06,3.42e-06,2.95e-06,3.09e-06,21892416.0
2017-10-30 07:00:00,3.08e-06,3.5e-06,2.9e-06,3.09e-06,20813040.0
2017-10-31 07:00:00,3.1e-06,3.24e-06,2.77e-06,2.83e-06,22911420.0
2017-11-01 07:00:00,2.83e-06,2.87e-06,2.35e-06,2.4e-06,24330993.0
2017-11-02 07:00:00,2.4e-06,2.66e-06,1.9e-06,2.3e-06,22921268.0
2017-11-03 07:00:00,2.29e-06,2.45e-06,2.05e-06,2.34e-06,22159400.0
2017-11-04 07:00:00,2.33e-06,2.36e-06,2.13e-06,2.19e-06,22502574.0
2017-11-05 07:00:00,2.18e-06,2.26e-06,2e-06,2.07e-06,22065005.0
2017-11-06 07:00:00,2.05e-06,2.22e-06,1.98e-06,2.15e-06,25181079.0
2017-11-07 07:00:00,2.15e-06,2.3e-06,2.04e-06,2.17e-06,23267915.0
2017-11-08 07:00:00,2.16e-06,2.64e-06,2e-06,2.23e-06,28760751.0
2017-11-09 07:00:00,2.25e-06,2.54e-06,2.22e-06,2.41e-06,19058074.0
2017-11-10 07:00:00,2.41e-06,2.46e-06,2.16e-06,2.29e-06,30166586.0
2017-11-11 07:00:00,2.27e-06,2.4e-06,2.22e-06,2.3e-06,22339233.0
2017-11-12 07:00:00,2.32e-06,2.38e-06,2.1e-06,2.19e-06,33098292.0
2017-11-13 07:00:00,2.19e-06,2.32e-06,2.12e-06,2.2e-06,21733834.0
2017-11-14 07:00:00,2.2e-06,2.31e-06,2.04e-06,2.23e-06,28683263.0
2017-11-15 07:00:00,2.24e-06,2.41e-06,2.13e-06,2.24e-06,27589964.0
2017-11-16 07:00:00,2.24e-06,2.55e-06,2.06e-06,2.15e-06,37192693.0
2017-11-17 07:00:00,2.15e-06,2.18e-06,2.01e-06,2.07e-06,25039015.0
2017-11-18 07:00:00,2.07e-06,2.23e-06,1.96e-06,2.1e-06,25261721.0
2017-11-19 07:00:00,2.11e-06,2.35e-06,2.05e-06,2.09e-06,31513906.0
2017-11-20 07:00:00,2.08e-06,2.3e-06,2.07e-06,2.2e-06,31124382.0
2017-11-21 07:00:00,2.2e-06,2.44e-06,2.18e-06,2.41e-06,34100401.0
2017-11-22 07:00:00,2.41e-06,3.09e-06,2.38e-06,2.7e-06,52598012.0
2017-11-23 07:00:00,2.7e-06,3.02e-06,2.6e-06,2.89e-06,36630589.0
2017-11-24 07:00:00,2.88e-06,2.92e-06,2.7e-06,2.83e-06,26886413.0
2017-11-25 07:00:00,2.82e-06,2.85e-06,2.55e-06,2.57e-06,25733081.0
2017-11-26 07:00:00,2.58e-06,2.6e-06,2.27e-06,2.47e-06,28432287.0
2017-11-27 07:00:00,2.47e-06,2.5e-06,2.3e-06,2.37e-06,28510540.0
2017-11-28 07:00:00,2.39e-06,2.99e-06,2.34e-06,2.72e-06,29981741.0
2017-11-29 07:00:00,2.73e-06,3.02e-06,2.45e-06,2.52e-06,35886001.0
2017-11-30 07:00:00,2.52e-06,2.71e-06,2.21e-06,2.57e-06,20662744.0
2017-12-01 07:00:00,2.57e-06,2.67e-06,2.36e-06,2.44e-06,16490455.0
2017-12-02 07:00:00,2.44e-06,2.54e-06,2.24e-06,2.33e-06,13795147.0
2017-12-03 07:00:00,2.33e-06,2.55e-06,2.32e-06,2.42e-06,13798336.0
2017-12-04 07:00:00,2.41e-06,2.83e-06,2.32e-06,2.77e-06,17903836.0
2017-12-05 07:00:00,2.78e-06,2.83e-06,2.47e-06,2.51e-06,24873854.0
2017-12-06 07:00:00,2.51e-06,2.99e-06,2.32e-06,2.74e-06,31636931.0
2017-12-07 07:00:00,2.74e-06,2.76e-06,1.7e-06,1.7e-06,55203412.0
2017-12-08 07:00:00,1.7e-06,2.17e-06,1.43e-06,1.95e-06,53303349.0
2017-12-09 07:00:00,1.95e-06,2.25e-06,1.87e-06,2.12e-06,37877188.0
2017-12-10 07:00:00,2.1e-06,2.1e-06,1.79e-06,1.85e-06,25864848.0
2017-12-11 07:00:00,1.85e-06,2.1e-06,1.76e-06,1.86e-06,32809546.0
2017-12-12 07:00:00,1.87e-06,2.1e-06,1.75e-06,2.07e-06,33765610.0
2017-12-13 07:00:00,2.07e-06,2.63e-06,2.04e-06,2.59e-06,48821295.0
2017-12-14 07:00:00,2.63e-06,2.64e-06,2.09e-06,2.43e-06,48375729.0
2017-12-15 07:00:00,2.43e-06,2.81e-06,2e-06,2.25e-06,47463760.0
2017-12-16 07:00:00,2.25e-06,2.49e-06,2.05e-06,2.15e-06,55103750.0
2017-12-17 07:00:00,2.16e-06,2.78e-06,2.12e-06,2.38e-06,107885089.0
2017-12-18 07:00:00,2.38e-06,3.78e-06,2.25e-06,3.1e-06,159557012.0
2017-12-19 07:00:00,3.09e-06,3.45e-06,2.91e-06,3.19e-06,125589620.0
2017-12-20 07:00:00,3.18e-06,3.39e-06,2.74e-06,3.22e-06,140442302.0
2017-12-21 07:00:00,3.25e-06,4.25e-06,3.05e-06,3.85e-06,150137085.0
2017-12-22 07:00:00,3.85e-06,4.04e-06,2.84e-06,3.36e-06,86382695.0
2017-12-23 07:00:00,3.37e-06,5e-06,3.21e-06,4.19e-06,111752367.0
2017-12-24 07:00:00,4.19e-06,4.34e-06,3.56e-06,4.11e-06,80581018.0
2017-12-25 07:00:00,4.11e-06,4.71e-06,4.1e-06,4.23e-06,51294330.0
2017-12-26 07:00:00,4.23e-06,4.39e-06,3.19e-06,3.56e-06,48868432.0
2017-12-27 07:00:00,3.54e-06,3.9e-06,3.39e-06,3.61e-06,50347520.0
2017-12-28 07:00:00,3.61e-06,3.99e-06,3.4e-06,3.79e-06,41676415.0
2017-12-29 07:00:00,3.79e-06,4.45e-06,3.69e-06,4.17e-06,76301982.0
2017-12-30 07:00:00,4.18e-06,9.99e-06,4.05e-06,7.05e-06,343993857.0
2017-12-31 07:00:00,7.05e-06,9.32e-06,6.1e-06,6.19e-06,540685379.0
2018-01-01 07:00:00,6.19e-06,7.16e-06,6.12e-06,6.32e-06,211980058.0
2018-01-02 07:00:00,6.33e-06,6.87e-06,5e-06,6.01e-06,178621142.0
2018-01-03 07:00:00,6e-06,7.38e-06,5.65e-06,7.32e-06,206476518.0
2018-01-04 07:00:00,7.32e-06,1.385e-05,6.85e-06,1.139e-05,380994737.0
