,open,high,low,close,volume
2017-09-28 07:00:00,4.321e-05,9.699e-05,4.321e-05,8.999e-05,1170374.0
2017-09-29 07:00:00,8.999e-05,0.00012199,8.601e-05,0.0001045,1079615.0
2017-09-30 07:00:00,0.0001045,0.0001231,0.0001,0.000102,5297995.0
2017-10-01 07:00:00,0.000106,0.00011599,9.001e-05,0.000107,1064455.0
2017-10-02 07:00:00,0.000107,0.00011866,0.00010314,0.00010966,1842299.0
2017-10-03 07:00:00,0.00010672,0.00011319,0.00010103,0.00010502,1374295.0
2017-10-04 07:00:00,0.00010747,0.000113,9.505e-05,9.964e-05,791978.0
2017-10-05 07:00:00,9.964e-05,0.000107,9e-05,9.365e-05,828050.0
2017-10-06 07:00:00,9.365e-05,9.525e-05,8.501e-05,8.501e-05,1628025.0
2017-10-07 07:00:00,8.6e-05,8.888e-05,8.008e-05,8.5e-05,1243774.0
2017-10-08 07:00:00,8.67e-05,8.67e-05,7.621e-05,7.621e-05,1121566.0
2017-10-09 07:00:00,7.652e-05,8.161e-05,7.376e-05,7.7e-05,4041294.0
2017-10-10 07:00:00,7.416e-05,8.315e-05,7.102e-05,8.08e-05,3348569.0
2017-10-11 07:00:00,7.963e-05,8.894e-05,7.963e-05,8.556e-05,678930.0
2017-10-12 07:00:00,8.556e-05,8.818e-05,8e-05,8.573e-05,1900739.0
2017-10-13 07:00:00,8.639e-05,8.645e-05,6.998e-05,7.094e-05,628334.0
2017-10-14 07:00:00,7.09e-05,7.395e-05,6.691e-05,6.931e-05,747834.0
2017-10-15 07:00:00,6.931e-05,7.699e-05,6.695e-05,7.699e-05,503502.0
2017-10-16 07:00:00,6.948e-05,0.00011496,6.822e-05,8.8e-05,4563057.0
2017-10-17 07:00:00,8.8e-05,9.568e-05,8.1e-05,8.588e-05,5935812.0
2017-10-18 07:00:00,8.585e-05,8.757e-05,7.312e-05,7.561e-05,2835987.0
2017-10-19 07:00:00,7.561e-05,7.899e-05,6.935e-05,7.175e-05,1942214.0
2017-10-20 07:00:00,6.948e-05,7.474e-05,6.5e-05,6.506e-05,1695631.0
2017-10-21 07:00:00,6.633e-05,7.013e-05,5.827e-05,6.214e-05,1620335.0
2017-10-22 07:00:00,6.032e-05,6.949e-05,5.97e-05,6.8e-05,1388351.0
2017-10-23 07:00:00,6.587e-05,6.699e-05,6e-05,6.4e-05,1313152.0
2017-10-24 07:00:00,6.152e-05,6.987e-05,6.004e-05,6.4e-05,697898.0
2017-10-25 07:00:00,6.257e-05,6.406e-05,6e-05,6.005e-05,711874.0
2017-10-26 07:00:00,6.06e-05,6.499e-05,5.911e-05,6.106e-05,981777.0
2017-10-27 07:00:00,6.35e-05,6.7e-05,5.888e-05,6.194e-05,981938.0
2017-10-28 07:00:00,6.449e-05,6.969e-05,6.3e-05,6.662e-05,1170160.0
2017-10-29 07:00:00,6.538e-05,6.6e-05,5.8e-05,6.4e-05,1012513.0
2017-10-30 07:00:00,6.101e-05,6.93e-05,5.835e-05,6.35e-05,2540735.0
2017-10-31 07:00:00,6.211e-05,6.504e-05,5.7e-05,6.338e-05,611809.0
2017-11-01 07:00:00,6.003e-05,6.003e-05,5.302e-05,5.429e-05,1036350.0
2017-11-02 07:00:00,5.351e-05,6.35e-05,4.901e-05,5.651e-05,2036074.0
2017-11-03 07:00:00,5.534e-05,5.999e-05,5.1e-05,5.1e-05,659808.0
2017-11-04 07:00:00,5.431e-05,5.62e-05,5.3e-05,5.62e-05,551214.0
2017-11-05 07:00:00,5.3e-05,5.575e-05,5.011e-05,5.011e-05,886628.0
2017-11-06 07:00:00,5.099e-05,5.379e-05,4.921e-05,5e-05,925230.0
2017-11-07 07:00:00,5.001e-05,5.438e-05,4.893e-05,5.27e-05,1159674.0
2017-11-08 07:00:00,5.27e-05,5.849e-05,5.032e-05,5.769e-05,2528110.0
2017-11-09 07:00:00,5.374e-05,5.827e-05,5.311e-05,5.541e-05,1198049.0
2017-11-10 07:00:00,5.405e-05,5.58e-05,4.813e-05,5.134e-05,2370162.0
2017-11-11 07:00:00,5.283e-05,5.283e-05,4.46e-05,4.555e-05,2493333.0
2017-11-12 07:00:00,4.481e-05,4.81e-05,4.11e-05,4.264e-05,12574781.0
2017-11-13 07:00:00,4.261e-05,4.765e-05,4.111e-05,4.501e-05,594036.0
2017-11-14 07:00:00,4.616e-05,5.3e-05,4.1e-05,4.449e-05,4379388.0
2017-11-15 07:00:00,4.435e-05,5.058e-05,4.333e-05,4.701e-05,1741024.0
2017-11-16 07:00:00,4.984e-05,5.481e-05,4.705e-05,5.199e-05,2079557.0
2017-11-17 07:00:00,5.012e-05,5.105e-05,4.736e-05,4.736e-05,1140406.0
2017-11-18 07:00:00,4.737e-05,5.004e-05,4.591e-05,4.637e-05,2163067.0
2017-11-19 07:00:00,4.729e-05,5.195e-05,4.291e-05,4.76e-05,1484881.0
2017-11-20 07:00:00,4.76e-05,5.141e-05,4.486e-05,4.941e-05,2641801.0
2017-11-21 07:00:00,4.98e-05,5.495e-05,4.848e-05,5.495e-05,2844673.0
2017-11-22 07:00:00,5.391e-05,6.899e-05,5.306e-05,5.775e-05,7583839.0
2017-11-23 07:00:00,5.796e-05,6.595e-05,5.459e-05,5.609e-05,2805539.0
2017-11-24 07:00:00,5.612e-05,5.89e-05,4.607e-05,4.928e-05,2392925.0
2017-11-25 07:00:00,4.914e-05,5.367e-05,4.495e-05,4.876e-05,1134024.0
2017-11-26 07:00:00,4.875e-05,5.12e-05,4.492e-05,4.83e-05,811929.0
2017-11-27 07:00:00,4.92e-05,5.032e-05,4.608e-05,4.823e-05,1137831.0
2017-11-28 07:00:00,4.858e-05,6.355e-05,4.858e-05,5.7e-05,2091631.0
2017-11-29 07:00:00,5.781e-05,6.501e-05,5.354e-05,5.814e-05,4984210.0
2017-11-30 07:00:00,5.814e-05,6.23e-05,5.301e-05,5.889e-05,2504286.0
2017-12-01 07:00:00,5.896e-05,6.167e-05,5.741e-05,5.756e-05,1769057.0
2017-12-02 07:00:00,5.756e-05,5.973e-05,5.319e-05,5.56e-05,1772065.0
2017-12-03 07:00:00,5.54e-05,6.435e-05,5.509e-05,5.78e-05,1264381.0
2017-12-04 07:00:00,5.889e-05,7.318e-05,5.631e-05,6.949e-05,1981621.0
2017-12-05 07:00:00,6.911e-05,7.299e-05,6.422e-05,6.439e-05,2868212.0
2017-12-06 07:00:00,6.6e-05,0.0001,6.439e-05,9.097e-05,4909013.0
2017-12-07 07:00:00,9.097e-05,9.217e-05,6.5e-05,7.023e-05,9524212.0
2017-12-08 07:00:00,7.023e-05,7.349e-05,6.001e-05,7.031e-05,9049322.0
2017-12-09 07:00:00,7.031e-05,8.049e-05,5.69e-05,6.624e-05,5285273.0
2017-12-10 07:00:00,6.601e-05,6.86e-05,5.801e-05,6.489e-05,2795579.0
2017-12-11 07:00:00,6.49e-05,7.688e-05,6.1e-05,6.1e-05,2473129.0
2017-12-12 07:00:00,6.055e-05,6.507e-05,4.813e-05,5.464e-05,4658687.0
2017-12-13 07:00:00,5.464e-05,6.599e-05,5.401e-05,6.132e-05,5348706.0
2017-12-14 07:00:00,5.983e-05,6.25e-05,5.227e-05,6.053e-05,6836166.0
2017-12-15 07:00:00,5.88e-05,6.55e-05,5.459e-05,5.85e-05,11124280.0
2017-12-16 07:00:00,5.827e-05,6.449e-05,5.695e-05,6.059e-05,17412803.0
2017-12-17 07:00:00,6.059e-05,7.3e-05,5.772e-05,6.41e-05,37043064.0
2017-12-18 07:00:00,6.389e-05,8.997e-05,6.1e-05,7.55e-05,39236679.0
2017-12-19 07:00:00,7.55e-05,7.988e-05,6.475e-05,7.01e-05,29713663.0
2017-12-20 07:00:00,6.93e-05,7.199e-05,5.9e-05,6.737e-05,28003623.0
2017-12-21 07:00:00,6.737e-05,8.499e-05,6.335e-05,7.655e-05,33317297.0
2017-12-22 07:00:00,7.655e-05,7.996e-05,6.2e-05,7.1e-05,29790568.0
2017-12-23 07:00:00,7.075e-05,0.00010713,6.822e-05,8.712e-05,34768764.0
2017-12-24 07:00:00,8.712e-05,8.914e-05,7.5e-05,8.303e-05,20194725.0
2017-12-25 07:00:00,8.441e-05,9.01e-05,7.9e-05,8.051e-05,10122414.0
2017-12-26 07:00:00,8.051e-05,8.365e-05,7e-05,7.503e-05,10518342.0
2017-12-27 07:00:00,7.453e-05,8.4e-05,7.01e-05,7.6e-05,14108205.0
2017-12-28 07:00:00,7.529e-05,7.8e-05,7.047e-05,7.636e-05,10997710.0
2017-12-29 07:00:00,7.6e-05,8.69e-05,7.371e-05,8.156e-05,17910024.0
2017-12-30 07:00:00,8.295e-05,0.00018005,7.81e-05,0.00012806,61401987.0
2017-12-31 07:00:00,0.00012806,0.0001755,0.0001129,0.000115,81189857.0
2018-01-01 07:00:00,0.000115,0.000126,0.00011121,0.00011204,35433070.0
2018-01-02 07:00:00,0.00011201,0.00011498,9.133e-05,0.00010297,35650836.0
2018-01-03 07:00:00,0.00010348,0.000125,9.702e-05,0.0001171,51131673.0
2018-01-04 07:00:00,0.0001171,0.000205,0.00011249,0.00018266,98490537.0
2018-01-05 07:00:00,0.00018501,0.000195,0.00015022,0.00016999,61105149.0
2018-01-06 07:00:00,0.00017,0.0001845,0.00015536,0.00017039,35009354.0
2018-01-07 07:00:00,0.00017039,0.000179,0.00014545,0.0001476,35735637.0
2018-01-08 07:00:00,0.000148,0.0001715,0.00012396,0.00016486,56998755.0
2018-01-09 07:00:00,0.00016486,0.00016948,0.00012602,0.00013197,64430155.0
2018-01-10 07:00:00,0.00013194,0.00013395,0.000108,0.00012974,29124383.0
2018-01-11 07:00:00,0.00012975,0.00013,0.00010499,0.00011432,25561328.0
2018-01-12 07:00:00,0.00011432,0.00011695,0.0001095,0.00011291,22545949.0
2018-01-13 07:00:00,0.00011225,0.00011375,9.5e-05,9.912e-05,22174045.0
2018-01-14 07:00:00,9.96e-05,0.0001002,9e-05,9.506e-05,16640114.0
2018-01-15 07:00:00,9.506e-05,0.00010713,9.352e-05,9.533e-05,19636205.0
2018-01-16 07:00:00,9.539e-05,9.634e-05,6.324e-05,8.164e-05,30116298.0
2018-01-17 07:00:00,8.176e-05,9.8e-05,7.705e-05,9.435e-05,29708240.0
2018-01-18 07:00:00,9.435e-05,0.00011727,9.25e-05,0.00010873,32355348.0
2018-01-19 07:00:00,0.00010872,0.000134,0.00010842,0.00011857,57354514.0
2018-01-20 07:00:00,0.0001185,0.00011908,0.00010432,0.00010617,20531205.0
2018-01-21 07:00:00,0.00010669,0.0001094,9.258e-05,0.00010121,20816004.0
2018-01-22 07:00:00,0.00010121,0.00010846,9.2e-05,9.9e-05,19973744.0
2018-01-23 07:00:00,9.943e-05,0.000105,9.424e-05,9.794e-05,12877777.0
2018-01-24 07:00:00,9.795e-05,0.000107,9.4e-05,9.447e-05,17607184.0
2018-01-25 07:00:00,9.447e-05,9.67e-05,8.706e-05,9.185e-05,11283662.0
2018-01-26 07:00:00,9.213e-05,9.437e-05,8.691e-05,9.061e-05,9043960.0
2018-01-27 07:00:00,9.041e-05,0.00010106,8.891e-05,9.43e-05,22210015.0
2018-01-28 07:00:00,9.43e-05,9.509e-05,8.2e-05,8.202e-05,13973392.0
2018-01-29 07:00:00,8.204e-05,8.985e-05,8.015e-05,8.084e-05,8932239.0
2018-01-30 07:00:00,8.085e-05,8.98e-05,7.232e-05,7.502e-05,13021246.0
2018-01-31 07:00:00,7.519e-05,7.8e-05,6.951e-05,7.66e-05,10734666.0
2018-02-01 07:00:00,7.66e-05,7.691e-05,6e-05,6.7e-05,17972111.0
2018-02-02 07:00:00,6.702e-05,7.099e-05,5.9e-05,5.904e-05,22150159.0
2018-02-03 07:00:00,5.914e-05,6.493e-05,4.766e-05,6.153e-05,39864165.0
2018-02-04 07:00:00,6.152e-05,6.3e-05,5.856e-05,6.068e-05,18409659.0
2018-02-05 07:00:00,6.065e-05,6.845e-05,5.3e-05,5.539e-05,25488305.0
2018-02-06 07:00:00,5.541e-05,7e-05,5.13e-05,6.77e-05,32281542.0
2018-02-07 07:00:00,6.781e-05,9.131e-05,6.374e-05,7.5e-05,94183660.0
2018-02-08 07:00:00,7.5e-05,7.792e-05,7.35e-05,7.72e-05,1514548.0
2018-02-09 07:00:00,7.718e-05,7.718e-05,6.9e-05,7.025e-05,15533748.0
2018-02-10 07:00:00,7.016e-05,7.379e-05,6.513e-05,6.678e-05,19837029.0
2018-02-11 07:00:00,6.678e-05,6.825e-05,6.175e-05,6.436e-05,12878100.0
2018-02-12 07:00:00,6.436e-05,6.619e-05,6e-05,6.31e-05,29278595.0
2018-02-13 07:00:00,6.3e-05,6.399e-05,6.001e-05,6.03e-05,8537104.0
2018-02-14 07:00:00,6.029e-05,6.67e-05,5.928e-05,6.173e-05,15260302.0
2018-02-15 07:00:00,6.18e-05,6.44e-05,5.944e-05,6.217e-05,19926860.0
2018-02-16 07:00:00,6.238e-05,6.385e-05,6.052e-05,6.295e-05,11286350.0
2018-02-17 07:00:00,6.295e-05,7.15e-05,6.251e-05,6.855e-05,25764207.0
2018-02-18 07:00:00,6.855e-05,6.875e-05,6.28e-05,6.402e-05,15976559.0
2018-02-19 07:00:00,6.427e-05,6.85e-05,6.31e-05,6.765e-05,10316839.0
2018-02-20 07:00:00,6.765e-05,6.867e-05,6.228e-05,6.327e-05,16383131.0
2018-02-21 07:00:00,6.363e-05,6.599e-05,5.961e-05,6.177e-05,10697414.0
2018-02-22 07:00:00,6.177e-05,6.379e-05,5.79e-05,6.071e-05,9041707.0
2018-02-23 07:00:00,6.087e-05,6.869e-05,5.704e-05,6.119e-05,17062036.0
2018-02-24 07:00:00,6.136e-05,6.528e-05,5.96e-05,6.149e-05,12057627.0
2018-02-25 07:00:00,6.147e-05,6.44e-05,6e-05,6.134e-05,6466908.0
2018-02-26 07:00:00,6.115e-05,6.192e-05,5.701e-05,6.026e-05,6824566.0
2018-02-27 07:00:00,6.063e-05,6.1e-05,5.83e-05,5.951e-05,4950024.0
2018-02-28 07:00:00,5.978e-05,6.179e-05,5.7e-05,6.179e-05,8746594.0
2018-03-01 07:00:00,6.178e-05,7.699e-05,6.001e-05,6.614e-05,32210875.0
2018-03-02 07:00:00,6.584e-05,7.99e-05,6.552e-05,7.978e-05,31308302.0
2018-03-03 07:00:00,7.98e-05,8.689e-05,7.114e-05,7.393e-05,27418033.0
2018-03-04 07:00:00,7.432e-05,7.59e-05,6.8e-05,6.947e-05,7944708.0
2018-03-05 07:00:00,6.924e-05,7.7e-05,6.8e-05,7.369e-05,8624421.0
2018-03-06 07:00:00,7.375e-05,7.545e-05,6.667e-05,6.718e-05,9228801.0
2018-03-07 07:00:00,6.718e-05,6.9e-05,6.001e-05,6.498e-05,12767139.0
2018-03-08 07:00:00,6.496e-05,6.697e-05,6.001e-05,6.172e-05,7430700.0
2018-03-09 07:00:00,6.15e-05,6.37e-05,5.8e-05,6.301e-05,8580422.0
2018-03-10 07:00:00,6.302e-05,6.674e-05,6.109e-05,6.325e-05,5164875.0
2018-03-11 07:00:00,6.325e-05,6.709e-05,6.241e-05,6.709e-05,3193989.0
2018-03-12 07:00:00,6.659e-05,6.765e-05,6.411e-05,6.503e-05,3998690.0
2018-03-13 07:00:00,6.503e-05,6.785e-05,6.351e-05,6.495e-05,4953842.0
2018-03-14 07:00:00,6.45e-05,6.6e-05,5.971e-05,6.147e-05,6666683.0
2018-03-15 07:00:00,6.129e-05,6.598e-05,5.905e-05,6.282e-05,8217529.0
2018-03-16 07:00:00,6.344e-05,6.622e-05,6.106e-05,6.368e-05,3827127.0
2018-03-17 07:00:00,6.397e-05,6.65e-05,6.15e-05,6.38e-05,4091846.0
2018-03-18 07:00:00,6.326e-05,6.745e-05,6.152e-05,6.642e-05,8652464.0
2018-03-19 07:00:00,6.642e-05,7.476e-05,6.466e-05,7.06e-05,8216371.0
2018-03-20 07:00:00,7.04e-05,7.5e-05,6.706e-05,7.2e-05,9822594.0
2018-03-21 07:00:00,7.248e-05,7.721e-05,7e-05,7.278e-05,8847733.0
2018-03-22 07:00:00,7.271e-05,7.573e-05,7.111e-05,7.342e-05,8194467.0
2018-03-23 07:00:00,7.361e-05,7.985e-05,7.115e-05,7.59e-05,11147175.0
2018-03-24 07:00:00,7.6e-05,8.45e-05,7.484e-05,7.832e-05,13610814.0
2018-03-25 07:00:00,7.828e-05,8.4e-05,7.616e-05,8.02e-05,6079859.0
2018-03-26 07:00:00,8.039e-05,8.05e-05,7.539e-05,7.788e-05,7174956.0
2018-03-27 07:00:00,7.779e-05,8.778e-05,7.558e-05,8.075e-05,14680447.0
2018-03-28 07:00:00,8.023e-05,8.666e-05,7.954e-05,8.444e-05,7704814.0
2018-03-29 07:00:00,8.445e-05,8.65e-05,7.727e-05,8.103e-05,8454840.0
2018-03-30 07:00:00,8.12e-05,8.258e-05,7.616e-05,7.753e-05,6215497.0
2018-03-31 07:00:00,7.752e-05,8.654e-05,7.6e-05,7.864e-05,9648286.0
2018-04-01 07:00:00,7.864e-05,8.026e-05,7.508e-05,7.821e-05,4232622.0
2018-04-02 07:00:00,7.821e-05,8.117e-05,7.673e-05,7.87e-05,4935971.0
2018-04-03 07:00:00,7.899e-05,8.436e-05,7.777e-05,7.85e-05,5421001.0
2018-04-04 07:00:00,7.892e-05,7.999e-05,7.7e-05,7.764e-05,3931025.0
2018-04-05 07:00:00,7.705e-05,8.041e-05,7.59e-05,7.742e-05,4510963.0
2018-04-06 07:00:00,7.742e-05,7.961e-05,7.608e-05,7.88e-05,2387187.0
2018-04-07 07:00:00,7.88e-05,7.997e-05,7.65e-05,7.761e-05,2569613.0
2018-04-08 07:00:00,7.797e-05,7.811e-05,7.59e-05,7.619e-05,2521588.0
2018-04-09 07:00:00,7.619e-05,7.634e-05,7.178e-05,7.24e-05,6088360.0
2018-04-10 07:00:00,7.246e-05,7.444e-05,7.1e-05,7.108e-05,4141430.0
2018-04-11 07:00:00,7.1e-05,7.969e-05,7.023e-05,7.758e-05,8941257.0
2018-04-12 07:00:00,7.758e-05,8.337e-05,7.201e-05,7.354e-05,21386983.0
2018-04-13 07:00:00,7.314e-05,8.287e-05,7.178e-05,7.581e-05,13091105.0
2018-04-14 07:00:00,7.582e-05,8.926e-05,7.521e-05,8.246e-05,25778431.0
2018-04-15 07:00:00,8.221e-05,8.373e-05,7.909e-05,8.009e-05,8049966.0
2018-04-16 07:00:00,8.009e-05,8.153e-05,7.61e-05,7.95e-05,5906431.0
2018-04-17 07:00:00,7.95e-05,8.15e-05,7.801e-05,7.912e-05,9416606.0
2018-04-18 07:00:00,7.873e-05,8.312e-05,7.7e-05,8.253e-05,8661268.0
2018-04-19 07:00:00,8.253e-05,8.312e-05,7.91e-05,7.956e-05,7570128.0
2018-04-20 07:00:00,7.983e-05,8.03e-05,7.54e-05,7.67e-05,8391623.0
2018-04-21 07:00:00,7.601e-05,7.912e-05,7.123e-05,7.455e-05,7817861.0
2018-04-22 07:00:00,7.455e-05,7.755e-05,7.28e-05,7.569e-05,12648749.0
2018-04-23 07:00:00,7.518e-05,7.698e-05,7.33e-05,7.528e-05,12750583.0
2018-04-24 07:00:00,7.499e-05,7.585e-05,7.108e-05,7.259e-05,17352880.0
2018-04-25 07:00:00,7.24e-05,7.4e-05,6.707e-05,6.782e-05,29689228.0
2018-04-26 07:00:00,6.782e-05,7.2e-05,6.66e-05,6.972e-05,25243715.0
2018-04-27 07:00:00,6.972e-05,7.031e-05,6.731e-05,6.9e-05,10679295.0
2018-04-28 07:00:00,6.886e-05,6.96e-05,6.712e-05,6.772e-05,12544350.0
2018-04-29 07:00:00,6.769e-05,6.999e-05,6.747e-05,6.918e-05,13402115.0
2018-04-30 07:00:00,6.919e-05,7.419e-05,6.83e-05,7.176e-05,25217647.0
2018-05-01 07:00:00,7.176e-05,7.216e-05,6.924e-05,7.118e-05,14103447.0
2018-05-02 07:00:00,7.119e-05,7.402e-05,7.023e-05,7.313e-05,18156728.0
2018-05-03 07:00:00,7.331e-05,7.537e-05,6.7e-05,6.748e-05,39086619.0
2018-05-04 07:00:00,6.747e-05,6.954e-05,6.243e-05,6.509e-05,16442818.0
2018-05-05 07:00:00,6.509e-05,6.549e-05,6.147e-05,6.303e-05,13385466.0
2018-05-06 07:00:00,6.281e-05,6.715e-05,6.191e-05,6.715e-05,18718295.0
2018-05-07 07:00:00,6.715e-05,8.05e-05,6.675e-05,7.578e-05,87415073.0
2018-05-08 07:00:00,7.578e-05,7.963e-05,7.275e-05,7.49e-05,23455482.0
2018-05-09 07:00:00,7.508e-05,7.562e-05,7.082e-05,7.115e-05,9643023.0
2018-05-10 07:00:00,7.115e-05,7.715e-05,7.07e-05,7.399e-05,17710378.0
2018-05-11 07:00:00,7.399e-05,7.4e-05,6.506e-05,6.652e-05,12207644.0
2018-05-12 07:00:00,6.652e-05,6.907e-05,6.306e-05,6.677e-05,8315650.0
2018-05-13 07:00:00,6.703e-05,7.073e-05,6.499e-05,6.69e-05,8392294.0
2018-05-14 07:00:00,6.687e-05,6.716e-05,6.349e-05,6.51e-05,7819519.0
2018-05-15 07:00:00,6.506e-05,6.776e-05,6.386e-05,6.441e-05,7290458.0
2018-05-16 07:00:00,6.441e-05,6.514e-05,6.106e-05,6.274e-05,6912099.0
2018-05-17 07:00:00,6.26e-05,7.7e-05,6.197e-05,7.01e-05,20001359.0
2018-05-18 07:00:00,7.009e-05,8.083e-05,6.577e-05,6.686e-05,34140374.0
2018-05-19 07:00:00,6.686e-05,7.25e-05,6.647e-05,6.808e-05,10216757.0
2018-05-20 07:00:00,6.799e-05,6.876e-05,6.666e-05,6.701e-05,6328701.0
2018-05-21 07:00:00,6.688e-05,6.784e-05,6.573e-05,6.7e-05,6551267.0
2018-05-22 07:00:00,6.7e-05,6.745e-05,6.288e-05,6.487e-05,5602953.0
2018-05-23 07:00:00,6.453e-05,6.625e-05,5.739e-05,6.094e-05,10808186.0
2018-05-24 07:00:00,6.09e-05,6.278e-05,5.63e-05,6.065e-05,16078706.0
2018-05-25 07:00:00,6.086e-05,6.316e-05,5.8e-05,5.926e-05,7041607.0
2018-05-26 07:00:00,5.939e-05,6.113e-05,5.82e-05,5.982e-05,4505187.0
2018-05-27 07:00:00,5.984e-05,6.284e-05,5.849e-05,6.126e-05,3475456.0
2018-05-28 07:00:00,6.108e-05,6.385e-05,5.997e-05,6.107e-05,9141571.0
2018-05-29 07:00:00,6.095e-05,6.4e-05,5.99e-05,6.039e-05,8001243.0
2018-05-30 07:00:00,6.041e-05,6.169e-05,5.962e-05,6.064e-05,7004767.0
2018-05-31 07:00:00,6.064e-05,6.1e-05,5.82e-05,5.913e-05,5090396.0
2018-06-01 07:00:00,5.904e-05,6.07e-05,5.817e-05,5.986e-05,6420696.0
2018-06-02 07:00:00,5.982e-05,6.164e-05,5.925e-05,6.045e-05,6467886.0
2018-06-03 07:00:00,6.045e-05,6.057e-05,5.713e-05,5.752e-05,5538213.0
2018-06-04 07:00:00,5.799e-05,5.84e-05,5.574e-05,5.716e-05,6098775.0
2018-06-05 07:00:00,5.716e-05,5.826e-05,5.66e-05,5.701e-05,4629132.0
2018-06-06 07:00:00,5.709e-05,5.721e-05,5.537e-05,5.58e-05,4238249.0
2018-06-07 07:00:00,5.56e-05,5.698e-05,5.534e-05,5.568e-05,3269381.0
2018-06-08 07:00:00,5.548e-05,5.689e-05,5.402e-05,5.658e-05,2662676.0
2018-06-09 07:00:00,5.654e-05,5.682e-05,5.534e-05,5.565e-05,3353340.0
2018-06-10 07:00:00,5.558e-05,5.578e-05,5.111e-05,5.231e-05,8831844.0
2018-06-11 07:00:00,5.245e-05,5.492e-05,5.149e-05,5.392e-05,4919120.0
