,open,high,low,close,volume
2017-11-07 07:00:00,0.0003148,0.000428,0.0003148,0.0003864,669933.7
2017-11-08 07:00:00,0.0003862,0.0004085,0.0003057,0.0003764,695604.58
2017-11-09 07:00:00,0.0003805,0.0004,0.0003737,0.0003851,670401.51
2017-11-10 07:00:00,0.0003879,0.0003879,0.00032,0.0003383,885358.06
2017-11-11 07:00:00,0.0003383,0.0003544,0.0003249,0.0003301,845357.97
2017-11-12 07:00:00,0.0003301,0.0003362,0.000302,0.0003179,620417.52
2017-11-13 07:00:00,0.000318,0.000336,0.0003057,0.0003107,719400.84
2017-11-14 07:00:00,0.0003105,0.0003488,0.0003083,0.0003268,750206.88
2017-11-15 07:00:00,0.0003268,0.0003325,0.0003102,0.000322,624385.7
2017-11-16 07:00:00,0.0003289,0.000329,0.0002897,0.0002908,561111.67
2017-11-17 07:00:00,0.0002909,0.0003024,0.000275,0.0002754,833731.07
2017-11-18 07:00:00,0.0002812,0.00031,0.0002752,0.0002968,872483.45
2017-11-19 07:00:00,0.0002968,0.0003296,0.0002792,0.0002912,677758.41
2017-11-20 07:00:00,0.0002915,0.0003112,0.0002859,0.0002961,841996.26
2017-11-21 07:00:00,0.0002961,0.0003128,0.0002804,0.0002922,668078.33
2017-11-22 07:00:00,0.0002912,0.0003043,0.0002883,0.000295,855817.19
2017-11-23 07:00:00,0.000295,0.0003143,0.0002841,0.0003143,1123264.1
2017-11-24 07:00:00,0.0003142,0.0003158,0.0002803,0.0002975,1169944.33
2017-11-25 07:00:00,0.0002965,0.0003086,0.0002872,0.000303,1041000.94
2017-11-26 07:00:00,0.0003029,0.0003304,0.000298,0.0003134,1106592.36
2017-11-27 07:00:00,0.0003135,0.0003435,0.0003041,0.0003266,1453881.4
2017-11-28 07:00:00,0.0003259,0.0003367,0.00029,0.0003164,1036807.88
2017-11-29 07:00:00,0.000317,0.000317,0.0002506,0.0002511,919829.7
2017-11-30 07:00:00,0.0002524,0.0002736,0.000239,0.0002598,620149.24
2017-12-01 07:00:00,0.0002608,0.0002731,0.000245,0.0002506,805366.2
2017-12-02 07:00:00,0.0002512,0.0002599,0.0002404,0.0002534,731474.18
