,open,high,low,close,volume
2017-11-07 07:00:00,0.007532,0.010908,0.007532,0.010217,19284.34
2017-11-08 07:00:00,0.0102,0.0102,0.007733,0.009,11676.86
2017-11-09 07:00:00,0.00915,0.00941,0.008126,0.00889,7540.93
2017-11-10 07:00:00,0.008633,0.008633,0.0071,0.007657,15924.45
2017-11-11 07:00:00,0.00754,0.00778,0.006639,0.00664,3448.35
2017-11-12 07:00:00,0.006641,0.006764,0.005672,0.006145,31665.15
2017-11-13 07:00:00,0.006146,0.0072,0.006116,0.006235,10967.29
2017-11-14 07:00:00,0.006455,0.007485,0.006175,0.00645,22742.52
2017-11-15 07:00:00,0.006412,0.007327,0.006274,0.007327,5514.03
2017-11-16 07:00:00,0.007071,0.00714,0.006535,0.007108,3953.44
2017-11-17 07:00:00,0.007108,0.0073,0.00658,0.006824,3913.63
2017-11-18 07:00:00,0.006579,0.007031,0.00645,0.006644,1969.84
2017-11-19 07:00:00,0.006647,0.006893,0.006345,0.006471,3836.02
2017-11-20 07:00:00,0.00662,0.007107,0.006345,0.006606,9392.68
2017-11-21 07:00:00,0.006622,0.006985,0.00627,0.006542,15232.72
2017-11-22 07:00:00,0.006661,0.007236,0.0063,0.006355,15041.06
2017-11-23 07:00:00,0.006342,0.006719,0.00567,0.006073,9788.11
2017-11-24 07:00:00,0.006045,0.006097,0.005108,0.00513,8685.37
2017-11-25 07:00:00,0.005136,0.005798,0.005088,0.005657,7903.28
2017-11-26 07:00:00,0.005686,0.006799,0.005686,0.006232,17308.62
2017-11-27 07:00:00,0.006219,0.007064,0.006079,0.006647,24647.61
2017-11-28 07:00:00,0.006647,0.007079,0.005712,0.006622,20910.78
2017-11-29 07:00:00,0.006733,0.006734,0.005594,0.00586,26727.31
2017-11-30 07:00:00,0.005811,0.006144,0.005451,0.005921,19025.64
2017-12-01 07:00:00,0.005941,0.006405,0.005505,0.005909,12417.78
2017-12-02 07:00:00,0.005895,0.006206,0.005686,0.006032,10875.99
2017-12-03 07:00:00,0.006098,0.006405,0.005977,0.00611,9220.84
2017-12-04 07:00:00,0.00623,0.0072,0.006172,0.0072,17500.98
2017-12-05 07:00:00,0.007128,0.007777,0.006863,0.00745,13568.66
2017-12-06 07:00:00,0.007452,0.007698,0.006765,0.006999,24507.84
2017-12-07 07:00:00,0.006999,0.00984,0.006999,0.008674,59497.25
2017-12-08 07:00:00,0.008833,0.008881,0.006313,0.007526,23918.17
2017-12-09 07:00:00,0.007526,0.007765,0.006355,0.006648,15229.42
2017-12-10 07:00:00,0.006648,0.006995,0.006061,0.00653,23037.53
2017-12-11 07:00:00,0.006328,0.006947,0.005889,0.006394,14547.49
2017-12-12 07:00:00,0.006306,0.006657,0.0051,0.00554,22639.75
2017-12-13 07:00:00,0.005614,0.005827,0.00486,0.004943,25756.24
2017-12-14 07:00:00,0.005094,0.00582,0.0047,0.005799,22255.57
2017-12-15 07:00:00,0.005423,0.007337,0.005423,0.006887,56766.6
2017-12-16 07:00:00,0.006791,0.007269,0.006245,0.006471,38797.2
2017-12-17 07:00:00,0.00647,0.00725,0.006141,0.00677,50153.45
2017-12-18 07:00:00,0.00677,0.008068,0.00641,0.007166,50178.58
2017-12-19 07:00:00,0.007331,0.00825,0.00655,0.007246,56340.24
2017-12-20 07:00:00,0.007246,0.010893,0.006401,0.009605,76970.64
2017-12-21 07:00:00,0.009955,0.024,0.0095,0.014499,230571.14
2017-12-22 07:00:00,0.014499,0.019016,0.01327,0.017604,160644.09
2017-12-23 07:00:00,0.017865,0.0185,0.015147,0.0164,49670.65
2017-12-24 07:00:00,0.0165,0.016678,0.015001,0.0156,41104.98
2017-12-25 07:00:00,0.0156,0.0164,0.013701,0.014499,26248.73
2017-12-26 07:00:00,0.014498,0.014498,0.0128,0.013435,21774.64
2017-12-27 07:00:00,0.013436,0.014167,0.012442,0.013765,31519.74
2017-12-28 07:00:00,0.013394,0.013765,0.011337,0.012627,37143.55
2017-12-29 07:00:00,0.012626,0.014449,0.012001,0.013359,41725.71
2017-12-30 07:00:00,0.013347,0.0155,0.011527,0.01289,250897.22
2017-12-31 07:00:00,0.012891,0.014,0.01213,0.013426,45269.47
2018-01-01 07:00:00,0.013295,0.014146,0.01233,0.0127,31015.05
2018-01-02 07:00:00,0.012747,0.013394,0.010917,0.012111,50360.73
2018-01-03 07:00:00,0.012112,0.012149,0.010338,0.010365,46866.83
2018-01-04 07:00:00,0.010562,0.0189,0.00943,0.010224,214213.03
2018-01-05 07:00:00,0.010244,0.010396,0.008001,0.008403,86674.28
2018-01-06 07:00:00,0.008805,0.010249,0.008058,0.00958,158729.87
