,open,high,low,close,volume
2017-11-22 07:00:00,0.012,0.012,0.000975,0.0010451,656541.49
2017-11-23 07:00:00,0.0010451,0.0010964,0.0008559,0.000917,517994.9
2017-11-24 07:00:00,0.0009151,0.001,0.0009096,0.0009565,456072.45
2017-11-25 07:00:00,0.0009615,0.0010178,0.000903,0.0009183,398504.85
2017-11-26 07:00:00,0.0009163,0.000928,0.0007845,0.0008002,300831.58
2017-11-27 07:00:00,0.0008002,0.0008367,0.0007677,0.0008107,392131.41
2017-11-28 07:00:00,0.0008143,0.0008647,0.0007871,0.0007877,458055.07
2017-11-29 07:00:00,0.0007877,0.0008083,0.0006591,0.0007179,480896.98
2017-11-30 07:00:00,0.0007138,0.0007599,0.0006823,0.000753,459920.28
2017-12-01 07:00:00,0.0007521,0.0007757,0.0007086,0.0007155,545478.68
2017-12-02 07:00:00,0.0007155,0.0007266,0.00068,0.0007119,577388.47
2017-12-03 07:00:00,0.0007119,0.0007331,0.0006718,0.0006954,405749.52
2017-12-04 07:00:00,0.0006933,0.00092,0.0006712,0.0007607,466897.16
2017-12-05 07:00:00,0.0007608,0.0009,0.0007334,0.0008565,709370.2
2017-12-06 07:00:00,0.000843,0.0008566,0.0005974,0.0006159,610825.49
2017-12-07 07:00:00,0.0006159,0.0006475,0.0004143,0.0004249,579965.12
2017-12-08 07:00:00,0.0004223,0.0005888,0.0003917,0.000508,546397.25
2017-12-09 07:00:00,0.000508,0.0005814,0.0004947,0.0005475,499910.76
2017-12-10 07:00:00,0.0005483,0.0006061,0.0004956,0.0005201,429613.25
2017-12-11 07:00:00,0.0005186,0.0005308,0.0004622,0.0004843,465679.55
2017-12-12 07:00:00,0.0004844,0.000571,0.000475,0.0005517,650668.08
2017-12-13 07:00:00,0.0005584,0.00065,0.0005159,0.0005876,781576.6
2017-12-14 07:00:00,0.000586,0.0006797,0.00058,0.0006514,926506.52
2017-12-15 07:00:00,0.0006514,0.0006699,0.00051,0.0005783,778271.89
2017-12-16 07:00:00,0.0005806,0.0006059,0.00053,0.0005475,865123.23
2017-12-17 07:00:00,0.0005437,0.000858,0.0005288,0.0007186,1454891.78
2017-12-18 07:00:00,0.0007186,0.0009518,0.0007048,0.0008978,1289646.1
2017-12-19 07:00:00,0.0008978,0.0010486,0.0008571,0.0009368,882004.85
2017-12-20 07:00:00,0.00094,0.0012464,0.0009002,0.0011869,826038.61
2017-12-21 07:00:00,0.0011858,0.001642,0.001155,0.0015396,1185469.04
2017-12-22 07:00:00,0.0015394,0.0016004,0.0011865,0.0013998,993308.43
2017-12-23 07:00:00,0.0013914,0.0014952,0.0013061,0.0014263,701044.44
