,open,high,low,close,volume
2017-11-24 07:00:00,1.5e-06,6.41e-06,1.5e-06,1.88e-06,86515930.0
2017-11-25 07:00:00,1.89e-06,2.05e-06,1.7e-06,1.76e-06,17618891.0
2017-11-26 07:00:00,1.78e-06,1.84e-06,1.64e-06,1.68e-06,9770960.0
2017-11-27 07:00:00,1.69e-06,1.9e-06,1.55e-06,1.75e-06,35124240.0
2017-11-28 07:00:00,1.76e-06,1.98e-06,1.66e-06,1.82e-06,39032904.0
2017-11-29 07:00:00,1.84e-06,1.84e-06,1.46e-06,1.53e-06,17918075.0
2017-11-30 07:00:00,1.51e-06,1.62e-06,1.44e-06,1.54e-06,15009721.0
2017-12-01 07:00:00,1.54e-06,1.57e-06,1.39e-06,1.49e-06,10472501.0
2017-12-02 07:00:00,1.49e-06,1.62e-06,1.38e-06,1.58e-06,9272450.0
2017-12-03 07:00:00,1.57e-06,1.65e-06,1.47e-06,1.53e-06,13109191.0
2017-12-04 07:00:00,1.53e-06,1.67e-06,1.49e-06,1.62e-06,13513263.0
2017-12-05 07:00:00,1.56e-06,2.15e-06,1.5e-06,2.01e-06,41029353.0
2017-12-06 07:00:00,2.01e-06,7.17e-06,1.76e-06,4.28e-06,453368595.0
2017-12-07 07:00:00,4.28e-06,6.88e-06,3.14e-06,3.5e-06,609613623.0
2017-12-08 07:00:00,3.5e-06,4.14e-06,2.4e-06,3.14e-06,320431215.0
2017-12-09 07:00:00,3.14e-06,3.74e-06,2.88e-06,3.61e-06,141929364.0
2017-12-10 07:00:00,3.61e-06,6.37e-06,3.4e-06,5.06e-06,373396523.0
2017-12-11 07:00:00,5e-06,5.25e-06,4.03e-06,4.41e-06,170952888.0
2017-12-12 07:00:00,4.41e-06,5.7e-06,4.27e-06,4.91e-06,267896571.0
2017-12-13 07:00:00,4.92e-06,7.7e-06,4.78e-06,7.53e-06,335001281.0
2017-12-14 07:00:00,7.55e-06,8.95e-06,6.2e-06,7.83e-06,414762491.0
2017-12-15 07:00:00,7.85e-06,7.95e-06,5.21e-06,6.03e-06,291562841.0
2017-12-16 07:00:00,6.03e-06,6.76e-06,5.01e-06,5.16e-06,242896814.0
2017-12-17 07:00:00,5.15e-06,5.89e-06,5.03e-06,5.42e-06,180923289.0
2017-12-18 07:00:00,5.42e-06,6.63e-06,5.18e-06,6.03e-06,200835367.0
2017-12-19 07:00:00,6.03e-06,6.43e-06,5.57e-06,6.31e-06,171534891.0
2017-12-20 07:00:00,6.3e-06,7.98e-06,5.58e-06,7.07e-06,180865266.0
2017-12-21 07:00:00,7.08e-06,7.9e-06,6.51e-06,6.97e-06,122488434.0
2017-12-22 07:00:00,6.96e-06,7.57e-06,5.49e-06,6.42e-06,45174315.0
2017-12-23 07:00:00,6.42e-06,6.79e-06,5.98e-06,6.11e-06,37983386.0
2017-12-24 07:00:00,6.18e-06,6.4e-06,6.04e-06,6.15e-06,24803992.0
2017-12-25 07:00:00,6.15e-06,6.77e-06,6.11e-06,6.62e-06,37586034.0
2017-12-26 07:00:00,6.63e-06,6.78e-06,4.97e-06,5.52e-06,67418172.0
2017-12-27 07:00:00,5.52e-06,5.79e-06,5.06e-06,5.31e-06,55621676.0
2017-12-28 07:00:00,5.32e-06,6.48e-06,5.2e-06,6.17e-06,68194276.0
2017-12-29 07:00:00,6.15e-06,6.68e-06,5.81e-06,6.18e-06,76119372.0
2017-12-30 07:00:00,6.17e-06,8.08e-06,6.09e-06,7.8e-06,124233585.0
2017-12-31 07:00:00,7.8e-06,7.84e-06,7.02e-06,7.29e-06,73683161.0
2018-01-01 07:00:00,7.27e-06,7.75e-06,7.08e-06,7.43e-06,48270025.0
2018-01-02 07:00:00,7.42e-06,8.48e-06,6.28e-06,7.04e-06,69173191.0
2018-01-03 07:00:00,7.03e-06,1.197e-05,6.54e-06,1.02e-05,206244337.0
2018-01-04 07:00:00,1.022e-05,1.44e-05,9.01e-06,1.282e-05,126753965.0
2018-01-05 07:00:00,1.282e-05,1.435e-05,9.08e-06,9.72e-06,94167981.0
2018-01-06 07:00:00,9.73e-06,1.171e-05,9.71e-06,1.063e-05,62034051.0
2018-01-07 07:00:00,1.062e-05,1.731e-05,1.062e-05,1.436e-05,138683804.0
2018-01-08 07:00:00,1.439e-05,1.69e-05,1.177e-05,1.54e-05,90883989.0
2018-01-09 07:00:00,1.54e-05,1.942e-05,1.45e-05,1.701e-05,113200367.0
2018-01-10 07:00:00,1.702e-05,1.805e-05,1.376e-05,1.405e-05,52911424.0
2018-01-11 07:00:00,1.405e-05,1.445e-05,1.2e-05,1.291e-05,45214019.0
2018-01-12 07:00:00,1.291e-05,1.415e-05,1.26e-05,1.334e-05,31808800.0
2018-01-13 07:00:00,1.334e-05,1.338e-05,1.226e-05,1.238e-05,28459281.0
2018-01-14 07:00:00,1.238e-05,1.286e-05,1.067e-05,1.092e-05,32508705.0
2018-01-15 07:00:00,1.092e-05,1.469e-05,9.57e-06,9.77e-06,47363954.0
2018-01-16 07:00:00,9.78e-06,9.85e-06,8.04e-06,8.49e-06,38841653.0
2018-01-17 07:00:00,8.49e-06,1.395e-05,8.23e-06,1.238e-05,117151742.0
2018-01-18 07:00:00,1.238e-05,1.269e-05,1.127e-05,1.179e-05,54908013.0
2018-01-19 07:00:00,1.179e-05,1.299e-05,1.125e-05,1.219e-05,36596896.0
2018-01-20 07:00:00,1.222e-05,1.275e-05,1.086e-05,1.164e-05,29081625.0
2018-01-21 07:00:00,1.165e-05,1.175e-05,1.02e-05,1.066e-05,20168441.0
2018-01-22 07:00:00,1.066e-05,1.35e-05,1.04e-05,1.129e-05,59229303.0
2018-01-23 07:00:00,1.129e-05,1.46e-05,1.106e-05,1.352e-05,93189858.0
2018-01-24 07:00:00,1.352e-05,1.425e-05,1.2e-05,1.208e-05,47018759.0
2018-01-25 07:00:00,1.213e-05,1.314e-05,1.2e-05,1.283e-05,16503653.0
2018-01-26 07:00:00,1.284e-05,1.285e-05,1.18e-05,1.237e-05,10937633.0
2018-01-27 07:00:00,1.231e-05,1.275e-05,1.201e-05,1.234e-05,7613527.0
2018-01-28 07:00:00,1.232e-05,1.25e-05,1.169e-05,1.192e-05,12551899.0
2018-01-29 07:00:00,1.19e-05,1.246e-05,1.11e-05,1.202e-05,12997601.0
2018-01-30 07:00:00,1.204e-05,1.254e-05,1.111e-05,1.123e-05,11771815.0
2018-01-31 07:00:00,1.124e-05,1.296e-05,1.085e-05,1.255e-05,13564834.0
2018-02-01 07:00:00,1.257e-05,1.288e-05,1.057e-05,1.112e-05,13077977.0
