,open,high,low,close,volume
2017-08-24 07:00:00,0.00289,0.00289,0.002203,0.002302,57553.85
2017-08-25 07:00:00,0.002302,0.002572,0.001999,0.002339,110469.52
2017-08-26 07:00:00,0.002332,0.003972,0.002321,0.003756,234675.06
2017-08-27 07:00:00,0.003752,0.004189,0.0034,0.003536,200858.92
2017-08-28 07:00:00,0.003536,0.00569,0.003536,0.005217,239217.57
2017-08-29 07:00:00,0.005249,0.006247,0.0037,0.004607,322496.43
2017-08-30 07:00:00,0.004607,0.004787,0.003447,0.003791,217587.51
2017-08-31 07:00:00,0.003781,0.004179,0.002348,0.002775,211540.77
2017-09-01 07:00:00,0.002721,0.00292,0.002136,0.002315,192013.85
2017-09-02 07:00:00,0.002315,0.002472,0.0019,0.002014,132473.49
2017-09-03 07:00:00,0.002022,0.0033,0.001947,0.00276,227076.78
2017-09-04 07:00:00,0.002762,0.002798,0.00185,0.002203,132946.57
2017-09-05 07:00:00,0.002203,0.002399,0.0018,0.002218,51456.87
2017-09-06 07:00:00,0.002219,0.002388,0.0019,0.002179,50859.65
2017-09-07 07:00:00,0.002179,0.002399,0.002,0.002223,55460.8
2017-09-08 07:00:00,0.002228,0.00279,0.002001,0.002283,51491.59
2017-09-09 07:00:00,0.002269,0.002282,0.002,0.002198,20272.83
2017-09-10 07:00:00,0.002198,0.002198,0.002014,0.002112,7688.59
2017-09-11 07:00:00,0.002112,0.002235,0.002033,0.002059,13239.49
2017-09-12 07:00:00,0.002061,0.00223,0.002,0.002049,10508.09
2017-09-13 07:00:00,0.002049,0.002078,0.001747,0.001931,85117.73
2017-09-14 07:00:00,0.001932,0.0022,0.001689,0.001732,131058.24
2017-09-15 07:00:00,0.001761,0.002095,0.001508,0.002012,156631.6
2017-09-16 07:00:00,0.002,0.002075,0.001802,0.001958,130599.94
2017-09-17 07:00:00,0.001958,0.00197,0.001847,0.001899,115655.55
2017-09-18 07:00:00,0.001899,0.002199,0.001867,0.002114,123410.44
