,open,high,low,close,volume
2017-08-23 07:00:00,0.02875,0.044,0.025,0.032073,149934.55
2017-08-24 07:00:00,0.032088,0.035299,0.030002,0.031044,70966.8
2017-08-25 07:00:00,0.031053,0.033898,0.026011,0.030979,65699.52
2017-08-26 07:00:00,0.030809,0.051,0.030806,0.048155,76662.38
2017-08-27 07:00:00,0.048155,0.05451,0.0418,0.04666,56264.07
2017-08-28 07:00:00,0.0438,0.07,0.041903,0.065599,55069.56
2017-08-29 07:00:00,0.065582,0.077515,0.045371,0.055392,57306.55
2017-08-30 07:00:00,0.058705,0.059031,0.041,0.045974,47613.46
2017-08-31 07:00:00,0.045968,0.050888,0.02917,0.033118,61109.42
2017-09-01 07:00:00,0.033143,0.035378,0.026017,0.028312,75154.14
2017-09-02 07:00:00,0.029958,0.030997,0.025001,0.026702,56853.15
2017-09-03 07:00:00,0.026751,0.044031,0.025904,0.034374,80253.77
2017-09-04 07:00:00,0.036537,0.03699,0.019,0.03132,53520.78
2017-09-05 07:00:00,0.03132,0.033439,0.027,0.031512,14941.39
2017-09-06 07:00:00,0.031512,0.032793,0.0265,0.028999,19390.93
2017-09-07 07:00:00,0.028999,0.034685,0.0271,0.030634,6981.15
2017-09-08 07:00:00,0.030634,0.04,0.0295,0.03194,8083.01
2017-09-09 07:00:00,0.0315,0.032,0.03,0.031001,3056.53
2017-09-10 07:00:00,0.031001,0.03192,0.029001,0.029218,3303.32
2017-09-11 07:00:00,0.030001,0.031919,0.029083,0.029678,3656.21
2017-09-12 07:00:00,0.029679,0.03112,0.028021,0.028021,4733.66
2017-09-13 07:00:00,0.028021,0.03,0.025014,0.026892,3531.97
2017-09-14 07:00:00,0.027002,0.029991,0.02476,0.029991,1762.65
2017-09-15 07:00:00,0.027,0.029999,0.021001,0.028062,4241.62
2017-09-16 07:00:00,0.028159,0.03145,0.021106,0.031,2464.72
2017-09-17 07:00:00,0.028,0.029496,0.026027,0.0275,3538.97
2017-09-18 07:00:00,0.026999,0.030997,0.0254,0.02751,1471.02
2017-09-19 07:00:00,0.03,0.035,0.028912,0.033357,31937.43
2017-09-20 07:00:00,0.0326,0.033961,0.029249,0.0294,29310.8
2017-09-21 07:00:00,0.030152,0.031468,0.025547,0.028099,21564.51
2017-09-22 07:00:00,0.028096,0.029399,0.026125,0.027654,16383.57
2017-09-23 07:00:00,0.02767,0.02999,0.027659,0.027996,21942.99
2017-09-24 07:00:00,0.027996,0.029049,0.027132,0.027249,29946.63
2017-09-25 07:00:00,0.02799,0.029654,0.027137,0.028817,31157.54
2017-09-26 07:00:00,0.029016,0.032063,0.028578,0.031501,43431.96
