,open,high,low,close,volume
2017-10-13 07:00:00,1.292e-05,0.00022,1.292e-05,2e-05,3448336.0
2017-10-14 07:00:00,1.996e-05,2.07e-05,1.7e-05,1.72e-05,1251612.0
2017-10-15 07:00:00,1.72e-05,1.892e-05,1.61e-05,1.718e-05,1378045.0
2017-10-16 07:00:00,1.699e-05,1.925e-05,1.501e-05,1.826e-05,821063.0
2017-10-17 07:00:00,1.788e-05,1.789e-05,1.5e-05,1.503e-05,912564.0
2017-10-18 07:00:00,1.572e-05,1.715e-05,1.314e-05,1.502e-05,2473980.0
2017-10-19 07:00:00,1.506e-05,1.589e-05,1.301e-05,1.42e-05,1285546.0
2017-10-20 07:00:00,1.301e-05,1.443e-05,1.163e-05,1.28e-05,1261017.0
2017-10-21 07:00:00,1.366e-05,1.539e-05,1.161e-05,1.423e-05,2146449.0
2017-10-22 07:00:00,1.455e-05,1.499e-05,1.321e-05,1.376e-05,1133092.0
2017-10-23 07:00:00,1.376e-05,1.404e-05,1.206e-05,1.211e-05,1036399.0
2017-10-24 07:00:00,1.248e-05,1.478e-05,1.19e-05,1.35e-05,2468444.0
2017-10-25 07:00:00,1.35e-05,1.401e-05,1.301e-05,1.307e-05,569934.0
2017-10-26 07:00:00,1.312e-05,1.414e-05,1.114e-05,1.23e-05,818799.0
2017-10-27 07:00:00,1.224e-05,1.34e-05,1.114e-05,1.266e-05,1133731.0
2017-10-28 07:00:00,1.273e-05,1.379e-05,1.21e-05,1.244e-05,1152430.0
2017-10-29 07:00:00,1.26e-05,1.299e-05,1.047e-05,1.141e-05,932721.0
2017-10-30 07:00:00,1.165e-05,1.204e-05,1.091e-05,1.092e-05,461531.0
2017-10-31 07:00:00,1.135e-05,1.185e-05,6.33e-06,1.05e-05,2126829.0
2017-11-01 07:00:00,1.051e-05,1.051e-05,7.93e-06,8.14e-06,2546434.0
2017-11-02 07:00:00,8.14e-06,8.3e-06,6.6e-06,7.97e-06,1719284.0
2017-11-03 07:00:00,7.9e-06,9.6e-06,7.42e-06,9.58e-06,621516.0
2017-11-04 07:00:00,9.15e-06,1.071e-05,8.36e-06,1.023e-05,1750081.0
2017-11-05 07:00:00,1.023e-05,1.15e-05,9.06e-06,9.85e-06,1290306.0
2017-11-06 07:00:00,9.87e-06,1.04e-05,9.14e-06,9.43e-06,2995513.0
2017-11-07 07:00:00,9.43e-06,1.095e-05,9.13e-06,1.035e-05,4546709.0
2017-11-08 07:00:00,1.008e-05,1.2e-05,9.72e-06,1.174e-05,3905176.0
2017-11-09 07:00:00,1.143e-05,1.4e-05,1.119e-05,1.343e-05,4324659.0
2017-11-10 07:00:00,1.324e-05,1.47e-05,1.171e-05,1.248e-05,4876276.0
2017-11-11 07:00:00,1.248e-05,1.35e-05,1.15e-05,1.191e-05,3092166.0
2017-11-12 07:00:00,1.226e-05,1.279e-05,1.151e-05,1.191e-05,2593859.0
2017-11-13 07:00:00,1.225e-05,1.275e-05,1.123e-05,1.218e-05,3208589.0
2017-11-14 07:00:00,1.217e-05,1.246e-05,1.107e-05,1.195e-05,3319291.0
2017-11-15 07:00:00,1.181e-05,1.216e-05,9.95e-06,1.053e-05,2496589.0
2017-11-16 07:00:00,1.072e-05,1.083e-05,8.12e-06,9.48e-06,2880361.0
2017-11-17 07:00:00,9.3e-06,9.67e-06,8.5e-06,8.59e-06,2705391.0
2017-11-18 07:00:00,8.58e-06,9.56e-06,7.9e-06,9.13e-06,4533059.0
2017-11-19 07:00:00,9.03e-06,9.68e-06,6.78e-06,8.49e-06,4469181.0
2017-11-20 07:00:00,8.39e-06,8.49e-06,7e-06,7.62e-06,5518886.0
