,open,high,low,close,volume
2017-10-09 07:00:00,0.011,0.0224,0.011,0.021,1147.71
2017-10-10 07:00:00,0.018922,0.025501,0.018921,0.025501,2844.73
2017-10-11 07:00:00,0.03,0.03,0.0232,0.028313,450.44
2017-10-12 07:00:00,0.0279,0.028304,0.0225,0.028304,1344.09
2017-10-13 07:00:00,0.028304,0.028304,0.020015,0.023999,484.21
2017-10-14 07:00:00,0.021997,0.022001,0.021997,0.022,973.65
2017-10-15 07:00:00,0.022,0.022001,0.022,0.022,209.8
2017-10-16 07:00:00,0.022,0.028164,0.020022,0.028163,331.2
2017-10-17 07:00:00,0.02771,0.02771,0.021,0.024109,1547.74
2017-10-18 07:00:00,0.024109,0.026887,0.023749,0.026007,816.71
2017-10-19 07:00:00,0.026164,0.027328,0.022987,0.022987,1743.69
2017-10-20 07:00:00,0.025086,0.0255,0.0225,0.0226,1352.81
2017-10-21 07:00:00,0.0226,0.02402,0.021,0.021002,770.4
2017-10-22 07:00:00,0.02408,0.025996,0.022192,0.025094,1000.26
2017-10-23 07:00:00,0.025094,0.0265,0.022759,0.0255,2300.91
2017-10-24 07:00:00,0.0255,0.028029,0.024353,0.026921,1647.47
2017-10-25 07:00:00,0.026921,0.03242,0.026352,0.031447,1155.53
2017-10-26 07:00:00,0.03052,0.034654,0.027648,0.028614,2656.06
2017-10-27 07:00:00,0.028614,0.033944,0.028023,0.028947,695.4
2017-10-28 07:00:00,0.032545,0.032545,0.029998,0.030001,3217.13
2017-10-29 07:00:00,0.03,0.031,0.0268,0.03,1370.23
2017-10-30 07:00:00,0.027616,0.031241,0.0265,0.0265,1649.28
2017-10-31 07:00:00,0.027231,0.0275,0.0225,0.022501,3614.78
2017-11-01 07:00:00,0.022501,0.024993,0.016165,0.018216,6589.26
2017-11-02 07:00:00,0.017512,0.019362,0.015849,0.017058,5241.2
2017-11-03 07:00:00,0.018384,0.0202,0.01618,0.018467,10290.8
2017-11-04 07:00:00,0.018047,0.019557,0.0165,0.0165,2255.86
2017-11-05 07:00:00,0.016601,0.017455,0.015949,0.016071,3148.75
2017-11-06 07:00:00,0.016679,0.017988,0.0164,0.016968,1314.97
2017-11-07 07:00:00,0.017648,0.017698,0.01696,0.016961,1553.8
2017-11-08 07:00:00,0.016922,0.01995,0.016407,0.017185,7579.41
2017-11-09 07:00:00,0.017186,0.019061,0.016408,0.016603,3391.38
2017-11-10 07:00:00,0.017011,0.017011,0.0151,0.0161,4549.49
2017-11-11 07:00:00,0.0156,0.017049,0.014,0.01405,3507.49
2017-11-12 07:00:00,0.014051,0.014212,0.011795,0.012927,6604.37
2017-11-13 07:00:00,0.012867,0.014692,0.012348,0.012916,3373.6
2017-11-14 07:00:00,0.013239,0.014632,0.013122,0.0143,1134.58
2017-11-15 07:00:00,0.014036,0.016211,0.01312,0.014503,4639.09
2017-11-16 07:00:00,0.014504,0.021567,0.01346,0.01346,67075.39
2017-11-17 07:00:00,0.013,0.0168,0.011795,0.012367,28098.08
2017-11-18 07:00:00,0.012468,0.013299,0.011795,0.012816,6682.34
2017-11-19 07:00:00,0.01246,0.013167,0.011005,0.011786,12264.16
2017-11-20 07:00:00,0.011786,0.022394,0.010441,0.011936,58588.83
2017-11-21 07:00:00,0.012031,0.013,0.01123,0.012371,13291.23
2017-11-22 07:00:00,0.012368,0.01238,0.011222,0.01148,8041.74
2017-11-23 07:00:00,0.011504,0.01202,0.01004,0.010636,11302.19
2017-11-24 07:00:00,0.01069,0.011856,0.009887,0.010503,7693.98
2017-11-25 07:00:00,0.010533,0.011289,0.010257,0.010727,8757.54
2017-11-26 07:00:00,0.010859,0.011676,0.010422,0.010677,11635.81
2017-11-27 07:00:00,0.010778,0.012904,0.010527,0.011949,18668.92
2017-11-28 07:00:00,0.012007,0.012987,0.011382,0.011838,7226.76
2017-11-29 07:00:00,0.011795,0.01208,0.0098,0.010402,8784.48
2017-11-30 07:00:00,0.010493,0.011382,0.009175,0.010811,41149.75
2017-12-01 07:00:00,0.010811,0.012255,0.010701,0.011289,7603.21
2017-12-02 07:00:00,0.011374,0.012898,0.010942,0.01186,7643.7
2017-12-03 07:00:00,0.011759,0.0148,0.011329,0.013722,12185.84
2017-12-04 07:00:00,0.01411,0.015011,0.013526,0.014022,16800.82
2017-12-05 07:00:00,0.014022,0.015923,0.013658,0.014105,11871.64
2017-12-06 07:00:00,0.014444,0.017409,0.012805,0.015014,25730.56
2017-12-07 07:00:00,0.015213,0.016083,0.011815,0.012103,8181.68
2017-12-08 07:00:00,0.012103,0.012876,0.01061,0.012004,26537.53
2017-12-09 07:00:00,0.011917,0.013158,0.010933,0.011226,16925.99
2017-12-10 07:00:00,0.011261,0.012509,0.01,0.0108,5566.76
2017-12-11 07:00:00,0.010577,0.011929,0.01039,0.010493,5503.85
2017-12-12 07:00:00,0.0104,0.011884,0.008696,0.00912,10486.5
2017-12-13 07:00:00,0.009411,0.009582,0.008,0.008338,4661.34
2017-12-14 07:00:00,0.008477,0.009949,0.007889,0.0089,10663.44
2017-12-15 07:00:00,0.008997,0.009837,0.00861,0.009139,7321.68
2017-12-16 07:00:00,0.009138,0.010745,0.008861,0.00979,21360.88
2017-12-17 07:00:00,0.00979,0.012975,0.009593,0.011692,55749.29
2017-12-18 07:00:00,0.011457,0.014611,0.011457,0.013507,36242.46
