,open,high,low,close,volume
2018-02-26 07:00:00,0.00029,0.00029,3.007e-05,4.749e-05,733443188.0
2018-02-27 07:00:00,4.749e-05,4.877e-05,3.73e-05,3.957e-05,344052219.0
2018-02-28 07:00:00,3.956e-05,4.079e-05,3.216e-05,3.298e-05,203168470.0
2018-03-01 07:00:00,3.296e-05,4.728e-05,3.22e-05,4.053e-05,394672343.0
2018-03-02 07:00:00,4.055e-05,4.449e-05,3.914e-05,4.101e-05,162453632.0
2018-03-03 07:00:00,4.108e-05,4.136e-05,3.763e-05,3.815e-05,86619074.0
2018-03-04 07:00:00,3.815e-05,4.149e-05,3.801e-05,3.91e-05,68299086.0
2018-03-05 07:00:00,3.91e-05,3.961e-05,3.728e-05,3.737e-05,51538600.0
2018-03-06 07:00:00,3.736e-05,3.924e-05,3.5e-05,3.727e-05,84946221.0
2018-03-07 07:00:00,3.727e-05,3.86e-05,3.3e-05,3.475e-05,65560196.0
2018-03-08 07:00:00,3.475e-05,3.539e-05,3.1e-05,3.251e-05,62114894.0
2018-03-09 07:00:00,3.248e-05,3.649e-05,2.873e-05,3.535e-05,92995246.0
2018-03-10 07:00:00,3.535e-05,3.68e-05,3.4e-05,3.629e-05,82914700.0
2018-03-11 07:00:00,3.614e-05,4.34e-05,3.513e-05,4.249e-05,123489822.0
2018-03-12 07:00:00,4.248e-05,5.182e-05,4.233e-05,5.135e-05,263235095.0
2018-03-13 07:00:00,5.15e-05,7.001e-05,4.95e-05,6.428e-05,455730257.0
2018-03-14 07:00:00,6.427e-05,6.5e-05,4.954e-05,4.978e-05,199867440.0
2018-03-15 07:00:00,4.979e-05,6e-05,4.803e-05,5.55e-05,170048113.0
2018-03-16 07:00:00,5.548e-05,5.617e-05,5.001e-05,5.111e-05,75762969.0
2018-03-17 07:00:00,5.11e-05,5.262e-05,4.745e-05,4.802e-05,56641796.0
2018-03-18 07:00:00,4.8e-05,5.849e-05,4.701e-05,5.588e-05,101367790.0
2018-03-19 07:00:00,5.578e-05,6.419e-05,5.578e-05,5.863e-05,127318843.0
2018-03-20 07:00:00,5.843e-05,6.611e-05,5.766e-05,6.484e-05,83376849.0
2018-03-21 07:00:00,6.476e-05,6.578e-05,5.884e-05,6.314e-05,66846060.0
2018-03-22 07:00:00,6.278e-05,6.322e-05,5.95e-05,6.097e-05,39594755.0
2018-03-23 07:00:00,6.098e-05,7.62e-05,5.81e-05,7.047e-05,142982175.0
2018-03-24 07:00:00,7.048e-05,8.14e-05,6.943e-05,7.087e-05,140508374.0
2018-03-25 07:00:00,7.116e-05,7.247e-05,6.742e-05,6.915e-05,51514641.0
2018-03-26 07:00:00,6.948e-05,7.094e-05,6.6e-05,6.975e-05,50374734.0
2018-03-27 07:00:00,6.975e-05,7.099e-05,6.492e-05,6.892e-05,61058647.0
2018-03-28 07:00:00,6.886e-05,7.745e-05,6.8e-05,7.551e-05,67078917.0
2018-03-29 07:00:00,7.55e-05,7.788e-05,7.3e-05,7.49e-05,53547926.0
2018-03-30 07:00:00,7.521e-05,7.599e-05,6.91e-05,6.987e-05,44623836.0
2018-03-31 07:00:00,7.005e-05,7.21e-05,6.84e-05,7.106e-05,29261417.0
2018-04-01 07:00:00,7.112e-05,7.215e-05,6.68e-05,6.748e-05,44108217.0
2018-04-02 07:00:00,6.748e-05,7.09e-05,6.63e-05,6.929e-05,25832772.0
2018-04-03 07:00:00,6.941e-05,7.05e-05,6.663e-05,6.766e-05,30211408.0
2018-04-04 07:00:00,6.75e-05,7.631e-05,6.717e-05,7.099e-05,55646531.0
2018-04-05 07:00:00,7.071e-05,7.487e-05,6.902e-05,7.097e-05,39656037.0
2018-04-06 07:00:00,7.095e-05,7.194e-05,6.816e-05,6.936e-05,25649873.0
2018-04-07 07:00:00,6.935e-05,7.746e-05,6.8e-05,7.334e-05,50666440.0
2018-04-08 07:00:00,7.334e-05,8.28e-05,7.15e-05,7.336e-05,83438675.0
2018-04-09 07:00:00,7.336e-05,7.375e-05,6.78e-05,6.9e-05,37343081.0
2018-04-10 07:00:00,6.9e-05,7.432e-05,6.827e-05,7.124e-05,43324280.0
2018-04-11 07:00:00,7.149e-05,8.099e-05,7.003e-05,7.385e-05,93567206.0
2018-04-12 07:00:00,7.363e-05,7.77e-05,6.945e-05,7.05e-05,69815144.0
2018-04-13 07:00:00,7.05e-05,8.625e-05,6.9e-05,8.24e-05,155566681.0
2018-04-14 07:00:00,8.27e-05,9.058e-05,8e-05,8.27e-05,115629111.0
2018-04-15 07:00:00,8.269e-05,8.542e-05,8.12e-05,8.19e-05,34702391.0
