,open,high,low,close,volume
2017-12-22 07:00:00,0.008,0.084,0.001836,0.011763,90911.54248505
2017-12-23 07:00:00,0.011797,0.016,0.010281,0.010699,72641.77
2017-12-24 07:00:00,0.011021,0.011425,0.008999,0.009899,42061.91
2017-12-25 07:00:00,0.009531,0.0099,0.008542,0.009253,18207.17
2017-12-26 07:00:00,0.00925,0.009696,0.00687,0.008077,31042.5
2017-12-27 07:00:00,0.008102,0.01094,0.007512,0.010361,26149.76
2017-12-28 07:00:00,0.010411,0.0107,0.0085,0.009219,23175.5
2017-12-29 07:00:00,0.009714,0.012667,0.009102,0.011731,50310.48
2017-12-30 07:00:00,0.011723,0.011931,0.008828,0.010568,28642.96
2017-12-31 07:00:00,0.010499,0.012,0.009555,0.0112,34221.69
2018-01-01 07:00:00,0.011173,0.01279,0.010024,0.012136,25482.78
2018-01-02 07:00:00,0.011965,0.012,0.008912,0.009505,35421.96
2018-01-03 07:00:00,0.009591,0.010699,0.008285,0.008875,35214.63
2018-01-04 07:00:00,0.008906,0.0101,0.0061,0.0086,53544.28
2018-01-05 07:00:00,0.008562,0.009188,0.007005,0.008004,63483.55
2018-01-06 07:00:00,0.008004,0.035028,0.007706,0.021603,382116.66
2018-01-07 07:00:00,0.022099,0.0292,0.015658,0.021604,623132.92
2018-01-08 07:00:00,0.021561,0.057,0.019334,0.039432,1189697.18
2018-01-09 07:00:00,0.0393,0.05541,0.03,0.035102,901624.69
2018-01-10 07:00:00,0.035102,0.040503,0.0255,0.0306,473265.4
2018-01-11 07:00:00,0.030425,0.0327,0.023,0.026136,257616.52
2018-01-12 07:00:00,0.025931,0.033094,0.0249,0.028903,216900.57
2018-01-13 07:00:00,0.028972,0.029681,0.0178,0.023277,173883.8
2018-01-14 07:00:00,0.023283,0.023814,0.0185,0.020317,143294.58
2018-01-15 07:00:00,0.02025,0.021482,0.017,0.017212,99345.47
2018-01-16 07:00:00,0.017256,0.030365,0.013232,0.022205,594882.6
2018-01-17 07:00:00,0.022205,0.035,0.021195,0.02606,685668.43
2018-01-18 07:00:00,0.02606,0.02998,0.025201,0.025504,236391.75
2018-01-19 07:00:00,0.025503,0.02749,0.0246,0.026056,91600.29
2018-01-20 07:00:00,0.026059,0.028077,0.024444,0.02719,127109.08
2018-01-21 07:00:00,0.02719,0.027499,0.0226,0.024203,86596.34
2018-01-22 07:00:00,0.024203,0.024888,0.021007,0.022307,73335.07
2018-01-23 07:00:00,0.022138,0.022516,0.020601,0.02135,62754.35
2018-01-24 07:00:00,0.02135,0.025846,0.01999,0.020454,89796.65
2018-01-25 07:00:00,0.020454,0.021917,0.019407,0.019651,43053.34
2018-01-26 07:00:00,0.019649,0.02029,0.018059,0.018959,55289.01
2018-01-27 07:00:00,0.018959,0.0195,0.018101,0.018871,53764.15
2018-01-28 07:00:00,0.0188,0.02162,0.016801,0.016892,106438.35
