,open,high,low,close,volume
2017-09-28 07:00:00,0.097,0.11,0.055,0.109997,3863.12
2017-09-29 07:00:00,0.106969,0.106969,0.092,0.103726,5850.06
2017-09-30 07:00:00,0.102201,0.120001,0.0962,0.11287,10078.76
2017-10-01 07:00:00,0.112868,0.119875,0.0962,0.119869,5917.43
2017-10-02 07:00:00,0.117001,0.129999,0.115103,0.123963,12633.78
2017-10-03 07:00:00,0.1221,0.12989,0.109657,0.114926,7872.11
2017-10-04 07:00:00,0.114926,0.12089,0.10105,0.109599,12567.92
2017-10-05 07:00:00,0.109589,0.119899,0.10009,0.109001,12798.58
2017-10-06 07:00:00,0.113599,0.1162,0.108005,0.1085,15187.89
2017-10-07 07:00:00,0.108031,0.119,0.106302,0.116,19731.76
2017-10-08 07:00:00,0.114702,0.1265,0.099552,0.103999,67866.18
2017-10-09 07:00:00,0.101217,0.11,0.091052,0.099891,31063.86
2017-10-10 07:00:00,0.098002,0.105099,0.0945,0.097698,16787.07
2017-10-11 07:00:00,0.0975,0.10398,0.096001,0.0983,16895.99
2017-10-12 07:00:00,0.098414,0.100099,0.0911,0.091406,16046.48
2017-10-13 07:00:00,0.091413,0.0945,0.077001,0.085,33310.13
2017-10-14 07:00:00,0.0855,0.087989,0.080001,0.080717,11585.53
2017-10-15 07:00:00,0.080717,0.084703,0.079101,0.082002,8863.13
2017-10-16 07:00:00,0.083289,0.08591,0.07865,0.0851,10244.82
2017-10-17 07:00:00,0.085274,0.102284,0.084503,0.099501,29456.9
2017-10-18 07:00:00,0.09951,0.1035,0.0925,0.095498,14837.07
2017-10-19 07:00:00,0.095499,0.097,0.0894,0.09202,11706.23
2017-10-20 07:00:00,0.094359,0.0968,0.0901,0.0917,9903.13
2017-10-21 07:00:00,0.0917,0.096,0.08834,0.0894,10623.28
2017-10-22 07:00:00,0.091899,0.099,0.091899,0.09649,10354.31
2017-10-23 07:00:00,0.096493,0.09877,0.094503,0.0976,7410.63
2017-10-24 07:00:00,0.0976,0.105799,0.0958,0.102,19578.55
2017-10-25 07:00:00,0.102,0.103025,0.09605,0.096101,23186.05
2017-10-26 07:00:00,0.096151,0.098999,0.093,0.094802,10888.86
2017-10-27 07:00:00,0.0955,0.098804,0.09421,0.096702,7077.09
2017-10-28 07:00:00,0.098492,0.098492,0.092537,0.0926,9155.6
2017-10-29 07:00:00,0.093697,0.094,0.086,0.090003,10439.55
2017-10-30 07:00:00,0.090003,0.095899,0.088842,0.093309,11743.42
2017-10-31 07:00:00,0.094583,0.1071,0.092501,0.09321,17823.22
2017-11-01 07:00:00,0.093213,0.0953,0.088,0.091858,17386.17
2017-11-02 07:00:00,0.091859,0.094,0.082001,0.086103,34494.61
2017-11-03 07:00:00,0.086256,0.09199,0.08511,0.087768,21809.18
2017-11-04 07:00:00,0.087938,0.092258,0.086887,0.088071,11090.42
2017-11-05 07:00:00,0.088203,0.0921,0.086536,0.088979,9530.93
2017-11-06 07:00:00,0.089509,0.0915,0.086101,0.088333,7310.6
2017-11-07 07:00:00,0.088555,0.091457,0.086553,0.089858,11008.88
2017-11-08 07:00:00,0.0895,0.1125,0.087821,0.1,41030.79
2017-11-09 07:00:00,0.100001,0.1059,0.094229,0.09942,26615.85
2017-11-10 07:00:00,0.09942,0.102,0.0913,0.094315,19739.05
2017-11-11 07:00:00,0.095,0.0985,0.0882,0.090772,16559.18
2017-11-12 07:00:00,0.090745,0.0951,0.08401,0.089685,83662.85
2017-11-13 07:00:00,0.089684,0.094799,0.084102,0.090966,15830.28
2017-11-14 07:00:00,0.090894,0.091,0.084101,0.08831,22283.82
2017-11-15 07:00:00,0.089695,0.0904,0.0851,0.0897,13910.7
2017-11-16 07:00:00,0.088101,0.0915,0.086,0.08734,29795.29
2017-11-17 07:00:00,0.08627,0.127,0.084001,0.1215,94785.52
2017-11-18 07:00:00,0.1215,0.1443,0.11,0.123,142779.39
2017-11-19 07:00:00,0.123,0.131,0.1,0.113,77783.4
2017-11-20 07:00:00,0.113,0.1219,0.096,0.097002,81582.71
2017-11-21 07:00:00,0.097001,0.10228,0.09211,0.095201,55112.28
2017-11-22 07:00:00,0.095205,0.1023,0.092222,0.093593,37086.95
