,open,high,low,close,volume
2017-09-12 07:00:00,0.05,0.05,0.038107,0.04,28616.09
2017-09-13 07:00:00,0.04,0.041598,0.036,0.038368,8775.4
2017-09-14 07:00:00,0.038601,0.039835,0.034,0.037,14966.89
2017-09-15 07:00:00,0.037,0.041,0.0338,0.039011,13217.9
2017-09-16 07:00:00,0.039011,0.041176,0.038057,0.03969,7433.86
2017-09-17 07:00:00,0.03969,0.03969,0.036846,0.0387,7414.7
2017-09-18 07:00:00,0.0387,0.0387,0.035148,0.037,4570.1
2017-09-19 07:00:00,0.036999,0.037768,0.0345,0.036068,6537.12
2017-09-20 07:00:00,0.034535,0.03593,0.032,0.032102,4763.22
2017-09-21 07:00:00,0.032001,0.034211,0.0301,0.031188,4536.95
2017-09-22 07:00:00,0.031188,0.034667,0.030493,0.03343,6144.79
2017-09-23 07:00:00,0.033303,0.034354,0.031001,0.0316,13367.13
2017-09-24 07:00:00,0.03226,0.03226,0.0277,0.03045,19105.63
2017-09-25 07:00:00,0.030549,0.035,0.0305,0.033511,4055.89
2017-09-26 07:00:00,0.033659,0.034878,0.033001,0.033201,7182.98
2017-09-27 07:00:00,0.033285,0.034749,0.03,0.0339,15667.85
2017-09-28 07:00:00,0.033101,0.0379,0.032,0.034,15343.91
2017-09-29 07:00:00,0.034201,0.036,0.032,0.032511,8247.51
2017-09-30 07:00:00,0.032511,0.034929,0.03151,0.033161,6526.04
2017-10-01 07:00:00,0.033161,0.033906,0.0305,0.031501,21621.79
2017-10-02 07:00:00,0.031502,0.0332,0.02767,0.030401,23517.02
2017-10-03 07:00:00,0.030401,0.032222,0.028002,0.031458,21715.87
2017-10-04 07:00:00,0.031461,0.032,0.028901,0.029301,11251.13
2017-10-05 07:00:00,0.029792,0.03108,0.028228,0.029601,11936.13
2017-10-06 07:00:00,0.02975,0.02999,0.02798,0.02798,13629.65
2017-10-07 07:00:00,0.02798,0.02798,0.026243,0.027232,24637.05
2017-10-08 07:00:00,0.027232,0.027658,0.02457,0.025,62239.64
2017-10-09 07:00:00,0.025,0.027,0.0241,0.0249,54852.4
2017-10-10 07:00:00,0.024907,0.0286,0.024508,0.02713,54563.3
2017-10-11 07:00:00,0.027111,0.032,0.027026,0.03045,61752.37
2017-10-12 07:00:00,0.030788,0.031102,0.026711,0.027001,30489.71
2017-10-13 07:00:00,0.027006,0.028095,0.023201,0.024893,33703.89
2017-10-14 07:00:00,0.024729,0.025093,0.023201,0.0234,21899.79
2017-10-15 07:00:00,0.023254,0.02499,0.022521,0.02367,28238.32
2017-10-16 07:00:00,0.023817,0.024599,0.022001,0.0237,34122.04
2017-10-17 07:00:00,0.0237,0.026092,0.023244,0.0252,31946.6
2017-10-18 07:00:00,0.02524,0.027598,0.02475,0.0253,24447.22
2017-10-19 07:00:00,0.0253,0.0265,0.024785,0.025201,20654.65
2017-10-20 07:00:00,0.025208,0.025969,0.023908,0.02403,29963.02
2017-10-21 07:00:00,0.024032,0.0253,0.0236,0.024457,33104.73
2017-10-22 07:00:00,0.024532,0.026667,0.024321,0.026015,21101.61
2017-10-23 07:00:00,0.0261,0.027795,0.02501,0.027115,28947.89
2017-10-24 07:00:00,0.027116,0.02844,0.02621,0.027362,62655.76
2017-10-25 07:00:00,0.027769,0.027769,0.0256,0.0257,52511.26
2017-10-26 07:00:00,0.025625,0.026689,0.025101,0.02616,29103.76
2017-10-27 07:00:00,0.025723,0.02745,0.025001,0.025512,41078.14
2017-10-28 07:00:00,0.025433,0.0261,0.024374,0.024374,50822.65
2017-10-29 07:00:00,0.024377,0.025,0.023101,0.023575,35777.94
2017-10-30 07:00:00,0.024032,0.024248,0.023,0.0235,61340.51
2017-10-31 07:00:00,0.0237,0.024,0.0225,0.0225,35989.36
2017-11-01 07:00:00,0.0224,0.023083,0.020577,0.021,88878.73
2017-11-02 07:00:00,0.02123,0.023629,0.0195,0.02175,94940.05
2017-11-03 07:00:00,0.022545,0.023289,0.021,0.022,44851.35
2017-11-04 07:00:00,0.022,0.02319,0.02126,0.021301,36807.91
2017-11-05 07:00:00,0.021766,0.021767,0.0208,0.021477,35877.6
2017-11-06 07:00:00,0.021087,0.022317,0.020852,0.02206,35759.49
2017-11-07 07:00:00,0.021641,0.022345,0.021251,0.0216,35625.04
2017-11-08 07:00:00,0.0216,0.02728,0.021503,0.025289,88091.22
2017-11-09 07:00:00,0.025288,0.02649,0.0247,0.0259,75283.68
2017-11-10 07:00:00,0.025847,0.025847,0.023,0.023666,60324.34
2017-11-11 07:00:00,0.023666,0.024832,0.022429,0.02333,37289.13
2017-11-12 07:00:00,0.02333,0.023451,0.0206,0.0218,183879.59
2017-11-13 07:00:00,0.02178,0.024999,0.021144,0.024456,144486.88
2017-11-14 07:00:00,0.02395,0.0245,0.022,0.023398,73205.3
2017-11-15 07:00:00,0.023398,0.023769,0.022111,0.023115,63525.48
2017-11-16 07:00:00,0.023174,0.023284,0.02055,0.021577,85755.67
2017-11-17 07:00:00,0.021577,0.023434,0.021187,0.023004,79150.32
2017-11-18 07:00:00,0.023028,0.026,0.0224,0.02278,130121.81
2017-11-19 07:00:00,0.023165,0.02358,0.0217,0.022187,62439.69
2017-11-20 07:00:00,0.02199,0.022535,0.021,0.021886,70268.51
2017-11-21 07:00:00,0.021778,0.022013,0.02066,0.021311,62736.54
2017-11-22 07:00:00,0.021045,0.0217,0.02067,0.020875,57667.88
2017-11-23 07:00:00,0.02089,0.021355,0.018001,0.018847,62358.26
2017-11-24 07:00:00,0.018847,0.019003,0.0156,0.01599,66335.1
2017-11-25 07:00:00,0.015991,0.019189,0.015821,0.018888,127367.77
2017-11-26 07:00:00,0.018918,0.0191,0.017918,0.017991,118272.71
2017-11-27 07:00:00,0.017991,0.02,0.0179,0.02,93866.03
