,open,high,low,close,volume
2017-12-19 07:00:00,0.0001,0.00012,1.901e-05,2.167e-05,63639350.0
2017-12-20 07:00:00,2.166e-05,2.24e-05,1.801e-05,1.921e-05,23562520.0
2017-12-21 07:00:00,1.921e-05,2.19e-05,1.83e-05,2.01e-05,23267037.0
2017-12-22 07:00:00,2.01e-05,2.1e-05,1.246e-05,1.651e-05,8871084.0
2017-12-23 07:00:00,1.657e-05,2.186e-05,1.566e-05,1.848e-05,12334857.0
2017-12-24 07:00:00,1.849e-05,2.046e-05,1.613e-05,1.869e-05,7053031.0
2017-12-25 07:00:00,1.861e-05,1.993e-05,1.685e-05,1.7e-05,6163692.0
2017-12-26 07:00:00,1.719e-05,1.81e-05,1.425e-05,1.58e-05,6956647.0
2017-12-27 07:00:00,1.58e-05,1.95e-05,1.505e-05,1.741e-05,10245211.0
2017-12-28 07:00:00,1.73e-05,1.887e-05,1.612e-05,1.758e-05,5714402.0
2017-12-29 07:00:00,1.775e-05,2.05e-05,1.764e-05,1.992e-05,8569774.0
2017-12-30 07:00:00,1.992e-05,2.99e-05,1.912e-05,2.72e-05,17022830.0
2017-12-31 07:00:00,2.72e-05,3.383e-05,2.59e-05,2.849e-05,15343797.0
2018-01-01 07:00:00,2.872e-05,3.292e-05,2.695e-05,3.112e-05,7117634.0
2018-01-02 07:00:00,3.127e-05,3.636e-05,2.394e-05,2.832e-05,14648341.0
2018-01-03 07:00:00,2.827e-05,3.218e-05,2.46e-05,3.169e-05,11303526.0
2018-01-04 07:00:00,3.169e-05,5.187e-05,3.06e-05,4.55e-05,21097637.0
2018-01-05 07:00:00,4.55e-05,6.1e-05,3.66e-05,3.818e-05,22328068.0
2018-01-06 07:00:00,3.839e-05,4.919e-05,3.665e-05,4.466e-05,11481515.0
2018-01-07 07:00:00,4.468e-05,5.298e-05,4.053e-05,4.94e-05,8915126.0
2018-01-08 07:00:00,4.936e-05,6.197e-05,4.6e-05,5.549e-05,14439729.0
2018-01-09 07:00:00,5.552e-05,6.495e-05,5.2e-05,5.991e-05,10783453.0
2018-01-10 07:00:00,5.99e-05,8.88e-05,5.706e-05,8.706e-05,26388090.0
2018-01-11 07:00:00,8.67e-05,9.97e-05,6.8e-05,7.516e-05,30722370.0
2018-01-12 07:00:00,7.509e-05,8.7e-05,7.087e-05,8.479e-05,9140850.0
2018-01-13 07:00:00,8.552e-05,8.736e-05,6.9e-05,7.119e-05,8336447.0
2018-01-14 07:00:00,7.121e-05,7.149e-05,6.004e-05,6.361e-05,7323172.0
2018-01-15 07:00:00,6.384e-05,6.93e-05,5.1e-05,5.55e-05,12215746.0
2018-01-16 07:00:00,5.55e-05,5.797e-05,3.837e-05,4.476e-05,12416582.0
2018-01-17 07:00:00,4.487e-05,5.2e-05,3.895e-05,5.041e-05,9084799.0
2018-01-18 07:00:00,4.987e-05,5.498e-05,4.701e-05,4.887e-05,8533075.0
2018-01-19 07:00:00,4.887e-05,6e-05,4.713e-05,5.52e-05,8377633.0
2018-01-20 07:00:00,5.523e-05,6.95e-05,5.39e-05,6.303e-05,16794137.0
2018-01-21 07:00:00,6.301e-05,6.499e-05,5.342e-05,5.601e-05,7590313.0
2018-01-22 07:00:00,5.6e-05,5.698e-05,4.821e-05,5.276e-05,5336461.0
2018-01-23 07:00:00,5.305e-05,5.371e-05,4.79e-05,5.286e-05,4664652.0
2018-01-24 07:00:00,5.287e-05,5.318e-05,4.799e-05,4.89e-05,4720087.0
2018-01-25 07:00:00,4.89e-05,6.48e-05,4.87e-05,6.088e-05,26118458.0
2018-01-26 07:00:00,6.088e-05,6.298e-05,5.321e-05,5.715e-05,11635983.0
2018-01-27 07:00:00,5.72e-05,5.72e-05,5.388e-05,5.467e-05,3348323.0
2018-01-28 07:00:00,5.467e-05,5.597e-05,4.989e-05,5.056e-05,6454807.0
2018-01-29 07:00:00,5.055e-05,5.3e-05,4.856e-05,4.937e-05,4370295.0
2018-01-30 07:00:00,4.916e-05,5.3e-05,4.504e-05,4.673e-05,5079569.0
2018-01-31 07:00:00,4.667e-05,4.855e-05,4.401e-05,4.41e-05,3193050.0
2018-02-01 07:00:00,4.411e-05,4.621e-05,3.75e-05,4.023e-05,5594235.0
2018-02-02 07:00:00,4.011e-05,4.178e-05,3.001e-05,3.784e-05,6178079.0
2018-02-03 07:00:00,3.76e-05,4.182e-05,3.527e-05,3.863e-05,3579457.0
2018-02-04 07:00:00,3.867e-05,3.949e-05,3.449e-05,3.662e-05,2536808.0
2018-02-05 07:00:00,3.651e-05,3.692e-05,2.752e-05,3.035e-05,5015920.0
2018-02-06 07:00:00,3.035e-05,4.49e-05,2.692e-05,3.652e-05,17169851.0
2018-02-07 07:00:00,3.632e-05,4.23e-05,3.35e-05,3.599e-05,7260174.0
2018-02-08 07:00:00,3.588e-05,3.588e-05,3.47e-05,3.549e-05,33908.0
2018-02-09 07:00:00,3.5e-05,3.93e-05,3.48e-05,3.569e-05,3360366.0
2018-02-10 07:00:00,3.569e-05,3.84e-05,3.4e-05,3.421e-05,4548120.0
2018-02-11 07:00:00,3.419e-05,3.448e-05,3.101e-05,3.2e-05,3118679.0
2018-02-12 07:00:00,3.202e-05,3.4e-05,3.16e-05,3.21e-05,2789360.0
2018-02-13 07:00:00,3.211e-05,3.241e-05,3.051e-05,3.137e-05,2431111.0
2018-02-14 07:00:00,3.136e-05,3.29e-05,3.05e-05,3.175e-05,4011292.0
2018-02-15 07:00:00,3.183e-05,3.58e-05,3.005e-05,3.163e-05,8679530.0
2018-02-16 07:00:00,3.162e-05,3.368e-05,3.141e-05,3.294e-05,2915348.0
2018-02-17 07:00:00,3.274e-05,3.486e-05,3.201e-05,3.32e-05,4115212.0
2018-02-18 07:00:00,3.32e-05,3.378e-05,2.976e-05,3.055e-05,3653365.0
2018-02-19 07:00:00,3.054e-05,3.223e-05,2.895e-05,2.895e-05,4394469.0
2018-02-20 07:00:00,2.9e-05,2.97e-05,2.5e-05,2.533e-05,4386049.0
2018-02-21 07:00:00,2.522e-05,2.7e-05,2.371e-05,2.482e-05,4261984.0
2018-02-22 07:00:00,2.484e-05,2.64e-05,2.36e-05,2.39e-05,3115261.0
2018-02-23 07:00:00,2.39e-05,3.896e-05,2.382e-05,2.85e-05,34507536.0
2018-02-24 07:00:00,2.859e-05,3.222e-05,2.657e-05,2.734e-05,26918903.0
2018-02-25 07:00:00,2.72e-05,2.8e-05,2.567e-05,2.6e-05,4697770.0
2018-02-26 07:00:00,2.601e-05,2.618e-05,2.37e-05,2.435e-05,3828347.0
2018-02-27 07:00:00,2.435e-05,2.741e-05,2.361e-05,2.426e-05,7161830.0
2018-02-28 07:00:00,2.426e-05,2.441e-05,2.288e-05,2.315e-05,2670398.0
2018-03-01 07:00:00,2.315e-05,2.4e-05,2.201e-05,2.269e-05,3876584.0
2018-03-02 07:00:00,2.288e-05,2.64e-05,2.176e-05,2.501e-05,8238590.0
2018-03-03 07:00:00,2.502e-05,2.865e-05,2.432e-05,2.615e-05,13843318.0
2018-03-04 07:00:00,2.605e-05,2.88e-05,2.414e-05,2.609e-05,5695657.0
2018-03-05 07:00:00,2.602e-05,3.175e-05,2.581e-05,2.927e-05,20026049.0
2018-03-06 07:00:00,2.926e-05,3.04e-05,2.531e-05,2.712e-05,8383960.0
2018-03-07 07:00:00,2.712e-05,2.729e-05,2.177e-05,2.431e-05,7882064.0
2018-03-08 07:00:00,2.432e-05,2.515e-05,2.15e-05,2.239e-05,4780169.0
2018-03-09 07:00:00,2.239e-05,2.45e-05,1.962e-05,2.207e-05,5756050.0
2018-03-10 07:00:00,2.197e-05,2.4e-05,2.17e-05,2.17e-05,3686979.0
2018-03-11 07:00:00,2.175e-05,2.298e-05,2.139e-05,2.23e-05,2388768.0
2018-03-12 07:00:00,2.23e-05,2.33e-05,2.1e-05,2.188e-05,3647790.0
2018-03-13 07:00:00,2.18e-05,2.224e-05,2.1e-05,2.132e-05,2696811.0
2018-03-14 07:00:00,2.131e-05,2.269e-05,1.976e-05,2.026e-05,4034002.0
2018-03-15 07:00:00,2.019e-05,2.1e-05,1.905e-05,2.09e-05,3418892.0
2018-03-16 07:00:00,2.077e-05,2.3e-05,1.924e-05,2.056e-05,9037919.0
2018-03-17 07:00:00,2.056e-05,2.21e-05,1.893e-05,1.912e-05,4460937.0
2018-03-18 07:00:00,1.895e-05,1.907e-05,1.594e-05,1.814e-05,7629099.0
2018-03-19 07:00:00,1.824e-05,1.88e-05,1.695e-05,1.827e-05,3857032.0
2018-03-20 07:00:00,1.82e-05,1.898e-05,1.751e-05,1.855e-05,3861502.0
2018-03-21 07:00:00,1.862e-05,2.2e-05,1.851e-05,2.113e-05,9716654.0
2018-03-22 07:00:00,2.112e-05,2.51e-05,1.928e-05,2.088e-05,20312818.0
2018-03-23 07:00:00,2.081e-05,2.092e-05,1.88e-05,1.975e-05,7624091.0
2018-03-24 07:00:00,1.981e-05,2.424e-05,1.943e-05,2.215e-05,11970615.0
2018-03-25 07:00:00,2.228e-05,2.45e-05,2.011e-05,2.257e-05,15492276.0
2018-03-26 07:00:00,2.257e-05,2.356e-05,2.004e-05,2.111e-05,7882926.0
2018-03-27 07:00:00,2.115e-05,2.174e-05,1.978e-05,2.052e-05,6345101.0
2018-03-28 07:00:00,2.065e-05,2.198e-05,2.025e-05,2.116e-05,3591616.0
2018-03-29 07:00:00,2.116e-05,2.154e-05,1.854e-05,1.929e-05,5347965.0
2018-03-30 07:00:00,1.944e-05,2.04e-05,1.88e-05,1.921e-05,2801177.0
2018-03-31 07:00:00,1.926e-05,2.039e-05,1.87e-05,1.925e-05,4890764.0
2018-04-01 07:00:00,1.915e-05,1.948e-05,1.801e-05,1.833e-05,2219021.0
2018-04-02 07:00:00,1.849e-05,2.195e-05,1.811e-05,1.951e-05,17790155.0
2018-04-03 07:00:00,1.956e-05,2.125e-05,1.897e-05,2.045e-05,9407891.0
2018-04-04 07:00:00,2.046e-05,2.057e-05,1.86e-05,1.908e-05,4415032.0
2018-04-05 07:00:00,1.922e-05,2.057e-05,1.882e-05,1.938e-05,4243938.0
2018-04-06 07:00:00,1.942e-05,2.013e-05,1.877e-05,1.967e-05,4271855.0
2018-04-07 07:00:00,1.966e-05,2.04e-05,1.903e-05,1.972e-05,4205156.0
2018-04-08 07:00:00,1.972e-05,2.008e-05,1.944e-05,1.95e-05,2024594.0
2018-04-09 07:00:00,1.95e-05,2.14e-05,1.93e-05,2.025e-05,8883147.0
2018-04-10 07:00:00,2.017e-05,2.169e-05,2.001e-05,2.128e-05,6897592.0
2018-04-11 07:00:00,2.12e-05,2.375e-05,2.096e-05,2.2e-05,12586402.0
2018-04-12 07:00:00,2.21e-05,2.65e-05,2.185e-05,2.432e-05,19498051.0
2018-04-13 07:00:00,2.434e-05,2.74e-05,2.31e-05,2.411e-05,13042818.0
2018-04-14 07:00:00,2.423e-05,2.68e-05,2.326e-05,2.385e-05,9045204.0
2018-04-15 07:00:00,2.385e-05,2.625e-05,2.35e-05,2.452e-05,7919878.0
2018-04-16 07:00:00,2.452e-05,2.5e-05,2.375e-05,2.431e-05,7185077.0
2018-04-17 07:00:00,2.431e-05,2.64e-05,2.387e-05,2.621e-05,14207044.0
2018-04-18 07:00:00,2.62e-05,2.68e-05,2.551e-05,2.62e-05,7648606.0
2018-04-19 07:00:00,2.617e-05,3.075e-05,2.583e-05,2.898e-05,20351909.0
2018-04-20 07:00:00,2.893e-05,2.95e-05,2.723e-05,2.802e-05,10086780.0
2018-04-21 07:00:00,2.802e-05,2.816e-05,2.457e-05,2.621e-05,6450954.0
