,open,high,low,close,volume
2017-11-20 07:00:00,6.8e-07,1.7e-06,6.8e-07,9.8e-07,150467697.0
2017-11-21 07:00:00,9.7e-07,1e-06,7.6e-07,8.3e-07,51333157.0
2017-11-22 07:00:00,8.3e-07,1.03e-06,8.3e-07,8.3e-07,37291552.0
2017-11-23 07:00:00,8.8e-07,1.06e-06,8.5e-07,9.2e-07,22050083.0
2017-11-24 07:00:00,9e-07,9.5e-07,7.8e-07,9.4e-07,30451701.0
2017-11-25 07:00:00,9.4e-07,9.6e-07,8.2e-07,8.8e-07,15274864.0
2017-11-26 07:00:00,8.8e-07,8.8e-07,7e-07,8.2e-07,22224489.0
2017-11-27 07:00:00,8.1e-07,1.08e-06,7.3e-07,8.5e-07,82683335.0
2017-11-28 07:00:00,8.5e-07,9.7e-07,7.6e-07,7.9e-07,49610991.0
2017-11-29 07:00:00,7.9e-07,8.2e-07,5.1e-07,6e-07,65645098.0
2017-11-30 07:00:00,6.2e-07,9.5e-07,6e-07,8.2e-07,75518908.0
2017-12-01 07:00:00,8.2e-07,8.6e-07,7.4e-07,8.5e-07,22703045.0
2017-12-02 07:00:00,8.3e-07,8.4e-07,6.8e-07,7.4e-07,23310546.0
2017-12-03 07:00:00,7.5e-07,7.5e-07,6.5e-07,6.7e-07,32371137.0
2017-12-04 07:00:00,6.7e-07,7e-07,5.9e-07,6.4e-07,31535042.0
2017-12-05 07:00:00,6.2e-07,7e-07,6e-07,6.7e-07,37184697.0
2017-12-06 07:00:00,6.7e-07,7.7e-07,6.2e-07,6.2e-07,81633370.0
2017-12-07 07:00:00,6.2e-07,9.4e-07,5.4e-07,5.5e-07,134976691.0
2017-12-08 07:00:00,5.5e-07,6.1e-07,4e-07,5.6e-07,53235597.0
2017-12-09 07:00:00,5.6e-07,6.1e-07,5.2e-07,5.6e-07,27104252.0
2017-12-10 07:00:00,5.6e-07,6.6e-07,5.4e-07,6e-07,37731582.0
2017-12-11 07:00:00,6e-07,6.1e-07,5e-07,5.3e-07,45306980.0
2017-12-12 07:00:00,5.4e-07,5.6e-07,4.8e-07,5.2e-07,71221870.0
2017-12-13 07:00:00,5.1e-07,7.4e-07,5e-07,6.9e-07,112966592.0
2017-12-14 07:00:00,6.9e-07,1.1e-06,5.3e-07,8.8e-07,404076889.0
2017-12-15 07:00:00,8.8e-07,1e-06,6.4e-07,8.3e-07,291207520.0
2017-12-16 07:00:00,8.2e-07,1.14e-06,7.7e-07,1.09e-06,335041987.0
2017-12-17 07:00:00,1.08e-06,2.04e-06,1.04e-06,1.81e-06,749974025.0
2017-12-18 07:00:00,1.81e-06,2.06e-06,1.37e-06,1.7e-06,398925462.0
2017-12-19 07:00:00,1.7e-06,1.95e-06,1.59e-06,1.73e-06,275408296.0
2017-12-20 07:00:00,1.73e-06,1.74e-06,1.42e-06,1.58e-06,202356723.0
2017-12-21 07:00:00,1.58e-06,3.22e-06,1.57e-06,2.61e-06,863188739.0
2017-12-22 07:00:00,2.62e-06,3.05e-06,1.63e-06,2.11e-06,389489907.0
2017-12-23 07:00:00,2.11e-06,2.76e-06,2.05e-06,2.4e-06,306948037.0
2017-12-24 07:00:00,2.4e-06,2.44e-06,2.2e-06,2.25e-06,123235779.0
2017-12-25 07:00:00,2.25e-06,2.56e-06,2.1e-06,2.21e-06,129556331.0
2017-12-26 07:00:00,2.22e-06,2.32e-06,1.81e-06,1.92e-06,122413309.0
2017-12-27 07:00:00,1.92e-06,2.18e-06,1.79e-06,2e-06,112137781.0
2017-12-28 07:00:00,1.99e-06,2.5e-06,1.89e-06,2.26e-06,183272912.0
2017-12-29 07:00:00,2.26e-06,4.83e-06,2.25e-06,4.09e-06,1359811259.0
2017-12-30 07:00:00,4.08e-06,1.19e-05,3.64e-06,8.05e-06,2154233183.0
2017-12-31 07:00:00,8.05e-06,1.045e-05,6.54e-06,6.82e-06,894926159.0
2018-01-01 07:00:00,6.85e-06,8.48e-06,6e-06,6.77e-06,377415363.0
2018-01-02 07:00:00,6.77e-06,8.26e-06,4.55e-06,6.53e-06,351931029.0
2018-01-03 07:00:00,6.53e-06,7.81e-06,5.87e-06,7.17e-06,267346091.0
2018-01-04 07:00:00,7.19e-06,1.55e-05,7.03e-06,1.201e-05,810635117.0
2018-01-05 07:00:00,1.202e-05,1.777e-05,9.2e-06,1.232e-05,692671842.0
2018-01-06 07:00:00,1.23e-05,1.493e-05,1.106e-05,1.248e-05,292990462.0
2018-01-07 07:00:00,1.248e-05,1.278e-05,1.1e-05,1.178e-05,220988731.0
2018-01-08 07:00:00,1.178e-05,1.295e-05,9.5e-06,1.233e-05,154823493.0
2018-01-09 07:00:00,1.231e-05,1.233e-05,1.008e-05,1.111e-05,132568610.0
2018-01-10 07:00:00,1.109e-05,1.34e-05,9.04e-06,1.151e-05,238241501.0
2018-01-11 07:00:00,1.152e-05,1.328e-05,9.86e-06,1.086e-05,212554639.0
2018-01-12 07:00:00,1.09e-05,1.147e-05,1e-05,1.111e-05,85469814.0
2018-01-13 07:00:00,1.112e-05,1.13e-05,9.25e-06,9.75e-06,95724322.0
2018-01-14 07:00:00,9.74e-06,1.05e-05,8.5e-06,8.65e-06,87102653.0
2018-01-15 07:00:00,8.65e-06,1.121e-05,7.3e-06,7.32e-06,192603924.0
2018-01-16 07:00:00,7.32e-06,7.55e-06,5.06e-06,6.34e-06,198229186.0
2018-01-17 07:00:00,6.34e-06,9.71e-06,5.79e-06,8.28e-06,319842050.0
2018-01-18 07:00:00,8.28e-06,9.25e-06,7.78e-06,8.77e-06,213588012.0
2018-01-19 07:00:00,8.8e-06,1.187e-05,8.5e-06,1.031e-05,332080562.0
2018-01-20 07:00:00,1.031e-05,1.119e-05,8.98e-06,9.44e-06,237546099.0
2018-01-21 07:00:00,9.42e-06,1.076e-05,8.4e-06,9.13e-06,130132770.0
2018-01-22 07:00:00,9.12e-06,9.51e-06,8.5e-06,8.87e-06,123782468.0
2018-01-23 07:00:00,8.87e-06,1.043e-05,8.43e-06,9.31e-06,151949104.0
2018-01-24 07:00:00,9.32e-06,1.039e-05,8.7e-06,8.71e-06,142976063.0
2018-01-25 07:00:00,8.72e-06,9.49e-06,8.6e-06,8.64e-06,75507827.0
2018-01-26 07:00:00,8.64e-06,9.18e-06,8.45e-06,8.86e-06,77382256.0
2018-01-27 07:00:00,8.84e-06,9.06e-06,8.52e-06,8.65e-06,40283759.0
2018-01-28 07:00:00,8.65e-06,8.68e-06,8.01e-06,8.04e-06,51417981.0
2018-01-29 07:00:00,8.04e-06,1.029e-05,7.92e-06,9.49e-06,364134400.0
2018-01-30 07:00:00,9.48e-06,9.87e-06,8.22e-06,8.4e-06,217476282.0
2018-01-31 07:00:00,8.39e-06,8.64e-06,8.17e-06,8.24e-06,50060753.0
2018-02-01 07:00:00,8.23e-06,8.81e-06,7.5e-06,7.92e-06,72000751.0
2018-02-02 07:00:00,7.92e-06,7.92e-06,5.9e-06,7.08e-06,104675700.0
2018-02-03 07:00:00,7.09e-06,7.7e-06,6.61e-06,7.33e-06,53659639.0
2018-02-04 07:00:00,7.32e-06,7.98e-06,6.71e-06,7.23e-06,66271884.0
2018-02-05 07:00:00,7.23e-06,7.4e-06,5.83e-06,6.24e-06,62774187.0
2018-02-06 07:00:00,6.24e-06,7.39e-06,5.54e-06,7.02e-06,104477589.0
2018-02-07 07:00:00,7.07e-06,7.27e-06,6.35e-06,6.39e-06,87739599.0
2018-02-08 07:00:00,6.38e-06,6.58e-06,6.38e-06,6.54e-06,1275794.0
2018-02-09 07:00:00,6.53e-06,7.82e-06,6.53e-06,7.17e-06,84452528.0
2018-02-10 07:00:00,7.15e-06,7.59e-06,6.65e-06,6.78e-06,77639185.0
2018-02-11 07:00:00,6.78e-06,8.72e-06,6.43e-06,7.42e-06,254513821.0
2018-02-12 07:00:00,7.41e-06,8.41e-06,7.33e-06,7.61e-06,222092381.0
2018-02-13 07:00:00,7.61e-06,8.05e-06,7.42e-06,7.71e-06,92862324.0
2018-02-14 07:00:00,7.69e-06,8.47e-06,7.4e-06,7.96e-06,115325172.0
2018-02-15 07:00:00,7.96e-06,8.9e-06,7.7e-06,8.17e-06,209969708.0
2018-02-16 07:00:00,8.17e-06,8.33e-06,7.78e-06,8.04e-06,108393757.0
2018-02-17 07:00:00,8.02e-06,8.3e-06,7.65e-06,7.76e-06,85801300.0
2018-02-18 07:00:00,7.75e-06,7.88e-06,6.91e-06,7.07e-06,65241906.0
2018-02-19 07:00:00,7.07e-06,7.39e-06,6.8e-06,6.87e-06,47440357.0
2018-02-20 07:00:00,6.84e-06,6.86e-06,5.83e-06,6.04e-06,66571549.0
2018-02-21 07:00:00,6e-06,6.76e-06,5.85e-06,6.15e-06,122365440.0
2018-02-22 07:00:00,6.13e-06,6.34e-06,5.89e-06,6.01e-06,51224689.0
2018-02-23 07:00:00,6.01e-06,6.22e-06,5.88e-06,6.05e-06,43317966.0
2018-02-24 07:00:00,6.05e-06,6.2e-06,5.82e-06,5.93e-06,44531821.0
2018-02-25 07:00:00,5.93e-06,6.16e-06,5.89e-06,6.01e-06,38853872.0
2018-02-26 07:00:00,6.01e-06,6.21e-06,5.83e-06,5.87e-06,47808732.0
2018-02-27 07:00:00,5.86e-06,5.95e-06,5.51e-06,5.71e-06,34209046.0
2018-02-28 07:00:00,5.72e-06,5.72e-06,5.05e-06,5.24e-06,38886052.0
2018-03-01 07:00:00,5.24e-06,5.67e-06,5.05e-06,5.16e-06,55244857.0
2018-03-02 07:00:00,5.16e-06,5.39e-06,5.11e-06,5.18e-06,44071277.0
2018-03-03 07:00:00,5.17e-06,5.18e-06,4.68e-06,4.74e-06,43424954.0
2018-03-04 07:00:00,4.73e-06,4.93e-06,4.54e-06,4.57e-06,31251653.0
2018-03-05 07:00:00,4.57e-06,4.66e-06,4.25e-06,4.42e-06,34723233.0
2018-03-06 07:00:00,4.44e-06,4.44e-06,4.09e-06,4.28e-06,58000149.0
2018-03-07 07:00:00,4.28e-06,4.3e-06,3.55e-06,3.86e-06,73431367.0
2018-03-08 07:00:00,3.87e-06,3.96e-06,3.65e-06,3.69e-06,33823105.0
2018-03-09 07:00:00,3.7e-06,3.87e-06,3.45e-06,3.74e-06,35790339.0
2018-03-10 07:00:00,3.74e-06,3.99e-06,3.33e-06,3.62e-06,36895292.0
2018-03-11 07:00:00,3.62e-06,3.79e-06,3.51e-06,3.68e-06,23236200.0
2018-03-12 07:00:00,3.67e-06,3.83e-06,3.55e-06,3.63e-06,26622331.0
2018-03-13 07:00:00,3.64e-06,3.88e-06,3.6e-06,3.77e-06,41471677.0
2018-03-14 07:00:00,3.78e-06,4.42e-06,3.68e-06,3.71e-06,134531391.0
2018-03-15 07:00:00,3.71e-06,3.82e-06,3.52e-06,3.78e-06,37228096.0
2018-03-16 07:00:00,3.77e-06,3.93e-06,3.63e-06,3.67e-06,28617387.0
2018-03-17 07:00:00,3.67e-06,3.74e-06,3.43e-06,3.5e-06,21083330.0
2018-03-18 07:00:00,3.51e-06,3.57e-06,3.06e-06,3.34e-06,41462244.0
2018-03-19 07:00:00,3.34e-06,3.5e-06,3.28e-06,3.42e-06,38988844.0
2018-03-20 07:00:00,3.41e-06,3.62e-06,3.3e-06,3.56e-06,42066176.0
2018-03-21 07:00:00,3.56e-06,3.94e-06,3.45e-06,3.72e-06,79863620.0
2018-03-22 07:00:00,3.72e-06,3.94e-06,3.6e-06,3.83e-06,62531822.0
2018-03-23 07:00:00,3.83e-06,4.6e-06,3.63e-06,4e-06,164344610.0
2018-03-24 07:00:00,4.01e-06,4.73e-06,4e-06,4.18e-06,175845983.0
