,open,high,low,close,volume
2017-07-27 07:00:00,0.0304,0.03083,0.029096,0.029662,17640.99
2017-07-28 07:00:00,0.029793,0.030501,0.028302,0.028985,29147.61
2017-07-29 07:00:00,0.029006,0.029996,0.027308,0.028086,48626.03
2017-07-30 07:00:00,0.028067,0.028397,0.027187,0.027977,28330.66
2017-07-31 07:00:00,0.027883,0.031782,0.027333,0.030048,50882.77
2017-08-01 07:00:00,0.030036,0.031935,0.0269,0.028909,66805.25
2017-08-02 07:00:00,0.028983,0.030105,0.028054,0.029194,39283.29
2017-08-03 07:00:00,0.02921,0.03481,0.027919,0.033729,55349.64
2017-08-04 07:00:00,0.033979,0.038273,0.0331,0.036541,49103.62
2017-08-05 07:00:00,0.036541,0.038675,0.034432,0.036,57352.66
2017-08-06 07:00:00,0.035915,0.041784,0.035033,0.038974,57864.69
2017-08-07 07:00:00,0.039147,0.04786,0.037457,0.046706,78621.43
2017-08-08 07:00:00,0.046683,0.047857,0.037728,0.03909,81320.73
2017-08-09 07:00:00,0.03908,0.042492,0.034847,0.042073,87246.47
2017-08-10 07:00:00,0.042075,0.056089,0.041204,0.052092,103978.95
2017-08-11 07:00:00,0.051991,0.054503,0.047069,0.04891,89597.83
2017-08-12 07:00:00,0.0489,0.052052,0.041847,0.044434,79750.95
2017-08-13 07:00:00,0.04425,0.053971,0.041,0.05108,146691.94
2017-08-14 07:00:00,0.05108,0.056743,0.046848,0.052154,111863.36
2017-08-15 07:00:00,0.052114,0.052701,0.047,0.049813,101110.78
2017-08-16 07:00:00,0.049829,0.05276,0.046943,0.048521,87624.25
2017-08-17 07:00:00,0.048514,0.048598,0.040818,0.043177,94075.49
2017-08-18 07:00:00,0.043151,0.043177,0.036075,0.038897,126341.84
2017-08-19 07:00:00,0.038873,0.042235,0.034,0.039409,96248.52
2017-08-20 07:00:00,0.039562,0.042982,0.036836,0.03964,132961.39
2017-08-21 07:00:00,0.039547,0.039827,0.03211,0.03459,116080.59
2017-08-22 07:00:00,0.034643,0.036313,0.033,0.03469,123080.88
2017-08-23 07:00:00,0.034689,0.039362,0.034504,0.03754,123757.54
2017-08-24 07:00:00,0.037545,0.05,0.036272,0.042551,146479.84
2017-08-25 07:00:00,0.042509,0.043576,0.038489,0.040173,71242.5
