,open,high,low,close,volume
2018-03-19 07:00:00,16.0,20.549,13.1,19.878,1173351.458
2018-03-20 07:00:00,19.88,22.0,18.053,20.386,2428141.555
2018-03-21 07:00:00,20.386,21.0,18.5,19.593,1660401.58
2018-03-22 07:00:00,19.593,20.177,17.62,19.288,1301822.548
2018-03-23 07:00:00,19.288,19.304,17.604,18.442,1271729.778
2018-03-24 07:00:00,18.465,19.45,17.64,17.758,1194967.755
2018-03-25 07:00:00,17.758,18.3,17.5,17.958,919524.918
2018-03-26 07:00:00,17.97,18.161,15.1,16.023,1509575.618
2018-03-27 07:00:00,16.0,17.0,14.562,15.149,353654.504
2018-03-28 07:00:00,15.097,16.2,15.026,15.502,204091.397
2018-03-29 07:00:00,15.495,15.625,13.839,14.132,173527.532
2018-03-30 07:00:00,14.053,14.97,13.316,14.182,223024.852
2018-03-31 07:00:00,14.179,14.7,13.938,14.031,108491.075
2018-04-01 07:00:00,14.03,14.248,12.537,13.326,121743.004
2018-04-02 07:00:00,13.326,14.6,13.147,14.155,172516.18
2018-04-03 07:00:00,14.154,15.1,14.01,14.962,165969.901
2018-04-04 07:00:00,14.962,14.98,13.315,13.539,107077.082
2018-04-05 07:00:00,13.544,13.605,12.809,13.323,114975.392
2018-04-06 07:00:00,13.323,13.462,12.514,12.764,67119.417
2018-04-07 07:00:00,12.784,13.438,12.696,13.084,71568.324
2018-04-08 07:00:00,13.045,13.623,13.03,13.399,62155.006
2018-04-09 07:00:00,13.389,14.8,13.001,13.41,165097.604
2018-04-10 07:00:00,13.412,13.55,12.879,13.424,71381.786
2018-04-11 07:00:00,13.439,14.483,13.317,14.374,150282.148
2018-04-12 07:00:00,14.343,16.88,13.301,16.491,384467.372
2018-04-13 07:00:00,16.481,17.659,15.44,15.605,389260.216
2018-04-14 07:00:00,15.605,16.343,15.0,15.837,170965.73
2018-04-15 07:00:00,15.836,17.068,15.836,16.811,103845.586
2018-04-16 07:00:00,16.841,17.007,15.5,16.651,119637.001
2018-04-17 07:00:00,16.651,16.978,16.15,16.187,111262.344
2018-04-18 07:00:00,16.23,17.729,16.186,17.552,102454.01
2018-04-19 07:00:00,17.53,18.6,17.45,18.551,147441.228
2018-04-20 07:00:00,18.551,20.684,17.98,20.267,208824.093
2018-04-21 07:00:00,20.27,20.692,17.688,19.358,223516.256
2018-04-22 07:00:00,19.316,19.9,18.551,19.107,132344.142
2018-04-23 07:00:00,19.107,20.774,19.081,20.457,190987.742
2018-04-24 07:00:00,20.457,23.98,20.41,22.642,300321.475
2018-04-25 07:00:00,22.611,22.616,17.972,19.152,420357.294
2018-04-26 07:00:00,19.152,21.108,18.4,21.007,253664.957
2018-04-27 07:00:00,21.058,21.295,19.551,19.633,229912.657
2018-04-28 07:00:00,19.657,22.05,19.5,21.625,305297.317
2018-04-29 07:00:00,21.637,23.599,20.266,23.001,456806.155
2018-04-30 07:00:00,23.001,25.8,21.666,22.432,589056.706
2018-05-01 07:00:00,22.431,22.46,20.5,22.045,338102.986
2018-05-02 07:00:00,22.003,22.493,21.304,22.29,207161.7
2018-05-03 07:00:00,22.305,23.499,21.64,22.728,341723.592
2018-05-04 07:00:00,22.728,23.805,21.6,22.091,219714.159
2018-05-05 07:00:00,22.1,23.079,21.882,22.464,158109.23
2018-05-06 07:00:00,22.413,23.98,21.323,22.88,337698.981
2018-05-07 07:00:00,22.876,22.997,20.34,21.362,176740.228
2018-05-08 07:00:00,21.361,21.82,20.32,20.658,94463.37
2018-05-09 07:00:00,20.692,20.697,18.968,19.905,169906.068
2018-05-10 07:00:00,19.905,20.108,18.216,18.221,123652.271
2018-05-11 07:00:00,18.222,18.555,15.048,15.834,355210.959
2018-05-12 07:00:00,15.895,16.871,14.28,16.131,292257.684
2018-05-13 07:00:00,16.141,17.838,15.66,17.199,244381.307
2018-05-14 07:00:00,17.198,18.759,15.979,17.664,359800.243
2018-05-15 07:00:00,17.626,18.448,16.66,16.705,230817.46
2018-05-16 07:00:00,16.705,16.832,15.6,16.44,172204.925
2018-05-17 07:00:00,16.404,16.919,15.111,15.302,117382.592
2018-05-18 07:00:00,15.31,16.066,14.82,15.995,120299.005
2018-05-19 07:00:00,15.997,16.371,15.383,16.02,118643.4
2018-05-20 07:00:00,16.069,17.13,15.81,16.759,158349.779
2018-05-21 07:00:00,16.758,16.915,15.88,16.131,121907.587
2018-05-22 07:00:00,16.116,16.206,14.8,14.831,111650.557
2018-05-23 07:00:00,14.831,15.043,13.019,13.24,199508.904
2018-05-24 07:00:00,13.19,14.132,12.51,13.934,185995.286
2018-05-25 07:00:00,13.896,14.0,12.9,13.22,119464.573
2018-05-26 07:00:00,13.256,13.73,12.966,13.179,73661.033
2018-05-27 07:00:00,13.179,13.219,12.826,13.143,49486.419
2018-05-28 07:00:00,13.155,13.351,12.038,12.042,110564.635
2018-05-29 07:00:00,12.043,13.5,12.0,13.198,217272.87
2018-05-30 07:00:00,13.203,13.563,12.683,13.039,97898.877
2018-05-31 07:00:00,13.039,13.75,12.872,13.3,136808.735
2018-06-01 07:00:00,13.278,14.559,13.174,14.42,185660.729
2018-06-02 07:00:00,14.387,14.893,14.247,14.588,149192.275
2018-06-03 07:00:00,14.588,14.871,14.412,14.648,149345.18
2018-06-04 07:00:00,14.649,14.894,13.313,13.588,169463.161
2018-06-05 07:00:00,13.587,13.989,12.965,13.904,102791.957
2018-06-06 07:00:00,13.911,13.963,13.36,13.665,76712.845
2018-06-07 07:00:00,13.681,13.905,13.472,13.538,73987.066
2018-06-08 07:00:00,13.538,13.65,13.12,13.319,52720.504
2018-06-09 07:00:00,13.317,13.46,13.02,13.076,38051.972
2018-06-10 07:00:00,13.076,13.076,11.081,11.35,220848.075
2018-06-11 07:00:00,11.351,11.973,11.055,11.88,92112.947
2018-06-12 07:00:00,11.879,12.699,10.827,11.089,152730.992
2018-06-13 07:00:00,11.088,11.348,10.0,10.458,124366.577
2018-06-14 07:00:00,10.473,11.325,10.258,11.064,111330.083
2018-06-15 07:00:00,11.094,11.119,10.5,10.566,61577.959
2018-06-16 07:00:00,10.527,10.715,10.247,10.533,43791.95
2018-06-17 07:00:00,10.565,10.718,10.341,10.421,41875.692
2018-06-18 07:00:00,10.421,10.85,10.021,10.569,156898.384
2018-06-19 07:00:00,10.596,10.911,10.273,10.706,88411.437
2018-06-20 07:00:00,10.693,10.714,9.983,10.401,105995.693
2018-06-21 07:00:00,10.405,10.676,10.092,10.206,51314.709
2018-06-22 07:00:00,10.207,10.266,8.694,8.866,138963.227
2018-06-23 07:00:00,8.862,9.05,8.515,8.801,72294.579
2018-06-24 07:00:00,8.801,8.857,7.33,8.047,172414.097
2018-06-25 07:00:00,8.047,8.5,7.765,8.302,78131.881
2018-06-26 07:00:00,8.303,9.703,7.912,8.18,4237766.318
2018-06-27 07:00:00,8.18,9.391,8.078,8.828,471275.608
2018-06-28 07:00:00,8.807,8.842,7.631,7.721,185992.729
2018-06-29 07:00:00,7.737,8.349,7.511,8.118,190180.586
2018-06-30 07:00:00,8.162,8.789,8.118,8.522,184664.018
2018-07-01 07:00:00,8.531,8.888,8.272,8.54,105099.363
2018-07-02 07:00:00,8.557,9.414,8.336,9.155,214062.868
2018-07-03 07:00:00,9.17,9.491,8.719,8.783,158315.889
2018-07-04 07:00:00,8.81,9.324,8.749,8.938,137539.261
2018-07-05 07:00:00,8.918,9.301,8.483,8.727,194990.411
2018-07-06 07:00:00,8.728,9.1,8.402,8.957,135380.708
2018-07-07 07:00:00,8.991,9.549,8.644,9.16,237821.138
2018-07-08 07:00:00,9.16,9.22,8.859,8.89,144485.467
2018-07-09 07:00:00,8.898,9.8,8.5,8.51,388252.68
2018-07-10 07:00:00,8.5,8.578,7.772,7.78,161375.501
2018-07-11 07:00:00,7.791,7.93,7.558,7.798,74182.899
2018-07-12 07:00:00,7.795,7.859,7.3,7.482,81366.447
2018-07-13 07:00:00,7.508,7.812,7.477,7.624,85587.592
2018-07-14 07:00:00,7.626,7.78,7.451,7.654,37742.609
2018-07-15 07:00:00,7.643,7.938,7.562,7.848,53818.736
2018-07-16 07:00:00,7.851,8.431,7.707,8.41,138605.079
2018-07-17 07:00:00,8.386,9.003,8.029,8.836,277795.643
2018-07-18 07:00:00,8.835,9.161,8.453,8.58,303577.401
2018-07-19 07:00:00,8.58,8.75,8.258,8.379,221153.666
2018-07-20 07:00:00,8.379,8.394,7.655,7.705,256729.162
2018-07-21 07:00:00,7.703,7.983,7.392,7.79,164322.673
2018-07-22 07:00:00,7.79,8.398,7.675,7.815,239645.605
2018-07-23 07:00:00,7.814,8.27,7.7,7.795,308920.998
2018-07-24 07:00:00,7.796,8.268,7.571,8.166,213579.215
2018-07-25 07:00:00,8.137,8.329,7.9,8.09,138966.564
2018-07-26 07:00:00,8.09,8.293,7.599,7.725,195742.834
2018-07-27 07:00:00,7.723,7.977,7.601,7.878,93202.876
2018-07-28 07:00:00,7.878,7.923,7.6,7.757,65432.594
2018-07-29 07:00:00,7.756,7.831,7.601,7.729,57859.285
2018-07-30 07:00:00,7.742,7.77,7.15,7.396,254861.086
2018-07-31 07:00:00,7.401,7.431,6.76,6.85,298742.036
