,open,high,low,close,volume
2017-09-19 07:00:00,0.0003,0.0003,4.323e-05,4.799e-05,529305.0
2017-09-20 07:00:00,4.701e-05,5.4e-05,4.56e-05,4.75e-05,181884.0
2017-09-21 07:00:00,4.9e-05,4.95e-05,4.511e-05,4.95e-05,30430.0
2017-09-22 07:00:00,4.8e-05,5.746e-05,4.57e-05,5.078e-05,48338.0
2017-09-23 07:00:00,4.943e-05,5.297e-05,4.321e-05,4.698e-05,46660.0
2017-09-24 07:00:00,4.7e-05,4.7e-05,4.321e-05,4.69e-05,4686.0
2017-09-25 07:00:00,4.322e-05,4.771e-05,4.294e-05,4.525e-05,1195083.0
2017-09-26 07:00:00,4.509e-05,4.801e-05,4.42e-05,4.651e-05,1650168.0
2017-09-27 07:00:00,4.671e-05,4.78e-05,4.094e-05,4.243e-05,1834125.0
2017-09-28 07:00:00,4.243e-05,4.345e-05,3.9e-05,3.96e-05,1609069.0
2017-09-29 07:00:00,3.966e-05,4.067e-05,3.797e-05,3.901e-05,1185510.0
2017-09-30 07:00:00,3.908e-05,5.15e-05,3.659e-05,3.989e-05,1368243.0
2017-10-01 07:00:00,3.962e-05,4.011e-05,3.5e-05,3.632e-05,1429565.0
2017-10-02 07:00:00,3.605e-05,3.78e-05,3.401e-05,3.481e-05,1608123.0
2017-10-03 07:00:00,3.481e-05,5.15e-05,3.404e-05,3.951e-05,1823667.0
2017-10-04 07:00:00,3.949e-05,5.2e-05,3.862e-05,4.106e-05,3405340.0
2017-10-05 07:00:00,4.108e-05,4.332e-05,3.458e-05,4e-05,1842099.0
2017-10-06 07:00:00,3.993e-05,4.014e-05,3.639e-05,3.9e-05,1220265.0
2017-10-07 07:00:00,3.895e-05,3.95e-05,3.602e-05,3.671e-05,1634123.0
2017-10-08 07:00:00,3.687e-05,3.85e-05,2.956e-05,2.994e-05,1367755.0
2017-10-09 07:00:00,2.992e-05,3.438e-05,2.766e-05,2.96e-05,1451653.0
2017-10-10 07:00:00,2.97e-05,3.304e-05,2.94e-05,3.215e-05,1159635.0
2017-10-11 07:00:00,3.172e-05,3.282e-05,3.069e-05,3.139e-05,1678034.0
