,open,high,low,close,volume
2017-10-12 07:00:00,5.24e-06,6.23e-06,4.6e-06,4.81e-06,8488573.0
2017-10-13 07:00:00,4.79e-06,4.94e-06,4.18e-06,4.39e-06,12721348.0
2017-10-14 07:00:00,4.4e-06,4.81e-06,4.25e-06,4.51e-06,11669053.0
2017-10-15 07:00:00,4.5e-06,5.22e-06,4.34e-06,5.18e-06,14963445.0
2017-10-16 07:00:00,5.21e-06,5.3e-06,4.78e-06,5.02e-06,14991566.0
2017-10-17 07:00:00,4.97e-06,5.13e-06,4.85e-06,4.9e-06,14992224.0
2017-10-18 07:00:00,4.87e-06,5.19e-06,4.81e-06,5.11e-06,13901636.0
2017-10-19 07:00:00,5.19e-06,5.28e-06,4.59e-06,4.85e-06,13580536.0
2017-10-20 07:00:00,4.85e-06,4.99e-06,4.42e-06,4.45e-06,11530855.0
2017-10-21 07:00:00,4.46e-06,4.48e-06,4e-06,4.29e-06,13507314.0
2017-10-22 07:00:00,4.33e-06,4.57e-06,4.16e-06,4.29e-06,14710618.0
2017-10-23 07:00:00,4.27e-06,4.47e-06,3.99e-06,4.26e-06,15909261.0
2017-10-24 07:00:00,4.28e-06,5.07e-06,4.01e-06,4.82e-06,16499049.0
2017-10-25 07:00:00,4.8e-06,5.12e-06,4.54e-06,4.97e-06,15113939.0
2017-10-26 07:00:00,4.96e-06,5.12e-06,4.7e-06,5.08e-06,19255375.0
2017-10-27 07:00:00,5.09e-06,6.18e-06,5.05e-06,5.85e-06,26315599.0
2017-10-28 07:00:00,5.93e-06,7.1e-06,5.67e-06,6.39e-06,24765886.0
2017-10-29 07:00:00,6.38e-06,6.8e-06,5.75e-06,6.06e-06,20970891.0
2017-10-30 07:00:00,6.08e-06,6.3e-06,5.86e-06,6.13e-06,19757905.0
2017-10-31 07:00:00,6.15e-06,6.9e-06,5.89e-06,6.28e-06,23630633.0
2017-11-01 07:00:00,6.27e-06,7.2e-06,6.17e-06,6.33e-06,26275226.0
2017-11-02 07:00:00,6.34e-06,6.48e-06,4.4e-06,4.66e-06,34143795.0
2017-11-03 07:00:00,4.68e-06,4.83e-06,4.04e-06,4.24e-06,31820701.0
2017-11-04 07:00:00,4.24e-06,4.58e-06,4.08e-06,4.25e-06,23933040.0
2017-11-05 07:00:00,4.23e-06,4.42e-06,4.08e-06,4.17e-06,18196753.0
2017-11-06 07:00:00,4.21e-06,4.37e-06,4.08e-06,4.19e-06,17556468.0
2017-11-07 07:00:00,4.18e-06,4.35e-06,4.11e-06,4.25e-06,21771709.0
2017-11-08 07:00:00,4.24e-06,4.63e-06,4e-06,4.26e-06,26069740.0
2017-11-09 07:00:00,4.25e-06,5.05e-06,4.22e-06,4.65e-06,22201927.0
2017-11-10 07:00:00,4.65e-06,4.78e-06,4.38e-06,4.43e-06,22698776.0
2017-11-11 07:00:00,4.46e-06,4.65e-06,4.22e-06,4.52e-06,22258088.0
2017-11-12 07:00:00,4.5e-06,4.68e-06,4.23e-06,4.43e-06,42013797.0
2017-11-13 07:00:00,4.45e-06,4.48e-06,4.16e-06,4.34e-06,23297927.0
2017-11-14 07:00:00,4.35e-06,4.36e-06,4.18e-06,4.3e-06,21168421.0
2017-11-15 07:00:00,4.27e-06,4.45e-06,4e-06,4.13e-06,28802804.0
2017-11-16 07:00:00,4.13e-06,4.24e-06,3.45e-06,3.69e-06,28799647.0
2017-11-17 07:00:00,3.68e-06,3.69e-06,3.43e-06,3.6e-06,23795226.0
2017-11-18 07:00:00,3.6e-06,3.81e-06,3.58e-06,3.71e-06,26603421.0
2017-11-19 07:00:00,3.73e-06,3.9e-06,3.52e-06,3.57e-06,23285978.0
2017-11-20 07:00:00,3.57e-06,4.42e-06,3.5e-06,4.09e-06,70780612.0
2017-11-21 07:00:00,4.14e-06,4.61e-06,3.87e-06,4.34e-06,63949486.0
2017-11-22 07:00:00,4.35e-06,4.97e-06,3.96e-06,4.37e-06,64647088.0
