,open,high,low,close,volume
2017-11-03 07:00:00,4.884e-05,0.000109,4.884e-05,7.298e-05,3667314.0
2017-11-04 07:00:00,7.309e-05,7.508e-05,6.509e-05,6.576e-05,6270978.0
2017-11-05 07:00:00,6.589e-05,6.999e-05,6.303e-05,6.803e-05,3865789.0
2017-11-06 07:00:00,6.804e-05,7.299e-05,6.45e-05,6.939e-05,3659892.0
2017-11-07 07:00:00,6.952e-05,7.98e-05,6.661e-05,7.137e-05,4532738.0
2017-11-08 07:00:00,7.136e-05,7.864e-05,6.806e-05,7.216e-05,5493852.0
2017-11-09 07:00:00,7.336e-05,8.49e-05,7.19e-05,8.31e-05,5067250.0
2017-11-10 07:00:00,8.31e-05,8.368e-05,6.802e-05,7.257e-05,3143251.0
2017-11-11 07:00:00,7.252e-05,7.667e-05,7.154e-05,7.434e-05,5447621.0
2017-11-12 07:00:00,7.43e-05,7.678e-05,6.718e-05,7.462e-05,3603364.0
2017-11-13 07:00:00,7.468e-05,8.565e-05,7.335e-05,7.911e-05,4058910.0
2017-11-14 07:00:00,7.911e-05,0.00010201,7.5e-05,9.191e-05,5393767.0
2017-11-15 07:00:00,9.27e-05,0.00012556,8.359e-05,0.00011468,11113662.0
2017-11-16 07:00:00,0.0001146,0.00013177,7.945e-05,8.307e-05,14963092.0
2017-11-17 07:00:00,8.31e-05,9.119e-05,7.516e-05,8.002e-05,8406774.0
2017-11-18 07:00:00,8.002e-05,8.249e-05,7.53e-05,8.02e-05,8182672.0
2017-11-19 07:00:00,8.021e-05,8.5e-05,7.649e-05,7.911e-05,6398022.0
2017-11-20 07:00:00,7.868e-05,8.3e-05,7.678e-05,8.188e-05,7487789.0
2017-11-21 07:00:00,8.188e-05,9.3e-05,8.038e-05,9.047e-05,7577031.0
2017-11-22 07:00:00,9.045e-05,0.000102,8.634e-05,8.964e-05,8645413.0
2017-11-23 07:00:00,8.964e-05,9.044e-05,8.376e-05,8.715e-05,6094176.0
2017-11-24 07:00:00,8.769e-05,8.801e-05,7.916e-05,8.636e-05,8079556.0
2017-11-25 07:00:00,8.626e-05,8.949e-05,8.263e-05,8.49e-05,5994632.0
2017-11-26 07:00:00,8.485e-05,8.491e-05,7.812e-05,7.986e-05,6153799.0
2017-11-27 07:00:00,8.018e-05,8.346e-05,7.421e-05,7.7e-05,8808599.0
2017-11-28 07:00:00,7.7e-05,8.35e-05,7.202e-05,7.883e-05,6824946.0
2017-11-29 07:00:00,7.909e-05,8.048e-05,6.51e-05,6.649e-05,7155375.0
2017-11-30 07:00:00,6.648e-05,6.993e-05,6.23e-05,6.553e-05,7517017.0
2017-12-01 07:00:00,6.577e-05,6.987e-05,6.473e-05,6.634e-05,7627504.0
2017-12-02 07:00:00,6.603e-05,7.321e-05,6.447e-05,6.71e-05,6185908.0
2017-12-03 07:00:00,6.696e-05,7.599e-05,6.696e-05,7.143e-05,7084833.0
