,open,high,low,close,volume
2017-09-14 07:00:00,0.0195,0.02,0.0165,0.016901,1536.57
2017-09-15 07:00:00,0.016901,0.0184,0.0134,0.0184,2610.93
2017-09-16 07:00:00,0.0184,0.0184,0.017,0.0182,331.6
2017-09-17 07:00:00,0.017,0.017001,0.017,0.017,47.15
2017-09-18 07:00:00,0.017,0.01885,0.014001,0.016906,2028.01
2017-09-19 07:00:00,0.0187,0.0187,0.016906,0.016906,448.93
2017-09-20 07:00:00,0.016906,0.018001,0.016906,0.017998,659.69
2017-09-21 07:00:00,0.016001,0.016001,0.015005,0.0155,1217.71
2017-09-22 07:00:00,0.0155,0.018,0.0148,0.015,705.89
2017-09-23 07:00:00,0.015,0.01511,0.014502,0.014503,819.84
2017-09-24 07:00:00,0.014553,0.014553,0.014,0.014,929.14
2017-09-25 07:00:00,0.014,0.014,0.014,0.014,283.93
2017-09-26 07:00:00,0.0145,0.0153,0.0145,0.0153,194.89
2017-09-27 07:00:00,0.0156,0.0156,0.0153,0.0153,61.01
2017-09-28 07:00:00,0.017,0.017,0.014596,0.016,225.99
2017-09-29 07:00:00,0.016,0.017994,0.015,0.015999,1180.7
2017-09-30 07:00:00,0.015999,0.015999,0.0136,0.0136,1689.61
2017-10-01 07:00:00,0.014201,0.015699,0.013406,0.013406,424.81
2017-10-02 07:00:00,0.013998,0.015499,0.012402,0.0131,1554.23
2017-10-03 07:00:00,0.01251,0.014181,0.011192,0.013806,10791.37
2017-10-04 07:00:00,0.013118,0.013727,0.012035,0.013683,3190.02
2017-10-05 07:00:00,0.013588,0.013589,0.011539,0.011971,1403.99
2017-10-06 07:00:00,0.012189,0.012986,0.012009,0.012009,1934.64
2017-10-07 07:00:00,0.01197,0.0165,0.011501,0.012573,4197.28
2017-10-08 07:00:00,0.012366,0.015909,0.011057,0.011057,4362.33
2017-10-09 07:00:00,0.011132,0.012819,0.010904,0.01155,7006.57
2017-10-10 07:00:00,0.011291,0.011927,0.010904,0.011363,2596.49
2017-10-11 07:00:00,0.011617,0.012,0.011373,0.011419,1710.77
2017-10-12 07:00:00,0.011419,0.01195,0.010317,0.010527,2241.96
2017-10-13 07:00:00,0.010527,0.011747,0.00884,0.009305,12421.41
2017-10-14 07:00:00,0.009266,0.00978,0.008,0.008237,8867.59
2017-10-15 07:00:00,0.008436,0.00978,0.00835,0.008653,3207.67
2017-10-16 07:00:00,0.008742,0.009231,0.008315,0.009169,12134.56
2017-10-17 07:00:00,0.009031,0.009779,0.00874,0.009628,9929.73
2017-10-18 07:00:00,0.009506,0.0113,0.009336,0.010507,9241.13
2017-10-19 07:00:00,0.010156,0.010849,0.009614,0.009614,5969.33
2017-10-20 07:00:00,0.009651,0.010396,0.009467,0.0098,5753.56
2017-10-21 07:00:00,0.0098,0.01,0.009175,0.009502,2712.47
2017-10-22 07:00:00,0.010765,0.011914,0.009705,0.01057,3428.68
2017-10-23 07:00:00,0.011544,0.01391,0.0107,0.012251,16838.33
2017-10-24 07:00:00,0.012251,0.013598,0.01158,0.013561,17502.4
2017-10-25 07:00:00,0.013561,0.017,0.012682,0.016127,20164.13
2017-10-26 07:00:00,0.016459,0.016982,0.0136,0.014998,8039.94
2017-10-27 07:00:00,0.015198,0.0162,0.0146,0.01489,9658.12
2017-10-28 07:00:00,0.01489,0.016082,0.014211,0.014972,3964.38
2017-10-29 07:00:00,0.0142,0.01574,0.012743,0.013401,11710.15
2017-10-30 07:00:00,0.013401,0.014952,0.012,0.012722,6811.4
2017-10-31 07:00:00,0.01294,0.013664,0.0105,0.011469,16684.99
2017-11-01 07:00:00,0.010928,0.011474,0.01011,0.010586,5839.84
2017-11-02 07:00:00,0.010587,0.011343,0.0089,0.009541,5955.16
2017-11-03 07:00:00,0.009622,0.011503,0.0094,0.010507,9910.97
2017-11-04 07:00:00,0.009958,0.010785,0.0099,0.009901,8033.83
2017-11-05 07:00:00,0.00999,0.010798,0.0097,0.009705,5224.97
2017-11-06 07:00:00,0.010096,0.010707,0.0095,0.010282,9797.44
2017-11-07 07:00:00,0.010118,0.010485,0.009998,0.010485,3640.79
2017-11-08 07:00:00,0.010232,0.011999,0.0096,0.0115,16264.65
2017-11-09 07:00:00,0.0115,0.0128,0.011244,0.011307,6498.43
2017-11-10 07:00:00,0.012331,0.012331,0.009697,0.01025,11595.42
2017-11-11 07:00:00,0.010275,0.011161,0.009626,0.009693,19793.79
2017-11-12 07:00:00,0.010461,0.010612,0.009001,0.009505,35697.13
2017-11-13 07:00:00,0.009546,0.010363,0.0091,0.010231,7849.42
2017-11-14 07:00:00,0.010231,0.011356,0.009751,0.00991,13855.84
2017-11-15 07:00:00,0.010847,0.01152,0.010482,0.01096,8897.16
