,open,high,low,close,volume
2018-03-28 07:00:00,5.3e-05,6.4e-05,4.501e-05,4.759e-05,34554811.0
2018-03-29 07:00:00,4.76e-05,5.08e-05,4.132e-05,4.163e-05,9686603.0
2018-03-30 07:00:00,4.164e-05,4.223e-05,3.975e-05,4.135e-05,3224310.0
2018-03-31 07:00:00,4.144e-05,4.206e-05,3.943e-05,3.98e-05,1557485.0
2018-04-01 07:00:00,3.984e-05,3.991e-05,3.759e-05,3.825e-05,2549988.0
2018-04-02 07:00:00,3.803e-05,4.031e-05,3.776e-05,3.919e-05,2752276.0
2018-04-03 07:00:00,3.919e-05,4.25e-05,3.81e-05,4.073e-05,4071499.0
2018-04-04 07:00:00,4.075e-05,4.131e-05,3.85e-05,3.859e-05,1792535.0
2018-04-05 07:00:00,3.869e-05,3.943e-05,3.772e-05,3.907e-05,1170293.0
2018-04-06 07:00:00,3.907e-05,3.907e-05,3.741e-05,3.83e-05,1068283.0
2018-04-07 07:00:00,3.832e-05,3.927e-05,3.81e-05,3.918e-05,904464.0
2018-04-08 07:00:00,3.915e-05,4e-05,3.861e-05,3.99e-05,899183.0
2018-04-09 07:00:00,3.966e-05,4.147e-05,3.949e-05,4.013e-05,2339277.0
2018-04-10 07:00:00,4.022e-05,4.122e-05,3.904e-05,4.071e-05,1723114.0
2018-04-11 07:00:00,4.07e-05,4.198e-05,4.011e-05,4.145e-05,1770477.0
2018-04-12 07:00:00,4.157e-05,4.226e-05,3.98e-05,4.056e-05,2788434.0
2018-04-13 07:00:00,4.073e-05,4.298e-05,4e-05,4.241e-05,4355131.0
2018-04-14 07:00:00,4.241e-05,4.83e-05,4.209e-05,4.577e-05,8007176.0
2018-04-15 07:00:00,4.578e-05,4.779e-05,4.451e-05,4.728e-05,2679442.0
2018-04-16 07:00:00,4.737e-05,4.75e-05,4.5e-05,4.629e-05,1779454.0
2018-04-17 07:00:00,4.64e-05,4.966e-05,4.57e-05,4.831e-05,2710659.0
2018-04-18 07:00:00,4.845e-05,5.3e-05,4.735e-05,5.14e-05,2989944.0
2018-04-19 07:00:00,5.143e-05,5.596e-05,4.955e-05,5.308e-05,5657881.0
2018-04-20 07:00:00,5.318e-05,5.66e-05,5.156e-05,5.245e-05,4718260.0
2018-04-21 07:00:00,5.246e-05,5.276e-05,4.692e-05,5.035e-05,2493817.0
2018-04-22 07:00:00,5.035e-05,5.74e-05,5.001e-05,5.63e-05,6054252.0
2018-04-23 07:00:00,5.63e-05,5.885e-05,5.56e-05,5.789e-05,4147111.0
2018-04-24 07:00:00,5.789e-05,6.01e-05,5.611e-05,5.879e-05,3712000.0
2018-04-25 07:00:00,5.888e-05,6.069e-05,5.238e-05,5.47e-05,5436740.0
2018-04-26 07:00:00,5.468e-05,6.185e-05,5.33e-05,5.809e-05,6175499.0
2018-04-27 07:00:00,5.833e-05,6.185e-05,5.611e-05,6.056e-05,3554182.0
2018-04-28 07:00:00,6.056e-05,6.755e-05,5.929e-05,6.268e-05,7893906.0
2018-04-29 07:00:00,6.282e-05,6.322e-05,5.819e-05,5.95e-05,6659731.0
2018-04-30 07:00:00,5.964e-05,6.19e-05,5.723e-05,5.753e-05,5399801.0
2018-05-01 07:00:00,5.753e-05,5.95e-05,5.451e-05,5.824e-05,3420468.0
2018-05-02 07:00:00,5.809e-05,6.242e-05,5.767e-05,6.167e-05,5694659.0
2018-05-03 07:00:00,6.168e-05,6.44e-05,5.595e-05,5.66e-05,8050420.0
2018-05-04 07:00:00,5.66e-05,5.82e-05,5.389e-05,5.645e-05,2804018.0
2018-05-05 07:00:00,5.632e-05,5.74e-05,5.248e-05,5.401e-05,2226285.0
2018-05-06 07:00:00,5.401e-05,5.53e-05,4.957e-05,5.268e-05,2495058.0
2018-05-07 07:00:00,5.27e-05,5.443e-05,5.06e-05,5.235e-05,1653896.0
