,open,high,low,close,volume
2017-10-31 07:00:00,5.5e-07,7.1e-07,4.1e-07,4.1e-07,75707329.0
2017-11-01 07:00:00,4.2e-07,4.2e-07,3.7e-07,3.7e-07,20903956.0
2017-11-02 07:00:00,3.7e-07,3.8e-07,2.6e-07,3.4e-07,69459212.0
2017-11-03 07:00:00,3.3e-07,3.5e-07,2.9e-07,3.2e-07,30265580.0
2017-11-04 07:00:00,3.4e-07,3.4e-07,2.9e-07,2.9e-07,26985702.0
2017-11-05 07:00:00,3e-07,3.4e-07,2.9e-07,3e-07,31485136.0
2017-11-06 07:00:00,3e-07,3.3e-07,3e-07,3.2e-07,29382551.0
2017-11-07 07:00:00,3.2e-07,3.4e-07,3.1e-07,3.2e-07,49443590.0
2017-11-08 07:00:00,3.2e-07,3.4e-07,2.8e-07,3.3e-07,85019610.0
2017-11-09 07:00:00,3.2e-07,3.4e-07,3e-07,3.3e-07,80082947.0
2017-11-10 07:00:00,3.3e-07,3.3e-07,2.7e-07,3e-07,114568292.0
2017-11-11 07:00:00,3e-07,3.2e-07,2.9e-07,3.1e-07,62680216.0
2017-11-12 07:00:00,3.1e-07,3.3e-07,2.7e-07,3e-07,230854930.0
2017-11-13 07:00:00,3e-07,3.4e-07,3e-07,3.2e-07,130427390.0
2017-11-14 07:00:00,3.2e-07,4.1e-07,3.1e-07,3.7e-07,349387694.0
2017-11-15 07:00:00,3.7e-07,3.9e-07,3e-07,3.2e-07,465591783.0
2017-11-16 07:00:00,3.2e-07,3.3e-07,2.3e-07,2.7e-07,468271256.0
2017-11-17 07:00:00,2.8e-07,2.8e-07,2.5e-07,2.6e-07,419967154.0
2017-11-18 07:00:00,2.6e-07,2.8e-07,2.4e-07,2.6e-07,234775970.0
2017-11-19 07:00:00,2.6e-07,2.8e-07,2.3e-07,2.4e-07,117213833.0
2017-11-20 07:00:00,2.5e-07,2.8e-07,2.3e-07,2.6e-07,178318513.0
