,open,high,low,close,volume
2017-10-31 07:00:00,1.1e-05,1.2e-05,8.87e-06,8.89e-06,39210949.0
2017-11-01 07:00:00,8.91e-06,8.91e-06,8.2e-06,8.7e-06,19091267.0
2017-11-02 07:00:00,8.64e-06,9.32e-06,7.04e-06,8.01e-06,32058996.0
2017-11-03 07:00:00,8.04e-06,8.46e-06,7.31e-06,7.48e-06,18934897.0
2017-11-04 07:00:00,7.44e-06,7.9e-06,7.33e-06,7.34e-06,14610986.0
2017-11-05 07:00:00,7.4e-06,8.53e-06,7.3e-06,7.81e-06,18803211.0
2017-11-06 07:00:00,7.58e-06,7.89e-06,7.04e-06,7.23e-06,22086672.0
2017-11-07 07:00:00,7.27e-06,7.98e-06,7.23e-06,7.71e-06,157108510.0
2017-11-08 07:00:00,7.72e-06,8.01e-06,6.03e-06,7.74e-06,316597614.0
2017-11-09 07:00:00,7.68e-06,7.87e-06,6.82e-06,7.22e-06,308550117.0
2017-11-10 07:00:00,7.21e-06,7.28e-06,6.51e-06,6.86e-06,221304078.0
2017-11-11 07:00:00,6.66e-06,6.96e-06,6.08e-06,6.22e-06,232554018.0
2017-11-12 07:00:00,6.22e-06,6.73e-06,5.71e-06,5.89e-06,299987166.0
2017-11-13 07:00:00,5.78e-06,7.16e-06,5.67e-06,6.79e-06,612935889.0
2017-11-14 07:00:00,6.5e-06,8e-06,6.5e-06,7.2e-06,625464113.0
2017-11-15 07:00:00,7.21e-06,7.64e-06,6.51e-06,7.05e-06,894962273.0
2017-11-16 07:00:00,7.05e-06,7.2e-06,5.22e-06,6.67e-06,871874463.0
2017-11-17 07:00:00,6.65e-06,6.75e-06,5.81e-06,6.1e-06,826968078.0
2017-11-18 07:00:00,6.13e-06,6.37e-06,5.63e-06,5.94e-06,805415043.0
2017-11-19 07:00:00,5.95e-06,5.98e-06,5.45e-06,5.7e-06,369387677.0
2017-11-20 07:00:00,5.66e-06,6.1e-06,5.36e-06,5.84e-06,362824787.0
2017-11-21 07:00:00,5.85e-06,6.19e-06,5.65e-06,5.97e-06,417920153.0
2017-11-22 07:00:00,5.97e-06,7.5e-06,5.92e-06,6.09e-06,567347996.0
2017-11-23 07:00:00,6.09e-06,6.73e-06,4.57e-06,4.95e-06,571084135.0
2017-11-24 07:00:00,5.04e-06,5.3e-06,3.68e-06,4.2e-06,470802628.0
2017-11-25 07:00:00,4.18e-06,4.59e-06,3.91e-06,4.36e-06,667132232.0
2017-11-26 07:00:00,4.34e-06,5e-06,4.21e-06,4.53e-06,852732490.0
2017-11-27 07:00:00,4.53e-06,4.77e-06,4.2e-06,4.41e-06,800183506.0
2017-11-28 07:00:00,4.41e-06,5.5e-06,4.3e-06,5.06e-06,833169627.0
2017-11-29 07:00:00,5.06e-06,5.75e-06,4.21e-06,4.81e-06,913681331.0
2017-11-30 07:00:00,4.81e-06,5.22e-06,4.75e-06,5.11e-06,252285114.0
2017-12-01 07:00:00,5.09e-06,5.24e-06,4.04e-06,4.5e-06,983165076.0
2017-12-02 07:00:00,4.5e-06,4.74e-06,4.27e-06,4.48e-06,876774085.0
2017-12-03 07:00:00,4.48e-06,4.65e-06,4.33e-06,4.53e-06,1425841735.0
2017-12-04 07:00:00,4.51e-06,4.7e-06,4.38e-06,4.54e-06,2567250425.0
2017-12-05 07:00:00,4.54e-06,4.73e-06,4.47e-06,4.56e-06,1780799594.0
2017-12-06 07:00:00,4.58e-06,1.1e-05,4.55e-06,7.3e-06,4996692550.0
2017-12-07 07:00:00,7.28e-06,1.3e-05,7.24e-06,9.02e-06,1942409480.0
2017-12-08 07:00:00,9.02e-06,9.79e-06,7.35e-06,9.06e-06,492838645.0
2017-12-09 07:00:00,9.06e-06,9.9e-06,8.31e-06,9.19e-06,454678657.0
2017-12-10 07:00:00,9.2e-06,1e-05,7.89e-06,9.69e-06,376464685.0
2017-12-11 07:00:00,9.69e-06,1.083e-05,9.51e-06,9.85e-06,451659127.0
2017-12-12 07:00:00,9.84e-06,1.338e-05,8.99e-06,1.142e-05,707371911.0
2017-12-13 07:00:00,1.139e-05,2.879e-05,1.077e-05,2.211e-05,1108655012.0
2017-12-14 07:00:00,2.137e-05,2.95e-05,1.732e-05,2.449e-05,1439386429.0
2017-12-15 07:00:00,2.449e-05,2.649e-05,1.95e-05,2.543e-05,989212160.0
2017-12-16 07:00:00,2.543e-05,5.988e-05,2.476e-05,5.237e-05,1573385496.0
2017-12-17 07:00:00,5.237e-05,5.766e-05,4.37e-05,4.875e-05,1145880054.0
2017-12-18 07:00:00,4.876e-05,7.488e-05,4.4e-05,5.578e-05,987660904.0
2017-12-19 07:00:00,5.578e-05,5.85e-05,4.68e-05,5.151e-05,739836220.0
2017-12-20 07:00:00,5.151e-05,6.215e-05,2.8e-05,6.201e-05,1138712433.0
2017-12-21 07:00:00,6.201e-05,8.961e-05,5.105e-05,5.74e-05,1964505195.0
2017-12-22 07:00:00,5.788e-05,6.1e-05,3.75e-05,5.446e-05,1725540413.0
2017-12-23 07:00:00,5.445e-05,7.836e-05,4.85e-05,6.989e-05,1300803639.0
2017-12-24 07:00:00,6.98e-05,7.189e-05,5.222e-05,5.375e-05,1885103920.0
2017-12-25 07:00:00,5.38e-05,5.788e-05,4.262e-05,4.43e-05,704457508.0
2017-12-26 07:00:00,4.43e-05,6.649e-05,4.218e-05,4.858e-05,1270748276.0
2017-12-27 07:00:00,4.855e-05,5.48e-05,4.655e-05,4.796e-05,1138717068.0
