,open,high,low,close,volume
2018-03-23 07:00:00,0.017,0.017,0.006,0.00784,11587032.0
2018-03-24 07:00:00,0.00783862,0.00894518,0.00778006,0.00795,2372188.0
2018-03-25 07:00:00,0.00795,0.00828,0.00790101,0.007975,880839.0
2018-03-26 07:00:00,0.00796972,0.00799878,0.0071,0.00773001,2007706.0
2018-03-27 07:00:00,0.00773001,0.00789883,0.0071501,0.0074966,1049687.0
2018-03-28 07:00:00,0.00747902,0.007748,0.00731,0.007748,774727.0
2018-03-29 07:00:00,0.00772798,0.0079999,0.00735005,0.00767,1377067.0
2018-03-30 07:00:00,0.00767019,0.00863501,0.00751005,0.00828372,1362862.0
2018-03-31 07:00:00,0.00826901,0.0086,0.00812,0.0082743,1049454.0
2018-04-01 07:00:00,0.0082743,0.008379,0.0079,0.00812498,628406.0
2018-04-02 07:00:00,0.0081249,0.00839,0.00802438,0.00828273,596465.0
2018-04-03 07:00:00,0.00828251,0.00848251,0.00815,0.00847974,618046.0
2018-04-04 07:00:00,0.00847974,0.00855,0.00801,0.00801115,526895.0
2018-04-05 07:00:00,0.00802695,0.00833318,0.00801,0.00824712,405551.0
2018-04-06 07:00:00,0.00827117,0.008428,0.008161,0.0081731,399411.0
2018-04-07 07:00:00,0.00817501,0.00979,0.00817501,0.00936666,1482379.0
2018-04-08 07:00:00,0.00936643,0.00999243,0.0092828,0.00976432,837940.0
2018-04-09 07:00:00,0.00976432,0.00985,0.00881002,0.009314,830931.0
2018-04-10 07:00:00,0.00928837,0.01083597,0.00919999,0.01079,1363792.0
2018-04-11 07:00:00,0.01079,0.0112,0.01007545,0.010142,1151752.63
2018-04-12 07:00:00,0.0101,0.01269,0.0100569,0.012179,1505196.16
2018-04-13 07:00:00,0.012175,0.01346147,0.011207,0.011572,1604497.42
2018-04-14 07:00:00,0.011573,0.012452,0.011,0.0112,879181.18
2018-04-15 07:00:00,0.011252,0.01214,0.011129,0.011221,584267.54
2018-04-16 07:00:00,0.01122,0.011919,0.010901,0.011063,664290.77
2018-04-17 07:00:00,0.011072,0.011209,0.010521,0.010699,664114.6
2018-04-18 07:00:00,0.010677,0.011588,0.010587,0.011361,509668.16
2018-04-19 07:00:00,0.011357,0.012,0.01095,0.01155,714478.71
2018-04-20 07:00:00,0.011551,0.011551,0.0106,0.010776,515914.36
2018-04-21 07:00:00,0.0108,0.010801,0.010034,0.010219,467998.48
2018-04-22 07:00:00,0.010249,0.010685,0.009991,0.010146,376797.43
2018-04-23 07:00:00,0.010145,0.010428,0.0099,0.010257,374510.88
2018-04-24 07:00:00,0.010257,0.011186,0.010011,0.010839,811733.11
2018-04-25 07:00:00,0.01084,0.012428,0.010489,0.011908,1307206.53
2018-04-26 07:00:00,0.011921,0.012739,0.011646,0.012402,727210.97
2018-04-27 07:00:00,0.01241,0.01259,0.01173,0.012403,422647.2
2018-04-28 07:00:00,0.012403,0.012751,0.012055,0.01275,383778.89
2018-04-29 07:00:00,0.012755,0.012821,0.0122,0.01235,440660.19
2018-04-30 07:00:00,0.01229,0.012874,0.012,0.012255,425132.87
2018-05-01 07:00:00,0.012255,0.012405,0.0118,0.012167,404843.64
2018-05-02 07:00:00,0.01221,0.012963,0.012,0.012863,494916.62
2018-05-03 07:00:00,0.012868,0.01402,0.012055,0.012542,1114203.54
2018-05-04 07:00:00,0.01258,0.012899,0.010969,0.011826,670213.28
2018-05-05 07:00:00,0.01186,0.011883,0.0102,0.010545,531484.25
2018-05-06 07:00:00,0.010549,0.011,0.01023,0.01048,433073.84
2018-05-07 07:00:00,0.010534,0.011494,0.010173,0.01074,490021.5
2018-05-08 07:00:00,0.010746,0.010849,0.010226,0.01036,443914.99
2018-05-09 07:00:00,0.010365,0.010758,0.0098,0.010351,522319.69
2018-05-10 07:00:00,0.01035,0.010771,0.010081,0.010154,389335.43
2018-05-11 07:00:00,0.010151,0.0103,0.009443,0.009967,522448.57
2018-05-12 07:00:00,0.009963,0.010668,0.009657,0.010258,290938.17
2018-05-13 07:00:00,0.010256,0.010296,0.00965,0.010068,246613.59
2018-05-14 07:00:00,0.010061,0.010062,0.0094,0.009542,245924.18
2018-05-15 07:00:00,0.009542,0.009799,0.009132,0.009275,278152.03
2018-05-16 07:00:00,0.009287,0.009429,0.00867,0.008785,338342.48
2018-05-17 07:00:00,0.0088,0.008987,0.008399,0.008626,360151.1
2018-05-18 07:00:00,0.008625,0.009018,0.008431,0.008791,264212.21
2018-05-19 07:00:00,0.008807,0.008989,0.008405,0.008541,182917.58
2018-05-20 07:00:00,0.00851,0.008875,0.008267,0.008715,269449.85
2018-05-21 07:00:00,0.008715,0.008837,0.008,0.008381,387140.1
2018-05-22 07:00:00,0.008366,0.008366,0.0076,0.007711,433070.31
2018-05-23 07:00:00,0.00771,0.007932,0.00735,0.007648,668101.08
2018-05-24 07:00:00,0.007652,0.008184,0.007358,0.008014,585640.15
2018-05-25 07:00:00,0.008023,0.00835,0.00775,0.007866,320245.12
2018-05-26 07:00:00,0.007879,0.007922,0.007399,0.007429,209556.29
2018-05-27 07:00:00,0.007437,0.00804,0.0073,0.007612,328436.12
2018-05-28 07:00:00,0.007612,0.007672,0.007361,0.00752,476735.84
2018-05-29 07:00:00,0.00752,0.00835,0.007311,0.007959,527344.26
2018-05-30 07:00:00,0.007948,0.008301,0.007614,0.007829,348496.48
2018-05-31 07:00:00,0.007842,0.00835,0.007654,0.008029,279445.91
2018-06-01 07:00:00,0.008029,0.008087,0.007723,0.007799,193786.25
2018-06-02 07:00:00,0.007798,0.008113,0.00776,0.0079,251880.05
2018-06-03 07:00:00,0.007903,0.008266,0.007698,0.007779,319009.09
2018-06-04 07:00:00,0.007761,0.007885,0.007325,0.007534,350724.13
2018-06-05 07:00:00,0.007566,0.007566,0.007093,0.007259,426525.36
2018-06-06 07:00:00,0.007274,0.007799,0.007039,0.007558,351995.56
2018-06-07 07:00:00,0.007559,0.007852,0.007313,0.007313,256049.04
2018-06-08 07:00:00,0.007319,0.0075,0.006998,0.00716,284128.1
2018-06-09 07:00:00,0.007182,0.007368,0.006938,0.006952,172091.01
2018-06-10 07:00:00,0.006954,0.007055,0.006277,0.006612,429839.45
2018-06-11 07:00:00,0.006599,0.006626,0.006298,0.00652,313996.74
2018-06-12 07:00:00,0.00652,0.006541,0.006046,0.006148,372186.85
2018-06-13 07:00:00,0.00615,0.006359,0.00576,0.005944,534320.7
2018-06-14 07:00:00,0.005968,0.00652,0.005898,0.006168,424111.82
2018-06-15 07:00:00,0.006181,0.006227,0.005803,0.005868,243620.82
2018-06-16 07:00:00,0.005868,0.005945,0.0056,0.005847,260986.59
2018-06-17 07:00:00,0.00583,0.00597,0.00576,0.005788,97051.62
2018-06-18 07:00:00,0.00578,0.005958,0.00568,0.005784,216030.29
2018-06-19 07:00:00,0.005795,0.00589,0.005612,0.005709,188144.07
2018-06-20 07:00:00,0.005701,0.005744,0.005499,0.005743,149270.86
2018-06-21 07:00:00,0.005742,0.006097,0.005555,0.005601,283753.02
2018-06-22 07:00:00,0.005602,0.005709,0.005338,0.0055,328656.3
2018-06-23 07:00:00,0.005491,0.005535,0.005261,0.005323,139147.51
2018-06-24 07:00:00,0.005323,0.005339,0.004801,0.004936,430994.8
2018-06-25 07:00:00,0.004965,0.005512,0.004959,0.005261,235146.02
2018-06-26 07:00:00,0.005249,0.0053,0.004952,0.00496,175371.46
2018-06-27 07:00:00,0.004983,0.004986,0.004701,0.004852,322048.42
2018-06-28 07:00:00,0.004852,0.005311,0.004729,0.004867,393125.61
2018-06-29 07:00:00,0.004868,0.005338,0.004761,0.005198,319745.57
2018-06-30 07:00:00,0.005172,0.005484,0.005116,0.005288,333574.21
2018-07-01 07:00:00,0.005288,0.005473,0.005069,0.005396,213657.36
2018-07-02 07:00:00,0.005441,0.005964,0.0054,0.005683,336846.09
2018-07-03 07:00:00,0.005683,0.005847,0.00527,0.00533,289739.66
2018-07-04 07:00:00,0.00533,0.00588,0.0053,0.005544,182396.87
2018-07-05 07:00:00,0.005525,0.005827,0.005267,0.005382,261253.1
2018-07-06 07:00:00,0.005388,0.005391,0.00496,0.005186,328186.92
2018-07-07 07:00:00,0.005186,0.0052,0.004917,0.005117,125461.79
2018-07-08 07:00:00,0.005117,0.005299,0.004994,0.005082,166786.65
2018-07-09 07:00:00,0.005082,0.005116,0.004801,0.004941,187396.53
2018-07-10 07:00:00,0.004955,0.005007,0.00471,0.00479,173951.04
2018-07-11 07:00:00,0.004819,0.00498,0.004611,0.004723,228360.25
2018-07-12 07:00:00,0.004723,0.004796,0.004424,0.004643,201098.97
2018-07-13 07:00:00,0.004644,0.004816,0.0045,0.004581,207607.54
2018-07-14 07:00:00,0.00457,0.00471,0.004531,0.004655,63493.15
2018-07-15 07:00:00,0.00465,0.004776,0.004555,0.004677,89502.01
2018-07-16 07:00:00,0.004677,0.004999,0.004631,0.004899,207946.76
2018-07-17 07:00:00,0.004882,0.005399,0.00475,0.005272,303662.37
2018-07-18 07:00:00,0.005266,0.005609,0.005101,0.005149,337867.76
2018-07-19 07:00:00,0.005177,0.00542,0.004905,0.004994,207215.35
2018-07-20 07:00:00,0.004994,0.005021,0.0044,0.004504,373939.57
2018-07-21 07:00:00,0.004539,0.004834,0.004425,0.004809,200562.29
2018-07-22 07:00:00,0.004809,0.004997,0.00456,0.004715,184030.79
2018-07-23 07:00:00,0.004727,0.005225,0.004338,0.004443,407678.93
2018-07-24 07:00:00,0.004448,0.004588,0.004111,0.004118,466532.41
2018-07-25 07:00:00,0.004136,0.004554,0.004117,0.004453,239747.99
2018-07-26 07:00:00,0.004435,0.004559,0.003975,0.004059,221151.81
2018-07-27 07:00:00,0.004067,0.004269,0.00392,0.004136,446837.63
2018-07-28 07:00:00,0.004136,0.004248,0.004055,0.004151,103902.55
2018-07-29 07:00:00,0.00415,0.00417,0.003925,0.004034,248924.74
2018-07-30 07:00:00,0.004045,0.004045,0.003701,0.003797,216540.96
2018-07-31 07:00:00,0.003797,0.003875,0.00341,0.003457,368686.26
2018-08-01 07:00:00,0.00346,0.003533,0.003217,0.003299,304506.59
2018-08-02 07:00:00,0.003299,0.003364,0.00289,0.002955,352150.06
2018-08-03 07:00:00,0.002955,0.00318,0.0026,0.003004,871879.43
2018-08-04 07:00:00,0.003015,0.003234,0.002634,0.002793,566713.7
2018-08-05 07:00:00,0.002805,0.002914,0.00275,0.002806,229015.94
2018-08-06 07:00:00,0.002806,0.002916,0.00272,0.002876,213133.8
2018-08-07 07:00:00,0.002882,0.003462,0.0028,0.003094,740125.24
2018-08-08 07:00:00,0.003094,0.00329,0.002684,0.002861,763241.16
2018-08-09 07:00:00,0.002853,0.003212,0.00285,0.003075,447978.23
2018-08-10 07:00:00,0.003075,0.003155,0.002865,0.002984,269572.04
2018-08-11 07:00:00,0.002993,0.003075,0.002824,0.002901,522555.21
2018-08-12 07:00:00,0.002904,0.003043,0.002605,0.002777,470253.1
2018-08-13 07:00:00,0.002782,0.002841,0.002421,0.002471,1019233.52
2018-08-14 07:00:00,0.00247,0.002646,0.002313,0.002487,918551.36
2018-08-15 07:00:00,0.002497,0.002664,0.002375,0.002428,669623.42
2018-08-16 07:00:00,0.002405,0.00286,0.002375,0.002712,508406.28
2018-08-17 07:00:00,0.002706,0.003231,0.002706,0.003065,682611.47
2018-08-18 07:00:00,0.003065,0.00315,0.00272,0.002826,797549.24
2018-08-19 07:00:00,0.002846,0.003195,0.002823,0.003109,533883.58
2018-08-20 07:00:00,0.003109,0.0032,0.0029,0.002975,417033.63
2018-08-21 07:00:00,0.002975,0.0031,0.00297,0.00306,238187.72
2018-08-22 07:00:00,0.00306,0.003432,0.00285,0.002958,558769.76
2018-08-23 07:00:00,0.002958,0.003249,0.00295,0.003224,236604.18
2018-08-24 07:00:00,0.003216,0.003518,0.003086,0.003443,368901.19
2018-08-25 07:00:00,0.003434,0.00402,0.003434,0.003945,938519.56
2018-08-26 07:00:00,0.003928,0.004855,0.00358,0.004768,989802.14
2018-08-27 07:00:00,0.004769,0.0054,0.00441,0.004663,1235591.31
2018-08-28 07:00:00,0.00466,0.004805,0.0045,0.004548,472067.44
2018-08-29 07:00:00,0.004534,0.004599,0.004,0.004234,724037.07
2018-08-30 07:00:00,0.004234,0.004278,0.003929,0.004199,756390.05
2018-08-31 07:00:00,0.004192,0.004912,0.004167,0.004711,618249.58
2018-09-01 07:00:00,0.0047,0.0052,0.004504,0.004855,556620.77
2018-09-02 07:00:00,0.004856,0.00502,0.004608,0.004673,473702.33
2018-09-03 07:00:00,0.004678,0.004862,0.004427,0.004617,439640.38
