,open,high,low,close,volume
2017-12-15 07:00:00,0.015,0.08,0.015,0.019158,61901.46
2017-12-16 07:00:00,0.019165,0.02007,0.018001,0.0197,43577.0
2017-12-17 07:00:00,0.01937,0.020399,0.018182,0.01863,54766.27
2017-12-18 07:00:00,0.018701,0.023286,0.0185,0.019999,133328.04
2017-12-19 07:00:00,0.01998,0.021624,0.018,0.019169,134950.2
2017-12-20 07:00:00,0.0195,0.02031,0.015781,0.019177,145396.5
2017-12-21 07:00:00,0.019177,0.021937,0.01818,0.0204,129412.72
2017-12-22 07:00:00,0.020799,0.021316,0.01701,0.019194,72826.77
2017-12-23 07:00:00,0.019001,0.0228,0.01818,0.019564,65678.68
2017-12-24 07:00:00,0.019564,0.02034,0.017959,0.019313,45156.49
2017-12-25 07:00:00,0.019399,0.019891,0.01728,0.019488,60190.73
2017-12-26 07:00:00,0.019487,0.019891,0.018011,0.018808,35990.52
2017-12-27 07:00:00,0.018779,0.019,0.0177,0.018299,25941.02
2017-12-28 07:00:00,0.018053,0.018434,0.0165,0.017807,40629.06
2017-12-29 07:00:00,0.017548,0.019198,0.016996,0.018518,37608.92
2017-12-30 07:00:00,0.018533,0.019299,0.016052,0.01671,45702.67
2017-12-31 07:00:00,0.0167,0.0175,0.016309,0.0169,32925.04
2018-01-01 07:00:00,0.0169,0.017013,0.015001,0.016485,30144.83
2018-01-02 07:00:00,0.0164,0.01661,0.014211,0.01516,67524.69
2018-01-03 07:00:00,0.015154,0.015747,0.013302,0.013716,64929.76
2018-01-04 07:00:00,0.013716,0.014498,0.012,0.013248,89570.41
2018-01-05 07:00:00,0.013199,0.014,0.011913,0.012538,80655.33
2018-01-06 07:00:00,0.012477,0.014,0.011601,0.012789,101843.36
2018-01-07 07:00:00,0.01293,0.01388,0.01,0.0113,102258.98
2018-01-08 07:00:00,0.011468,0.012198,0.009803,0.011952,98747.91
2018-01-09 07:00:00,0.01184,0.012082,0.009253,0.010099,106004.76
2018-01-10 07:00:00,0.010095,0.010552,0.008398,0.010218,111213.21
2018-01-11 07:00:00,0.010443,0.010835,0.008302,0.009177,95251.48
2018-01-12 07:00:00,0.00914,0.00951,0.0086,0.008882,63463.36
2018-01-13 07:00:00,0.00892,0.009165,0.008068,0.00845,59283.97
2018-01-14 07:00:00,0.008442,0.008578,0.007902,0.008017,55319.75
2018-01-15 07:00:00,0.008063,0.0089,0.007903,0.00843,83940.09
2018-01-16 07:00:00,0.008431,0.008651,0.007288,0.008008,84468.24
2018-01-17 07:00:00,0.007909,0.00831,0.007142,0.007973,87124.53
2018-01-18 07:00:00,0.008138,0.008586,0.0079,0.00809,56187.31
2018-01-19 07:00:00,0.00809,0.008816,0.007951,0.008408,51538.97
2018-01-20 07:00:00,0.008499,0.0088,0.00805,0.008322,66650.4
2018-01-21 07:00:00,0.008339,0.00852,0.007723,0.007832,42897.01
2018-01-22 07:00:00,0.007832,0.008842,0.007653,0.008215,62702.64
2018-01-23 07:00:00,0.008215,0.008699,0.008,0.008271,91066.7
2018-01-24 07:00:00,0.008252,0.009,0.008,0.00838,98223.71
2018-01-25 07:00:00,0.008478,0.0088,0.0083,0.008623,70986.59
2018-01-26 07:00:00,0.008623,0.008691,0.0081,0.008541,45010.42
2018-01-27 07:00:00,0.008504,0.009047,0.00815,0.008212,59991.94
2018-01-28 07:00:00,0.008212,0.008212,0.007441,0.007499,37845.02
2018-01-29 07:00:00,0.007499,0.00758,0.007275,0.007373,37215.56
2018-01-30 07:00:00,0.007382,0.007637,0.007002,0.007124,53961.54
2018-01-31 07:00:00,0.007124,0.007213,0.00674,0.006887,46644.01
2018-02-01 07:00:00,0.006909,0.006947,0.005871,0.0064,63025.65
2018-02-02 07:00:00,0.006389,0.006977,0.006212,0.00683,92020.67
2018-02-03 07:00:00,0.006788,0.006966,0.006615,0.006832,52298.61
2018-02-04 07:00:00,0.006839,0.007112,0.006712,0.006872,57702.07
2018-02-05 07:00:00,0.006863,0.007012,0.006281,0.006311,71932.63
2018-02-06 07:00:00,0.006346,0.006557,0.006012,0.006388,54251.49
2018-02-07 07:00:00,0.006388,0.006895,0.006262,0.006504,55840.23
2018-02-08 07:00:00,0.006503,0.006541,0.006432,0.006432,1956.24
2018-02-09 07:00:00,0.00646,0.007073,0.00646,0.006867,44394.5
2018-02-10 07:00:00,0.006867,0.006901,0.0064,0.00663,50413.98
2018-02-11 07:00:00,0.006629,0.006772,0.0062,0.006729,31291.95
2018-02-12 07:00:00,0.006695,0.00691,0.006481,0.006614,28248.24
2018-02-13 07:00:00,0.006552,0.006875,0.0064,0.006639,37463.94
2018-02-14 07:00:00,0.006639,0.007,0.006605,0.006964,43325.56
2018-02-15 07:00:00,0.006987,0.009,0.006886,0.008542,224692.11
2018-02-16 07:00:00,0.008545,0.00889,0.007951,0.008294,155072.78
2018-02-17 07:00:00,0.008296,0.008515,0.00773,0.008034,82621.11
2018-02-18 07:00:00,0.008033,0.0088,0.007682,0.008135,88949.36
2018-02-19 07:00:00,0.008133,0.008711,0.008,0.008494,91436.19
2018-02-20 07:00:00,0.008518,0.009354,0.00833,0.008902,90292.19
2018-02-21 07:00:00,0.008914,0.009511,0.008434,0.008535,109396.97
2018-02-22 07:00:00,0.008535,0.008681,0.00803,0.008099,51730.37
2018-02-23 07:00:00,0.008051,0.008093,0.007611,0.007839,45638.25
2018-02-24 07:00:00,0.007885,0.008212,0.007741,0.0078,36296.34
2018-02-25 07:00:00,0.00781,0.007866,0.00753,0.007717,27934.44
2018-02-26 07:00:00,0.007677,0.007879,0.0074,0.00772,36042.56
2018-02-27 07:00:00,0.00772,0.00772,0.007415,0.007497,26701.45
2018-02-28 07:00:00,0.00753,0.008,0.00725,0.007355,68397.48
2018-03-01 07:00:00,0.007315,0.007775,0.00709,0.0076,50701.05
2018-03-02 07:00:00,0.007593,0.007886,0.007414,0.007779,29995.4
2018-03-03 07:00:00,0.007779,0.008235,0.007665,0.008093,37795.98
2018-03-04 07:00:00,0.008063,0.008099,0.00765,0.007905,34173.68
2018-03-05 07:00:00,0.007936,0.0082,0.007486,0.007947,44177.45
2018-03-06 07:00:00,0.007908,0.007956,0.007451,0.007537,31497.8
2018-03-07 07:00:00,0.007537,0.008369,0.007449,0.008254,73096.36
2018-03-08 07:00:00,0.008258,0.008732,0.008048,0.008354,110908.33
2018-03-09 07:00:00,0.008354,0.00895,0.00785,0.008092,98808.06
2018-03-10 07:00:00,0.008078,0.008287,0.007958,0.00805,33832.69
2018-03-11 07:00:00,0.00805,0.008238,0.007706,0.008065,24178.92
2018-03-12 07:00:00,0.008147,0.008215,0.007925,0.008082,25672.27
2018-03-13 07:00:00,0.008004,0.008199,0.007851,0.00806,17931.62
2018-03-14 07:00:00,0.00806,0.008327,0.008012,0.008122,37469.83
2018-03-15 07:00:00,0.008135,0.00895,0.00781,0.008541,63248.19
2018-03-16 07:00:00,0.008579,0.008684,0.008051,0.008339,31461.26
2018-03-17 07:00:00,0.008339,0.008442,0.007619,0.00837,36418.33
2018-03-18 07:00:00,0.008326,0.008599,0.008025,0.008117,53603.76
2018-03-19 07:00:00,0.008141,0.008868,0.008121,0.008748,63966.3
2018-03-20 07:00:00,0.008738,0.0093,0.008663,0.009082,53284.73
2018-03-21 07:00:00,0.009129,0.00925,0.008705,0.008941,54056.63
2018-03-22 07:00:00,0.008944,0.009095,0.008508,0.008976,59370.44
2018-03-23 07:00:00,0.008976,0.009033,0.008666,0.008733,41164.93
2018-03-24 07:00:00,0.008714,0.009292,0.008714,0.009066,48742.13
2018-03-25 07:00:00,0.009061,0.009275,0.008827,0.009082,41375.04
2018-03-26 07:00:00,0.009019,0.0093,0.008816,0.008948,43936.58
2018-03-27 07:00:00,0.008917,0.009323,0.008736,0.009222,40112.17
2018-03-28 07:00:00,0.009168,0.00957,0.009092,0.009513,31176.62
2018-03-29 07:00:00,0.009531,0.009809,0.009417,0.009506,32325.05
2018-03-30 07:00:00,0.009539,0.009591,0.00907,0.009201,33786.29
2018-03-31 07:00:00,0.009097,0.009329,0.008906,0.009179,24939.65
2018-04-01 07:00:00,0.009181,0.009331,0.0091,0.009237,22287.46
