,open,high,low,close,volume
2017-11-10 07:00:00,0.291,0.5,0.291,0.37017,386.41
2017-11-11 07:00:00,0.37514,0.6,0.35,0.4001,1168.635
2017-11-12 07:00:00,0.4,0.452,0.37007,0.39999,3706.926
2017-11-13 07:00:00,0.41,0.8,0.38202,0.4091,1501.92
2017-11-14 07:00:00,0.38526,0.39246,0.3463,0.37,628.276
2017-11-15 07:00:00,0.36789,0.37791,0.35011,0.36407,363.097
2017-11-16 07:00:00,0.36407,0.4,0.36,0.37597,1151.927
2017-11-17 07:00:00,0.37,0.38799,0.36004,0.37007,556.566
2017-11-18 07:00:00,0.37518,0.40798,0.36957,0.37,419.515
2017-11-19 07:00:00,0.38,0.39,0.34976,0.36721,629.109
2017-11-20 07:00:00,0.363,0.41,0.35328,0.37296,667.281
2017-11-21 07:00:00,0.37639,0.4,0.3669,0.39,390.874
2017-11-22 07:00:00,0.39072,0.5,0.382,0.42465,2357.685
2017-11-23 07:00:00,0.43841,0.47132,0.382,0.38313,1308.986
2017-11-24 07:00:00,0.39275,0.39673,0.33298,0.3399,1005.35
2017-11-25 07:00:00,0.33714,0.40713,0.33648,0.35936,1169.343
2017-11-26 07:00:00,0.36671,0.37079,0.34246,0.345,1066.113
2017-11-27 07:00:00,0.34738,0.38928,0.335,0.36377,1015.447
2017-11-28 07:00:00,0.36812,0.441,0.356,0.43,3033.153
2017-11-29 07:00:00,0.42526,0.4282,0.375,0.39783,3161.367
2017-11-30 07:00:00,0.39783,0.43,0.38428,0.40183,1669.884
2017-12-01 07:00:00,0.40699,0.42506,0.39199,0.41399,749.409
2017-12-02 07:00:00,0.41399,0.45,0.40005,0.43595,862.758
2017-12-03 07:00:00,0.43596,0.44957,0.4125,0.42496,799.966
2017-12-04 07:00:00,0.426,0.449,0.41001,0.449,1498.232
2017-12-05 07:00:00,0.449,0.563,0.44302,0.55798,4610.929
2017-12-06 07:00:00,0.55792,0.74,0.54388,0.61276,6251.667
2017-12-07 07:00:00,0.61291,0.68,0.565,0.625,3328.01
2017-12-08 07:00:00,0.62195,0.6598,0.543,0.591,3477.681
2017-12-09 07:00:00,0.591,0.60819,0.53,0.54997,2404.601
2017-12-10 07:00:00,0.55649,0.58549,0.51981,0.556,1924.109
2017-12-11 07:00:00,0.55699,0.58571,0.53494,0.545,1670.87
2017-12-12 07:00:00,0.545,0.5857,0.412,0.47605,3731.351
2017-12-13 07:00:00,0.47999,0.54783,0.42038,0.45802,2925.135
2017-12-14 07:00:00,0.46374,0.54,0.413,0.49012,6396.738
2017-12-15 07:00:00,0.48889,0.5198,0.44201,0.45899,3560.127
2017-12-16 07:00:00,0.45897,0.48234,0.44301,0.47505,2676.095
2017-12-17 07:00:00,0.46655,0.5266,0.45894,0.48769,4548.286
2017-12-18 07:00:00,0.48763,0.493,0.45501,0.46915,3208.678
2017-12-19 07:00:00,0.46942,0.47998,0.42888,0.44741,6006.134
2017-12-20 07:00:00,0.448,0.645,0.43103,0.60364,13221.587
2017-12-21 07:00:00,0.6039,0.61393,0.51181,0.53525,8322.848
2017-12-22 07:00:00,0.53204,0.561,0.45,0.51163,10180.572
2017-12-23 07:00:00,0.51163,0.56,0.49151,0.50983,4448.643
2017-12-24 07:00:00,0.50983,0.52699,0.48808,0.50165,3536.69
2017-12-25 07:00:00,0.50165,0.50591,0.45502,0.4685,2589.464
2017-12-26 07:00:00,0.46401,0.5,0.45457,0.47711,3299.55
2017-12-27 07:00:00,0.47605,0.53794,0.47211,0.50958,5631.706
2017-12-28 07:00:00,0.5092,0.51103,0.48,0.49784,3995.622
2017-12-29 07:00:00,0.49781,0.498,0.46549,0.482,6041.861
2017-12-30 07:00:00,0.482,0.48559,0.44101,0.44539,5978.265
2017-12-31 07:00:00,0.44536,0.46467,0.441,0.45171,4875.844
2018-01-01 07:00:00,0.45171,0.458,0.43331,0.4479,4318.328
2018-01-02 07:00:00,0.4479,0.45747,0.40005,0.4247,6727.794
2018-01-03 07:00:00,0.42356,0.43793,0.401,0.40785,6942.126
2018-01-04 07:00:00,0.40785,0.41875,0.351,0.39295,8141.415
2018-01-05 07:00:00,0.39295,0.39295,0.34567,0.36912,10471.067
2018-01-06 07:00:00,0.36912,0.40585,0.35601,0.3863,8630.776
2018-01-07 07:00:00,0.386,0.42,0.3567,0.3567,8078.491
2018-01-08 07:00:00,0.3567,0.3611,0.31138,0.3527,8305.753
2018-01-09 07:00:00,0.3527,0.37596,0.31031,0.31638,15029.75
2018-01-10 07:00:00,0.31638,0.33765,0.27,0.326,12971.518
2018-01-11 07:00:00,0.325,0.325,0.29501,0.31,8634.515
2018-01-12 07:00:00,0.31,0.3188,0.29595,0.30973,7190.557
2018-01-13 07:00:00,0.30875,0.3319,0.29303,0.30351,7671.605
2018-01-14 07:00:00,0.30005,0.31382,0.28868,0.2897,5872.529
2018-01-15 07:00:00,0.2897,0.338,0.2825,0.32302,9016.993
2018-01-16 07:00:00,0.32302,0.35806,0.28252,0.30777,15506.889
2018-01-17 07:00:00,0.30778,0.35,0.3,0.318,10358.713
2018-01-18 07:00:00,0.3179,0.341,0.30803,0.31107,11192.37
2018-01-19 07:00:00,0.31102,0.35825,0.307,0.35,9960.887
2018-01-20 07:00:00,0.35003,0.3618,0.31,0.33572,9000.897
2018-01-21 07:00:00,0.33662,0.348,0.32253,0.33198,4016.49
2018-01-22 07:00:00,0.33198,0.33763,0.31,0.31608,5912.426
2018-01-23 07:00:00,0.31608,0.32099,0.30844,0.313,4849.967
2018-01-24 07:00:00,0.31418,0.33,0.30002,0.3023,5693.334
2018-01-25 07:00:00,0.30226,0.30373,0.2926,0.299,4537.993
2018-01-26 07:00:00,0.29994,0.30964,0.28901,0.30963,5218.35
2018-01-27 07:00:00,0.30959,0.3099,0.29,0.29005,4043.64
2018-01-28 07:00:00,0.29294,0.29548,0.264,0.26744,4999.216
