,open,high,low,close,volume
2017-11-14 07:00:00,0.67279,1.08,0.67279,0.8112,346.585
2017-11-15 07:00:00,0.8112,0.8969,0.805,0.88099,215.837
2017-11-16 07:00:00,0.84444,0.9999,0.84444,0.87912,429.931
2017-11-17 07:00:00,0.87911,0.911,0.85103,0.87323,141.431
2017-11-18 07:00:00,0.87365,0.90988,0.85494,0.86,405.297
2017-11-19 07:00:00,0.85687,0.87698,0.76923,0.8399,126.872
2017-11-20 07:00:00,0.84843,0.85953,0.81508,0.82,162.066
2017-11-21 07:00:00,0.82352,0.83673,0.76352,0.78997,199.481
2017-11-22 07:00:00,0.81895,0.88999,0.78911,0.84125,351.078
2017-11-23 07:00:00,0.8365,0.88468,0.75,0.767,270.051
2017-11-24 07:00:00,0.76798,0.82136,0.68292,0.74037,733.345
2017-11-25 07:00:00,0.74112,0.79999,0.72434,0.73955,461.031
2017-11-26 07:00:00,0.74124,0.768,0.70713,0.71719,749.267
2017-11-27 07:00:00,0.71997,0.73993,0.688,0.72433,338.878
2017-11-28 07:00:00,0.73165,0.79197,0.72154,0.79133,1169.331
2017-11-29 07:00:00,0.79133,0.8,0.68363,0.7326,1296.086
2017-11-30 07:00:00,0.71756,0.74047,0.65201,0.68945,1068.501
2017-12-01 07:00:00,0.69084,0.74047,0.67559,0.72791,306.898
2017-12-02 07:00:00,0.72643,0.74,0.68942,0.70899,295.722
2017-12-03 07:00:00,0.709,0.72281,0.68399,0.69001,563.396
2017-12-04 07:00:00,0.69992,0.714,0.69,0.6956,368.828
2017-12-05 07:00:00,0.69614,0.72,0.68,0.70284,1268.676
2017-12-06 07:00:00,0.70622,0.79999,0.696,0.77144,2008.945
2017-12-07 07:00:00,0.77,0.78,0.6901,0.70228,2015.395
2017-12-08 07:00:00,0.706,0.757,0.6901,0.71992,966.89
2017-12-09 07:00:00,0.71992,0.74399,0.65,0.6605,1218.451
2017-12-10 07:00:00,0.6626,0.72986,0.64596,0.65562,711.999
2017-12-11 07:00:00,0.65652,0.69878,0.6041,0.62007,754.279
2017-12-12 07:00:00,0.61582,0.66499,0.54023,0.57,1318.404
2017-12-13 07:00:00,0.57729,0.65058,0.55608,0.591,1721.383
2017-12-14 07:00:00,0.59895,0.815,0.578,0.74387,3332.192
2017-12-15 07:00:00,0.74382,0.75327,0.65009,0.69928,1065.378
2017-12-16 07:00:00,0.69554,0.72,0.66142,0.68099,1092.404
2017-12-17 07:00:00,0.68,0.77,0.66,0.745,1661.352
2017-12-18 07:00:00,0.74863,0.7961,0.7,0.74455,1648.106
2017-12-19 07:00:00,0.74454,0.76194,0.66017,0.74297,2100.516
2017-12-20 07:00:00,0.74296,0.89699,0.72001,0.85675,3865.147
2017-12-21 07:00:00,0.85688,0.912,0.79212,0.8231,3204.337
2017-12-22 07:00:00,0.82316,0.84969,0.70588,0.76383,2882.197
2017-12-23 07:00:00,0.76383,0.82989,0.75518,0.77957,1577.956
2017-12-24 07:00:00,0.78589,0.82,0.73,0.8,1993.591
2017-12-25 07:00:00,0.79998,0.8,0.71,0.724,1218.554
2017-12-26 07:00:00,0.724,0.74,0.7,0.73589,807.32
2017-12-27 07:00:00,0.7242,0.74348,0.69,0.69813,763.238
2017-12-28 07:00:00,0.69813,0.72199,0.65014,0.67499,1382.853
2017-12-29 07:00:00,0.66783,0.74349,0.59795,0.70484,1863.042
2017-12-30 07:00:00,0.70483,0.70483,0.62005,0.64644,1264.797
2017-12-31 07:00:00,0.64644,0.6844,0.63072,0.64042,1052.065
2018-01-01 07:00:00,0.64597,0.73,0.62737,0.68476,2062.591
2018-01-02 07:00:00,0.68359,0.6951,0.601,0.63984,2119.722
2018-01-03 07:00:00,0.63984,0.6465,0.56503,0.59317,1558.115
2018-01-04 07:00:00,0.59114,0.60251,0.468,0.57,2939.854
2018-01-05 07:00:00,0.57,0.58081,0.4797,0.56189,3070.609
2018-01-06 07:00:00,0.56274,0.66185,0.53952,0.65713,3327.862
2018-01-07 07:00:00,0.65713,0.73998,0.63002,0.66789,6149.251
2018-01-08 07:00:00,0.67337,0.68741,0.56904,0.6031,4014.589
2018-01-09 07:00:00,0.6031,0.62495,0.49101,0.50661,3031.23
2018-01-10 07:00:00,0.51478,0.5999,0.46001,0.57006,4667.915
2018-01-11 07:00:00,0.57,0.7949,0.5,0.56002,3318.179
2018-01-12 07:00:00,0.56029,0.82,0.52389,0.55064,3075.909
2018-01-13 07:00:00,0.5509,0.56031,0.48037,0.50118,2431.423
2018-01-14 07:00:00,0.5013,0.52758,0.48517,0.48701,1825.248
2018-01-15 07:00:00,0.48701,0.53,0.44,0.48661,1849.921
