,open,high,low,close,volume
2018-03-05 07:00:00,6.46e-06,7.5e-06,4.54e-06,4.6e-06,275804690.0
2018-03-06 07:00:00,4.6e-06,4.95e-06,4.22e-06,4.38e-06,127063940.0
2018-03-07 07:00:00,4.37e-06,4.54e-06,3.8e-06,4.2e-06,82557732.0
2018-03-08 07:00:00,4.23e-06,4.39e-06,3.78e-06,3.99e-06,75444409.0
2018-03-09 07:00:00,4.01e-06,4.7e-06,3.51e-06,4.39e-06,108154187.0
2018-03-10 07:00:00,4.39e-06,5.59e-06,4.36e-06,4.95e-06,193743044.0
2018-03-11 07:00:00,4.95e-06,5.83e-06,4.74e-06,5.39e-06,353625062.0
2018-03-12 07:00:00,5.4e-06,5.47e-06,4.94e-06,5.06e-06,126440428.0
2018-03-13 07:00:00,5.06e-06,5.38e-06,4.75e-06,5.05e-06,82688923.0
2018-03-14 07:00:00,5.05e-06,5.39e-06,4.85e-06,4.96e-06,72774663.0
2018-03-15 07:00:00,4.97e-06,5.15e-06,4.81e-06,5.02e-06,39281365.0
2018-03-16 07:00:00,5.02e-06,5.49e-06,4.9e-06,5.09e-06,86871181.0
2018-03-17 07:00:00,5.12e-06,5.39e-06,5.05e-06,5.19e-06,46371821.0
2018-03-18 07:00:00,5.19e-06,5.23e-06,4.61e-06,5e-06,50488645.0
2018-03-19 07:00:00,5e-06,5.72e-06,4.9e-06,5.43e-06,112923138.0
2018-03-20 07:00:00,5.45e-06,5.56e-06,5.17e-06,5.38e-06,51017406.0
2018-03-21 07:00:00,5.37e-06,5.67e-06,5.17e-06,5.31e-06,58585455.0
2018-03-22 07:00:00,5.32e-06,5.57e-06,5.2e-06,5.47e-06,43986220.0
2018-03-23 07:00:00,5.47e-06,6.2e-06,5.08e-06,5.96e-06,165013971.0
2018-03-24 07:00:00,5.97e-06,6.52e-06,5.69e-06,6.14e-06,196358682.0
2018-03-25 07:00:00,6.15e-06,6.49e-06,5.99e-06,6.22e-06,61409921.0
