,open,high,low,close,volume
2017-09-13 07:00:00,6.3e-05,6.3e-05,5.3e-05,5.5e-05,717385.79
2017-09-14 07:00:00,5.7e-05,6e-05,5.3e-05,5.95e-05,511067.0
2017-09-15 07:00:00,5.466e-05,5.85e-05,5.3e-05,5.504e-05,218655.0
2017-09-16 07:00:00,5.7e-05,5.84e-05,5.502e-05,5.65e-05,90335.0
2017-09-17 07:00:00,5.605e-05,5.8e-05,5.4e-05,5.796e-05,125746.0
2017-09-18 07:00:00,5.621e-05,6.099e-05,5.559e-05,5.98e-05,180008.0
2017-09-19 07:00:00,5.98e-05,5.98e-05,5.045e-05,5.17e-05,156546.0
2017-09-20 07:00:00,5.021e-05,5.473e-05,4.28e-05,5.081e-05,111351.0
2017-09-21 07:00:00,5.1e-05,5.46e-05,4.842e-05,4.85e-05,97162.0
2017-09-22 07:00:00,5.009e-05,5.215e-05,4.702e-05,4.863e-05,124858.0
2017-09-23 07:00:00,4.943e-05,5.107e-05,4.828e-05,5e-05,48034.0
2017-09-24 07:00:00,5e-05,5.099e-05,4.675e-05,4.795e-05,52757.0
2017-09-25 07:00:00,4.701e-05,5.478e-05,4.444e-05,4.815e-05,137454.0
2017-09-26 07:00:00,4.999e-05,5.396e-05,4.78e-05,4.852e-05,332565.0
2017-09-27 07:00:00,5e-05,6.12e-05,4.857e-05,5.6e-05,450702.0
2017-09-28 07:00:00,5.6e-05,5.699e-05,4.966e-05,5.157e-05,574647.0
2017-09-29 07:00:00,5.2e-05,5.6e-05,4.969e-05,5.187e-05,353397.0
2017-09-30 07:00:00,5.199e-05,5.3e-05,4.8e-05,5e-05,331707.0
2017-10-01 07:00:00,5e-05,5e-05,4.702e-05,4.9e-05,317005.0
2017-10-02 07:00:00,4.949e-05,4.949e-05,4.402e-05,4.6e-05,529187.0
2017-10-03 07:00:00,4.6e-05,4.788e-05,4.211e-05,4.515e-05,454906.0
2017-10-04 07:00:00,4.52e-05,4.75e-05,4.355e-05,4.38e-05,369580.0
2017-10-05 07:00:00,4.401e-05,4.609e-05,4.112e-05,4.126e-05,501676.0
2017-10-06 07:00:00,4.115e-05,4.797e-05,4.025e-05,4.506e-05,720032.0
2017-10-07 07:00:00,4.6e-05,4.85e-05,4.213e-05,4.218e-05,652422.0
2017-10-08 07:00:00,4.219e-05,4.61e-05,4.002e-05,4.002e-05,592863.0
2017-10-09 07:00:00,4.001e-05,4.042e-05,3.641e-05,3.776e-05,527258.0
2017-10-10 07:00:00,3.86e-05,4.4e-05,3.555e-05,4.2e-05,931678.0
2017-10-11 07:00:00,4.198e-05,4.379e-05,4.016e-05,4.167e-05,409005.0
2017-10-12 07:00:00,4.248e-05,4.292e-05,3.451e-05,3.5e-05,839503.0
2017-10-13 07:00:00,3.451e-05,3.875e-05,3.14e-05,3.527e-05,836062.0
2017-10-14 07:00:00,3.519e-05,3.527e-05,3.205e-05,3.22e-05,525316.0
2017-10-15 07:00:00,3.329e-05,3.555e-05,3.21e-05,3.423e-05,653882.0
2017-10-16 07:00:00,3.425e-05,3.873e-05,3.218e-05,3.486e-05,568924.0
2017-10-17 07:00:00,3.486e-05,4.15e-05,3.211e-05,3.955e-05,925583.0
2017-10-18 07:00:00,3.9e-05,4.2e-05,3.762e-05,4.119e-05,1620984.0
2017-10-19 07:00:00,3.96e-05,4.254e-05,3.801e-05,4.021e-05,979773.0
2017-10-20 07:00:00,4.021e-05,4.069e-05,3.281e-05,3.363e-05,1478012.0
2017-10-21 07:00:00,3.401e-05,3.6e-05,3.046e-05,3.372e-05,1165781.0
2017-10-22 07:00:00,3.372e-05,3.586e-05,3.261e-05,3.431e-05,466600.0
2017-10-23 07:00:00,3.431e-05,3.499e-05,3.127e-05,3.285e-05,434250.0
2017-10-24 07:00:00,3.2e-05,3.778e-05,3.151e-05,3.665e-05,1309438.0
2017-10-25 07:00:00,3.59e-05,3.65e-05,3.327e-05,3.438e-05,597340.0
2017-10-26 07:00:00,3.46e-05,3.595e-05,3.285e-05,3.473e-05,478948.0
2017-10-27 07:00:00,3.325e-05,3.4e-05,3.169e-05,3.394e-05,370666.0
2017-10-28 07:00:00,3.275e-05,3.4e-05,3.24e-05,3.4e-05,250933.0
2017-10-29 07:00:00,3.314e-05,3.496e-05,3.012e-05,3.1e-05,1066821.0
2017-10-30 07:00:00,3.1e-05,3.251e-05,3.01e-05,3.047e-05,317874.0
2017-10-31 07:00:00,3.047e-05,3.1e-05,2.605e-05,2.615e-05,462608.0
2017-11-01 07:00:00,2.636e-05,3.272e-05,2.445e-05,2.472e-05,2618509.0
2017-11-02 07:00:00,2.472e-05,2.72e-05,2.056e-05,2.388e-05,1810560.0
2017-11-03 07:00:00,2.406e-05,2.713e-05,2.26e-05,2.445e-05,1219305.0
2017-11-04 07:00:00,2.5e-05,2.719e-05,2.351e-05,2.474e-05,977369.0
2017-11-05 07:00:00,2.498e-05,2.592e-05,2.328e-05,2.398e-05,610865.0
2017-11-06 07:00:00,2.38e-05,2.669e-05,2.334e-05,2.59e-05,1403630.0
2017-11-07 07:00:00,2.591e-05,2.98e-05,2.48e-05,2.794e-05,2393531.0
2017-11-08 07:00:00,2.824e-05,3.269e-05,2.565e-05,2.96e-05,3309517.0
2017-11-09 07:00:00,2.958e-05,3.467e-05,2.92e-05,3.293e-05,3084168.0
2017-11-10 07:00:00,3.23e-05,3.587e-05,2.852e-05,2.968e-05,3172471.0
2017-11-11 07:00:00,2.97e-05,3.3e-05,2.944e-05,2.982e-05,2136501.0
2017-11-12 07:00:00,3.036e-05,3.222e-05,2.79e-05,3.116e-05,2247812.0
2017-11-13 07:00:00,3.2e-05,3.586e-05,2.856e-05,3.082e-05,3123005.0
2017-11-14 07:00:00,3.081e-05,3.124e-05,2.891e-05,2.991e-05,2132247.0
2017-11-15 07:00:00,2.99e-05,3.029e-05,2.56e-05,2.715e-05,2329004.0
2017-11-16 07:00:00,2.715e-05,2.752e-05,2.183e-05,2.366e-05,2868890.0
2017-11-17 07:00:00,2.458e-05,2.647e-05,2.254e-05,2.384e-05,2410127.0
2017-11-18 07:00:00,2.434e-05,2.748e-05,2.389e-05,2.639e-05,2855050.0
2017-11-19 07:00:00,2.638e-05,2.68e-05,2.37e-05,2.462e-05,2676257.0
2017-11-20 07:00:00,2.46e-05,2.563e-05,2.36e-05,2.411e-05,2957540.0
2017-11-21 07:00:00,2.413e-05,2.546e-05,2.263e-05,2.422e-05,3626949.0
2017-11-22 07:00:00,2.407e-05,2.931e-05,2.351e-05,2.808e-05,4614187.0
2017-11-23 07:00:00,2.811e-05,2.889e-05,2.61e-05,2.718e-05,4031078.0
2017-11-24 07:00:00,2.697e-05,2.921e-05,2.431e-05,2.861e-05,3935304.0
2017-11-25 07:00:00,2.886e-05,2.957e-05,2.55e-05,2.63e-05,3503462.0
2017-11-26 07:00:00,2.631e-05,2.65e-05,2.35e-05,2.401e-05,3436540.0
2017-11-27 07:00:00,2.403e-05,2.527e-05,2.16e-05,2.378e-05,3883171.0
2017-11-28 07:00:00,2.388e-05,2.489e-05,2.201e-05,2.264e-05,3720372.0
2017-11-29 07:00:00,2.268e-05,2.325e-05,1.793e-05,1.953e-05,5853785.0
2017-11-30 07:00:00,1.955e-05,2.058e-05,1.801e-05,1.884e-05,4354570.0
2017-12-01 07:00:00,1.884e-05,1.985e-05,1.838e-05,1.843e-05,3415589.0
2017-12-02 07:00:00,1.844e-05,2.117e-05,1.697e-05,1.964e-05,4788917.0
2017-12-03 07:00:00,1.96e-05,2.006e-05,1.752e-05,1.901e-05,3877295.0
2017-12-04 07:00:00,1.891e-05,1.999e-05,1.854e-05,1.958e-05,3385961.0
2017-12-05 07:00:00,1.94e-05,1.98e-05,1.72e-05,1.896e-05,4364707.0
2017-12-06 07:00:00,1.897e-05,2.799e-05,1.733e-05,1.881e-05,15494410.0
2017-12-07 07:00:00,1.887e-05,2.174e-05,1.5e-05,1.503e-05,11875054.0
2017-12-08 07:00:00,1.503e-05,1.75e-05,1.17e-05,1.584e-05,6857166.0
2017-12-09 07:00:00,1.593e-05,1.72e-05,1.523e-05,1.578e-05,5163311.0
2017-12-10 07:00:00,1.58e-05,1.642e-05,1.413e-05,1.476e-05,5005700.0
